Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2025); ; 
Sélection : Île-de-France; ; 
Code;Libellé;Nombre de logements vacants 2022
75056;Paris;136957
77001;Achères-la-Forêt;38
77002;Amillis;37
77003;Amponville;10
77004;Andrezel;8
77005;Annet-sur-Marne;84
77006;Arbonne-la-Forêt;23
77007;Argentières;7
77008;Armentières-en-Brie;38
77009;Arville;10
77010;Aubepierre-Ozouer-le-Repos;20
77011;Aufferville;32
77012;Augers-en-Brie;12
77013;Aulnoy;4
77014;Avon;817
77015;Baby;2
77016;Bagneaux-sur-Loing;45
77018;Bailly-Romainvilliers;279
77019;Balloy;18
77020;Bannost-Villegagnon;19
77021;Barbey;20
77022;Barbizon;52
77023;Barcy;3
77024;Bassevelle;11
77025;Bazoches-lès-Bray;37
77026;Beauchery-Saint-Martin;21
77027;Beaumont-du-Gâtinais;79
77029;Beauvoir;14
77030;Bellot;34
77031;Bernay-Vilbert;24
77032;Beton-Bazoches;49
77033;Bezalles;6
77034;Blandy;41
77035;Blennes;28
77036;Boisdon;5
77037;Bois-le-Roi;175
77038;Boissettes;19
77039;Boissise-la-Bertrand;25
77040;Boissise-le-Roi;86
77041;Boissy-aux-Cailles;5
77042;Boissy-le-Châtel;89
77043;Boitron;13
77044;Bombon;41
77045;Bougligny;25
77046;Boulancourt;3
77047;Bouleurs;35
77048;Bourron-Marlotte;96
77049;Boutigny;16
77050;Bransles;32
77051;Bray-sur-Seine;233
77052;Bréau;14
77053;Brie-Comte-Robert;488
77054;La Brosse-Montceaux;14
77055;Brou-sur-Chantereine;249
77056;Burcy;14
77057;Bussières;33
77058;Bussy-Saint-Georges;571
77059;Bussy-Saint-Martin;15
77060;Buthiers;29
77061;Cannes-Écluse;94
77062;Carnetin;11
77063;La Celle-sur-Morin;46
77065;Cély;37
77066;Cerneux;18
77067;Cesson;114
77068;Cessoy-en-Montois;7
77069;Chailly-en-Bière;72
77070;Chailly-en-Brie;38
77071;Chaintreaux;58
77072;Chalautre-la-Grande;38
77073;Chalautre-la-Petite;5
77075;Chalifert;59
77076;Chalmaison;18
77077;Chambry;19
77078;Chamigny;38
77079;Champagne-sur-Seine;279
77080;Champcenest;4
77081;Champdeuil;14
77082;Champeaux;30
77083;Champs-sur-Marne;521
77084;Changis-sur-Marne;28
77085;Chanteloup-en-Brie;37
77086;La Chapelle-Gauthier;29
77087;La Chapelle-Iger;3
77088;La Chapelle-la-Reine;103
77089;La Chapelle-Rablais;24
77090;La Chapelle-Saint-Sulpice;3
77091;Les Chapelles-Bourbon;8
77093;La Chapelle-Moutils;31
77094;Charmentray;6
77095;Charny;16
77096;Chartrettes;77
77097;Chartronges;7
77098;Châteaubleau;12
77099;Château-Landon;263
77100;Le Châtelet-en-Brie;140
77101;Châtenay-sur-Seine;34
77102;Châtenoy;4
77103;Châtillon-la-Borde;10
77104;Châtres;15
77106;Chauffry;25
77107;Chaumes-en-Brie;165
77108;Chelles;1367
77109;Chenoise-Cucharmoy;60
77110;Chenou;11
77111;Chessy;157
77112;Chevrainvilliers;15
77113;Chevru;22
77114;Chevry-Cossigny;79
77115;Chevry-en-Sereine;14
77116;Choisy-en-Brie;52
77117;Citry;44
77118;Claye-Souilly;313
77119;Clos-Fontaine;1
77120;Cocherel;21
77121;Collégien;42
77122;Combs-la-Ville;425
77123;Compans;14
77124;Conches-sur-Gondoire;34
77125;Condé-Sainte-Libiaire;45
77126;Congis-sur-Thérouanne;49
77127;Coubert;41
77128;Couilly-Pont-aux-Dames;60
77129;Coulombs-en-Valois;29
77130;Coulommes;24
77131;Coulommiers;692
77132;Coupvray;194
77133;Courcelles-en-Bassée;1
77134;Courchamp;8
77135;Courpalay;38
77136;Courquetaine;3
77137;Courtacon;9
77138;Courtomer;13
77139;Courtry;106
77140;Coutençon;3
77141;Coutevroult;26
77142;Crécy-la-Chapelle;174
77143;Crégy-lès-Meaux;66
77144;Crèvecœur-en-Brie;5
77145;Crisenoy;16
77146;Croissy-Beaubourg;29
77147;La Croix-en-Brie;45
77148;Crouy-sur-Ourcq;66
77150;Cuisy;7
77151;Dagny;10
77152;Dammarie-les-Lys;398
77153;Dammartin-en-Goële;270
77154;Dammartin-sur-Tigeaux;59
77155;Dampmart;99
77156;Darvault;49
