Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Sélection : Île-de-France; ; ; ; ; 
Code;Libellé;Nombre d'autres hébergements collectifs de tourisme 2025;Médiane du niveau de vie 2021;Unités légales dans construction (en nombre) 2023;Nb de pers. non scolarisées de 15 ans ou + 2022
75056;Paris;100;29730;18990;1543807
77001;Achères-la-Forêt;0;30970;12;903
77002;Amillis;0;26310;21;638
77003;Amponville;0;28400;6;273
77004;Andrezel;0;28400;5;231
77005;Annet-sur-Marne;0;29060;33;2326
77006;Arbonne-la-Forêt;0;31050;12;769
77007;Argentières;0;28190;8;264
77008;Armentières-en-Brie;0;20940;9;741
77009;Arville;0;25060;3;105
77010;Aubepierre-Ozouer-le-Repos;0;26780;19;702
77011;Aufferville;0;25570;12;373
77012;Augers-en-Brie;0;25100;1;203
77013;Aulnoy;0;29020;5;272
77014;Avon;0;24160;91;10154
77015;Baby;0;22730;1;77
77016;Bagneaux-sur-Loing;0;21340;17;1213
77018;Bailly-Romainvilliers;3;26990;65;4677
77019;Balloy;0;23710;4;257
77020;Bannost-Villegagnon;0;26340;11;457
77021;Barbey;0;26060;1;122
77022;Barbizon;0;37280;7;1036
77023;Barcy;0;26300;2;249
77024;Bassevelle;0;24850;2;272
77025;Bazoches-lès-Bray;0;23620;9;685
77026;Beauchery-Saint-Martin;0;23390;9;278
77027;Beaumont-du-Gâtinais;0;22800;13;834
77029;Beauvoir;0;24810;4;143
77030;Bellot;0;23800;8;580
77031;Bernay-Vilbert;0;27440;19;696
77032;Beton-Bazoches;0;23480;16;657
77033;Bezalles;0;25580;2;159
77034;Blandy;0;28250;6;575
77035;Blennes;0;26060;7;419
77036;Boisdon;0;27790;0;97
77037;Bois-le-Roi;1;33500;41;4389
77038;Boissettes;0;33530;4;320
77039;Boissise-la-Bertrand;0;31310;8;920
77040;Boissise-le-Roi;0;29200;36;2901
77041;Boissy-aux-Cailles;0;29860;4;214
77042;Boissy-le-Châtel;0;25070;40;2442
77043;Boitron;0;25300;2;250
77044;Bombon;0;26870;9;712
77045;Bougligny;0;24030;10;556
77046;Boulancourt;0;25030;4;272
77047;Bouleurs;0;27400;14;1206
77048;Bourron-Marlotte;0;29150;41;2094
77049;Boutigny;0;29300;7;634
77050;Bransles;0;23910;3;422
77051;Bray-sur-Seine;0;20690;25;1788
77052;Bréau;0;28470;2;266
77053;Brie-Comte-Robert;0;25040;222;13583
77054;La Brosse-Montceaux;0;23650;4;566
77055;Brou-sur-Chantereine;0;22750;23;3383
77056;Burcy;0;24360;1;113
77057;Bussières;0;21720;9;362
77058;Bussy-Saint-Georges;0;26270;140;17978
77059;Bussy-Saint-Martin;0;34890;33;531
77060;Buthiers;0;26030;8;574
77061;Cannes-Écluse;0;23840;14;1933
77062;Carnetin;0;29680;11;346
77063;La Celle-sur-Morin;0;26850;14;920
77065;Cély;0;30920;17;946
77066;Cerneux;0;24510;9;202
77067;Cesson;0;27030;68;7442
77068;Cessoy-en-Montois;0;26430;2;171
77069;Chailly-en-Bière;0;27330;28;1657
77070;Chailly-en-Brie;0;24550;13;1056
