"bv";"inscrits";"votants";"exprimes";"numCandidat";"nom";"nb"
1;563;442;427;1;"MEGRET";14
1;1299;868;850;1;"MEGRET";18
1;1299;868;850;2;"LEPAGE";18
1;1299;868;850;3;"GLUCKSTEIN";1
1;1299;868;850;4;"BAYROU";60
1;1299;868;850;5;"CHIRAC";143
1;1299;868;850;6;"LE PEN";148
1;1299;868;850;7;"TAUBIRA";39
1;1299;868;850;8;"SAINT-JOSSE";8
1;1299;868;850;9;"MAMERE";56
1;1299;868;850;10;"JOSPIN";147
1;1299;868;850;11;"BOUTIN";8
1;1299;868;850;12;"HUE";35
1;1299;868;850;13;"CHEVENEMENT";54
1;1299;868;850;14;"MADELIN";27
1;1299;868;850;15;"LAGUILLER";56
1;1299;868;850;16;"BESANCENOT";32
2;1449;1051;1031;1;"MEGRET";38
2;1449;1051;1031;2;"LEPAGE";15
2;1449;1051;1031;3;"GLUCKSTEIN";7
2;1449;1051;1031;4;"BAYROU";75
2;1449;1051;1031;5;"CHIRAC";178
2;1449;1051;1031;6;"LE PEN";178
2;1449;1051;1031;7;"TAUBIRA";29
2;1449;1051;1031;8;"SAINT-JOSSE";8
2;1449;1051;1031;9;"MAMERE";60
2;1449;1051;1031;10;"JOSPIN";203
2;1449;1051;1031;11;"BOUTIN";9
2;1449;1051;1031;12;"HUE";19
2;1449;1051;1031;13;"CHEVENEMENT";71
2;1449;1051;1031;14;"MADELIN";44
2;1449;1051;1031;15;"LAGUILLER";63
2;1449;1051;1031;16;"BESANCENOT";34
3;1311;884;865;1;"MEGRET";12
3;1311;884;865;2;"LEPAGE";8
3;1311;884;865;3;"GLUCKSTEIN";2
3;1311;884;865;4;"BAYROU";49
3;1311;884;865;5;"CHIRAC";122
3;1311;884;865;6;"LE PEN";129
3;1311;884;865;7;"TAUBIRA";50
3;1311;884;865;8;"SAINT-JOSSE";10
3;1311;884;865;9;"MAMERE";64
3;1311;884;865;10;"JOSPIN";183
3;1311;884;865;11;"BOUTIN";5
3;1311;884;865;12;"HUE";29
3;1311;884;865;13;"CHEVENEMENT";56
3;1311;884;865;14;"MADELIN";56
3;1311;884;865;15;"LAGUILLER";55
3;1311;884;865;16;"BESANCENOT";35
4;1391;918;893;1;"MEGRET";24
4;1391;918;893;2;"LEPAGE";10
4;1391;918;893;3;"GLUCKSTEIN";3
4;1391;918;893;4;"BAYROU";32
4;1391;918;893;5;"CHIRAC";131
4;1391;918;893;6;"LE PEN";110
4;1391;918;893;7;"TAUBIRA";87
4;1391;918;893;8;"SAINT-JOSSE";7
4;1391;918;893;9;"MAMERE";51
4;1391;918;893;10;"JOSPIN";234
4;1391;918;893;11;"BOUTIN";12
4;1391;918;893;12;"HUE";41
4;1391;918;893;13;"CHEVENEMENT";42
4;1391;918;893;14;"MADELIN";23
4;1391;918;893;15;"LAGUILLER";60
4;1391;918;893;16;"BESANCENOT";26
5;1056;709;694;1;"MEGRET";12
5;1056;709;694;2;"LEPAGE";3
5;1056;709;694;3;"GLUCKSTEIN";4
5;1056;709;694;4;"BAYROU";12
5;1056;709;694;5;"CHIRAC";101
5;1056;709;694;6;"LE PEN";108
5;1056;709;694;7;"TAUBIRA";75
5;1056;709;694;8;"SAINT-JOSSE";2
5;1056;709;694;9;"MAMERE";39
5;1056;709;694;10;"JOSPIN";198
5;1056;709;694;11;"BOUTIN";6
5;1056;709;694;12;"HUE";36
5;1056;709;694;13;"CHEVENEMENT";30
5;1056;709;694;14;"MADELIN";8
5;1056;709;694;15;"LAGUILLER";41
5;1056;709;694;16;"BESANCENOT";19
6;1427;956;933;1;"MEGRET";16
6;1427;956;933;2;"LEPAGE";11
6;1427;956;933;3;"GLUCKSTEIN";0
6;1427;956;933;4;"BAYROU";23
6;1427;956;933;5;"CHIRAC";125
6;1427;956;933;6;"LE PEN";132
6;1427;956;933;7;"TAUBIRA";127
6;1427;956;933;8;"SAINT-JOSSE";5
6;1427;956;933;9;"MAMERE";53
6;1427;956;933;10;"JOSPIN";205
6;1427;956;933;11;"BOUTIN";7
6;1427;956;933;12;"HUE";34
6;1427;956;933;13;"CHEVENEMENT";47
6;1427;956;933;14;"MADELIN";34
6;1427;956;933;15;"LAGUILLER";81
6;1427;956;933;16;"BESANCENOT";33
7;1215;786;766;1;"MEGRET";18
7;1215;786;766;2;"LEPAGE";6
7;1215;786;766;3;"GLUCKSTEIN";4
7;1215;786;766;4;"BAYROU";30
7;1215;786;766;5;"CHIRAC";132
7;1215;786;766;6;"LE PEN";125
7;1215;786;766;7;"TAUBIRA";54
7;1215;786;766;8;"SAINT-JOSSE";6
7;1215;786;766;9;"MAMERE";59
7;1215;786;766;10;"JOSPIN";155
7;1215;786;766;11;"BOUTIN";3
7;1215;786;766;12;"HUE";37
7;1215;786;766;13;"CHEVENEMENT";54
7;1215;786;766;14;"MADELIN";17
7;1215;786;766;15;"LAGUILLER";40
7;1215;786;766;16;"BESANCENOT";26
8;964;692;680;1;"MEGRET";14
8;964;692;680;2;"LEPAGE";7
8;964;692;680;3;"GLUCKSTEIN";3
8;964;692;680;4;"BAYROU";23
8;964;692;680;5;"CHIRAC";87
8;964;692;680;6;"LE PEN";143
8;964;692;680;7;"TAUBIRA";40
8;964;692;680;8;"SAINT-JOSSE";6
8;964;692;680;9;"MAMERE";31
8;964;692;680;10;"JOSPIN";154
8;964;692;680;11;"BOUTIN";3
8;964;692;680;12;"HUE";25
8;964;692;680;13;"CHEVENEMENT";46
8;964;692;680;14;"MADELIN";19
8;964;692;680;15;"LAGUILLER";50
8;964;692;680;16;"BESANCENOT";29
9;1403;940;915;1;"MEGRET";18
9;1403;940;915;2;"LEPAGE";6
9;1403;940;915;3;"GLUCKSTEIN";4
9;1403;940;915;4;"BAYROU";24
9;1403;940;915;5;"CHIRAC";146
9;1403;940;915;6;"LE PEN";153
9;1403;940;915;7;"TAUBIRA";74
9;1403;940;915;8;"SAINT-JOSSE";9
9;1403;940;915;9;"MAMERE";63
9;1403;940;915;10;"JOSPIN";215
9;1403;940;915;11;"BOUTIN";5
9;1403;940;915;12;"HUE";28
9;1403;940;915;13;"CHEVENEMENT";58
9;1403;940;915;14;"MADELIN";29
9;1403;940;915;15;"LAGUILLER";62
9;1403;940;915;16;"BESANCENOT";21
10;883;566;544;1;"MEGRET";20
10;883;566;544;2;"LEPAGE";3
10;883;566;544;3;"GLUCKSTEIN";0
10;883;566;544;4;"BAYROU";14
