"","Layer","bureauNo_1"
"1","_Bureau 32",NA
"2","_Bureau 24","ECOLE ELEMENTAIRE OLYMPE DE GOUGES"
"3","_Bureau 15","SALLE MAURICE PETITJEAN"
"4","_Bureau 14","ECOLE MATERNELLE LEO LAGRANGE"
"5","_Bureau 12","ECOLE MATERNELLE ROGER SALENGRO"
"6","_Bureau 30","CENTRE DE LOISIRS COLUCHE - SALLE POLYVALENTE"
"7","_Bureau 05","ECOLE MATERNELLE NOUE CAILLET"
"8","_Bureau 09","ECOLE MATERNELLE CAMILLE CLAUDEL"
"9","_Bureau 28","CENTRE DE LOISIRS APPOLINAIRE"
"10","_Bureau 26","GYMNASE LEO LAGRANGE"
"11","_Bureau 27","ECOLE ELEMENTAIRE LEO LAGRANGE"
"12","_Bureau 22","ECOLE ELEMENTAIRE PASTEUR"
"13","_Bureau 21","ECOLE ELEMENTAIRE ANDRE BOULLOCHE"
"14","_Bureau 25","ECOLE ELEMENTAIRE NOUE CAILLET"
"15","_Bureau 07","ECOLE MATERNELLE PASTEUR"
"16","_Bureau 23","CENTRE DE LOISIRS - SALLE COLUCHE"
"17","_Bureau 01","HOTEL DE VILLE - SALLE DES FETES"
"18","_Bureau 19","ECOLE ELEMENTAIRE MAINGUY-GUEHENNO"
"19","_Bureau 03","GYMNASE AIACHE - SALLE DANSE"
"20","_Bureau 02","ECOLE MATERNELLE MAINGUY"
"21","_Bureau 18","ESPACE MARCEL CHAUZY"
"22","_Bureau 29","ECOLE ELEMENTAIRE SALENGRO"
"23","_Bureau 08","ECOLE MATERNELLE HENRI SELLIER"
"24","_Bureau 17","CENTRE DE LOISIRS PIERRE CURIE"
"25","_Bureau 13","ECOLE MATERNELLE PIERRE CURIE"
"26","_Bureau 20","GYMNASE AIACHE"
"27","_Bureau 10","ECOLE ELEMENTAIRE JULES FERRY"
"28","_Bureau 04","ECOLE MATERNELLE JEAN ZAY"
"29","_Bureau 06","ECOLE MATERNELLE TERRE SAINT BLAISE"
"30","_Bureau 31",NA
"31","_Bureau 11","SALLE BLANQUI - ESPACE MANDELA"
"32","_Bureau 16","ECOLE MATERNELLE JULES FERRY"
