Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Siret Budget;Libellé Budget;Type de budget;Nomenclature;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;code_type_budget;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2024;Non;11;Île-de-France;95;Val-d'Oise;249500109;Communauté d'agglomération de Cergy-Pontoise;3;Oui;Non;Non;3;Non;95074;Boisemont;Commune;219500741;95074;21950074100018;BOISEMONT;Budget principal;M57A;Autres dotations et subventions;108255.8;0.1;876;123.6;1;1;;;;;;;3;;;;2024;876
2024;Non;11;Île-de-France;95;Val-d'Oise;249500109;Communauté d'agglomération de Cergy-Pontoise;9;Non;Non;Non;1;Oui;95127;Cergy;Commune;219501277;95127;21950127700897;CERGY;Budget principal;M57;Autres dotations et subventions;7304760.4;7.3;68778;106.2;1;1;;;;;;;3;;;;2024;68778
2024;Non;11;Île-de-France;95;Val-d'Oise;249500109;Communauté d'agglomération de Cergy-Pontoise;6;Non;Non;Non;2;Non;95183;Courdimanche;Commune;219501830;95183;21950183000018;COURDIMANCHE;Budget principal;M57;Autres dotations et subventions;677197.3;0.7;6925;97.8;1;1;;;;;;;3;;;;2024;6925
2024;Non;11;Île-de-France;95;Val-d'Oise;249500109;Communauté d'agglomération de Cergy-Pontoise;7;Non;Non;Non;2;Oui;95218;Éragny;Commune;219502184;95218;21950218400019;ERAGNY-SUR-OISE;Budget principal;M57;Autres dotations et subventions;1260953.3;1.3;18597;67.8;1;1;;;;;;;3;;;;2024;18597
2024;Non;11;Île-de-France;95;Val-d'Oise;249500109;Communauté d'agglomération de Cergy-Pontoise;7;Non;Non;Non;2;Oui;95323;Jouy-le-Moutier;Commune;219503232;95323;21950323200015;JOUY-LE-MOUTIER;Budget principal;M57;Autres dotations et subventions;943726.5;0.9;17301;54.5;1;1;;;;;;;3;;;;2024;17301
2024;Non;11;Île-de-France;95;Val-d'Oise;249500109;Communauté d'agglomération de Cergy-Pontoise;6;Non;Non;Non;2;Non;95388;Menucourt;Commune;219503885;95388;21950388500010;MENUCOURT;Budget principal;M57;Autres dotations et subventions;1058741.9;1.1;6142;172.4;1;1;;;;;;;3;;;;2024;6142
2024;Non;11;Île-de-France;95;Val-d'Oise;249500109;Communauté d'agglomération de Cergy-Pontoise;4;Non;Non;Non;3;Non;95450;Neuville-sur-Oise;Commune;219504503;95450;21950450300018;NEUVILLE-SUR-OISE;Budget principal;M57A;Autres dotations et subventions;62882.5;0.1;2096;30;1;1;;;;;;;3;;;;2024;2096
2024;Non;11;Île-de-France;95;Val-d'Oise;249500109;Communauté d'agglomération de Cergy-Pontoise;7;Non;Non;Non;2;Oui;95476;Osny;Commune;219504768;95476;21950476800124;OSNY;Budget principal;M57;Autres dotations et subventions;2877179.5;2.9;17468;164.7;1;1;;;;;;;3;;;;2024;17468
2024;Non;11;Île-de-France;95;Val-d'Oise;249500109;Communauté d'agglomération de Cergy-Pontoise;8;Non;Non;Non;2;Oui;95500;Pontoise;Commune;219505005;95500;21950500500013;PONTOISE;Budget principal;M57;Autres dotations et subventions;2739958;2.7;31806;86.1;1;1;;;;;;;3;;;;2024;31806
2024;Non;11;Île-de-France;95;Val-d'Oise;249500109;Communauté d'agglomération de Cergy-Pontoise;3;Non;Non;Non;2;Non;95510;Puiseux-Pontoise;Commune;219505104;95510;21950510400121;PUISEUX-PONTOISE;Budget principal;M57A;Autres dotations et subventions;48288.3;0;584;82.7;1;1;;;;;;;3;;;;2024;584
