"","COMPLGEO","NUMAPPT","NBPIECE","CONSTRUCT"
"3538","RESIDENCE LE POTAGER","01",2,1971
"3540","RESIDENCE LE POTAGER","11",2,1971
"3542","RESIDENCE LE POTAGER","12",3,1971
"3544","RESIDENCE LE POTAGER","21",2,1971
"3546","RESIDENCE LE POTAGER","22",3,1971
"3548","RESIDENCE LE POTAGER","31",2,1971
"3550","RESIDENCE LE POTAGER","32",3,1971
"3552","RESIDENCE LE POTAGER","41",2,1971
"3554","RESIDENCE LE POTAGER","42",3,1971
"3556","RESIDENCE LE POTAGER","51",2,1971
"3558","RESIDENCE LE POTAGER","52",3,1971
"3560","RESIDENCE LE POTAGER","61",2,1971
"3562","RESIDENCE LE POTAGER","62",3,1971
"3564","RESIDENCE LE POTAGER","71",2,1971
"3566","RESIDENCE LE POTAGER","72",3,1971
"3568","RESIDENCE LE POTAGER","81",2,1971
"3570","RESIDENCE LE POTAGER","82",3,1971
"3572","RESIDENCE LE POTAGER","91",2,1971
"3574","RESIDENCE LE POTAGER","92",3,1971
"3576","RESIDENCE LE POTAGER","01",2,1971
"3578","RESIDENCE LE POTAGER","11",2,1971
"3580","RESIDENCE LE POTAGER","12",3,1971
"3582","RESIDENCE LE POTAGER","21",4,1971
"3584","RESIDENCE LE POTAGER","22",3,1971
"3586","RESIDENCE LE POTAGER","31",4,1971
"3588","RESIDENCE LE POTAGER","32",3,1971
"3590","RESIDENCE LE POTAGER","41",4,1971
"3592","RESIDENCE LE POTAGER","42",3,1971
"3594","RESIDENCE LE POTAGER","51",4,1971
"3596","RESIDENCE LE POTAGER","52",3,1971
"3598","RESIDENCE LE POTAGER","61",4,1971
"3600","RESIDENCE LE POTAGER","62",3,1971
"3602","RESIDENCE LE POTAGER","71",4,1971
"3604","RESIDENCE LE POTAGER","72",3,1971
"3606","RESIDENCE LE POTAGER","81",4,1971
"3608","RESIDENCE LE POTAGER","82",3,1971
"3610","RESIDENCE LE POTAGER","91",4,1971
"3612","RESIDENCE LE POTAGER","92",3,1971
"3614","RESIDENCE LE POTAGER","01",1,1971
"3616","RESIDENCE LE POTAGER","11",2,1971
"3618","RESIDENCE LE POTAGER","12",1,1971
"3621","RESIDENCE LE POTAGER","21",2,1971
"3623","RESIDENCE LE POTAGER","22",5,1971
"3625","RESIDENCE LE POTAGER","31",2,1971
"3627","RESIDENCE LE POTAGER","32",5,1971
"3629","RESIDENCE LE POTAGER","41",2,1971
"3631","RESIDENCE LE POTAGER","42",5,1971
"3633","RESIDENCE LE POTAGER","51",2,1971
"3635","RESIDENCE LE POTAGER","52",5,1971
"3637","RESIDENCE LE POTAGER","61",2,1971
"3639","RESIDENCE LE POTAGER","62",5,1971
"3641","RESIDENCE LE POTAGER","71",2,1971
"3643","RESIDENCE LE POTAGER","72",5,1971
"3645","RESIDENCE LE POTAGER","81",2,1971
"3647","RESIDENCE LE POTAGER","82",5,1971
"3649","RESIDENCE LE POTAGER","91",2,1971
"3651","RESIDENCE LE POTAGER","92",5,1971
"3653","RESIDENCE LE POTAGER","01",4,1971
"3655","RESIDENCE LE POTAGER","11",4,1971
"3657","RESIDENCE LE POTAGER","12",3,1971
"3659","RESIDENCE LE POTAGER","21",4,1971
"3661","RESIDENCE LE POTAGER","22",3,1971
"3663","RESIDENCE LE POTAGER","31",4,1971
"3665","RESIDENCE LE POTAGER","32",3,1971
"3667","RESIDENCE LE POTAGER","41",4,1971
"3669","RESIDENCE LE POTAGER","42",3,1971
"3671","RESIDENCE LE POTAGER","51",4,1971
"3673","RESIDENCE LE POTAGER","52",3,1971
"3675","RESIDENCE LE POTAGER","61",4,1971
"3677","RESIDENCE LE POTAGER","62",3,1971
"3679","RESIDENCE LE POTAGER","71",4,1971
"3681","RESIDENCE LE POTAGER","72",3,1971
"3683","RESIDENCE LE POTAGER","81",4,1971
"3685","RESIDENCE LE POTAGER","82",3,1971
"3687","RESIDENCE LE POTAGER","91",4,1971
"3689","RESIDENCE LE POTAGER","92",3,1971
"3691","RESIDENCE LE POTAGER","11",4,1971
"3693","RESIDENCE LE POTAGER","12",3,1971
"3695","RESIDENCE LE POTAGER","21",4,1971
"3697","RESIDENCE LE POTAGER","22",3,1971
"3699","RESIDENCE LE POTAGER","31",4,1971
"3701","RESIDENCE LE POTAGER","32",3,1971
"3703","RESIDENCE LE POTAGER","41",4,1971
"3705","RESIDENCE LE POTAGER","42",3,1971
"3707","RESIDENCE LE POTAGER","51",4,1971
"3709","RESIDENCE LE POTAGER","52",3,1971
"3711","RESIDENCE LE POTAGER","61",4,1971
"3713","RESIDENCE LE POTAGER","62",3,1971
"3715","RESIDENCE LE POTAGER","71",4,1971
"3717","RESIDENCE LE POTAGER","72",3,1971
"3719","RESIDENCE LE POTAGER","81",4,1971
"3721","RESIDENCE LE POTAGER","82",3,1971
"3723","RESIDENCE LE POTAGER","91",4,1971
"3725","RESIDENCE LE POTAGER","92",3,1971
"3727","RESIDENCE LE POTAGER","01",4,1971
"3729","RESIDENCE LE POTAGER","11",4,1971
"3731","RESIDENCE LE POTAGER","12",3,1971
"3733","RESIDENCE LE POTAGER","21",4,1971
"3735","RESIDENCE LE POTAGER","22",3,1971
"3737","RESIDENCE LE POTAGER","31",4,1971
"3739","RESIDENCE LE POTAGER","32",3,1971
"3741","RESIDENCE LE POTAGER","41",4,1971
"3743","RESIDENCE LE POTAGER","42",3,1971
"3745","RESIDENCE LE POTAGER","51",4,1971
"3747","RESIDENCE LE POTAGER","52",3,1971
"3749","RESIDENCE LE POTAGER","61",4,1971
"3751","RESIDENCE LE POTAGER","62",3,1971
"3753","RESIDENCE LE POTAGER","71",4,1971
"3755","RESIDENCE LE POTAGER","72",3,1971
"3757","RESIDENCE LE POTAGER","81",4,1971
"3759","RESIDENCE LE POTAGER","82",3,1971
"3761","RESIDENCE LE POTAGER","91",4,1971
"3763","RESIDENCE LE POTAGER","92",3,1971
"3765","RESIDENCE LE POTAGER","01",4,1971
"3767","RESIDENCE LE POTAGER","11",4,1971
"3769","RESIDENCE LE POTAGER","12",3,1971
"3771","RESIDENCE LE POTAGER","21",4,1971
"3773","RESIDENCE LE POTAGER","22",3,1971
"3775","RESIDENCE LE POTAGER","31",4,1971
"3777","RESIDENCE LE POTAGER","32",3,1971
"3779","RESIDENCE LE POTAGER","41",4,1971
"3781","RESIDENCE LE POTAGER","42",3,1971
"3783","RESIDENCE LE POTAGER","51",4,1971
"3785","RESIDENCE LE POTAGER","52",3,1971
"3787","RESIDENCE LE POTAGER","61",4,1971
"3789","RESIDENCE LE POTAGER","62",3,1971
"3791","RESIDENCE LE POTAGER","71",4,1971
"3793","RESIDENCE LE POTAGER","72",3,1971
"3795","RESIDENCE LE POTAGER","81",4,1971
