DATAFLOW,LAST UPDATE,freq,unit,sex,age,duration,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Autriche,2024,244.3,,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Bosnie-Herzégovine,2024,178.6,,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Belgique,2024,306.2,,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Bulgarie,2024,127.4,b,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Suisse,2024,221.3,,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Chypre,2024,24.9,,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Tchéquie,2024,138.8,,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Allemagne,2024,1490.1,,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Danemark,2024,201.7,,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Zone euro - 20 pays (à partir de 2023),2024,10917.2,,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Estonie,2024,57.1,,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Grèce,2024,479.8,,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Espagne,2024,2770.7,d,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Union européenne - 27 pays (à partir de 2020),2024,13048.8,,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Finlande,2024,238.4,,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,France,2024,2310.5,d,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Croatie,2024,89.2,,
ESTAT:LFSA_UGAD(1.0),11/12/25 23:00:00,Annuel,Milliers de personnes,Total,De 15 à 74 ans,Total,Hongrie,2024,220.4,,
