"code","nom","departement","region","commune","plm","epci"
"13208","Marseille 8e Arrondissement","13","93","13055",NA,NA
"17300","La Rochelle","17","75",NA,NA,"241700434"
"29197","Plouhinec","29","53",NA,NA,"242900629"
"33063","Bordeaux","33","75",NA,NA,"243300316"
"34172","Montpellier","34","76",NA,NA,"243400017"
"44109","Nantes","44","52",NA,NA,"244400404"
"45234","Orléans","45","24",NA,NA,"244500468"
"58086","Cosne-Cours-sur-Loire","58","27",NA,NA,"200067916"
"59392","Maubeuge","59","32",NA,NA,"200043396"
"60159","Compiègne","60","32",NA,NA,"200067965"
"61214","L'Aigle","61","28",NA,NA,"200068468"
"63113","Clermont-Ferrand","63","84",NA,NA,"246300701"
"64102","Bayonne","64","75",NA,NA,"200067106"
"64445","Pau","64","75",NA,NA,"200067254"
"67482","Strasbourg","67","44",NA,NA,"246700488"
"69382","Lyon 2e Arrondissement","69","84","69123",NA,NA
"72181","Le Mans","72","52",NA,NA,"247200132"
"74010","Annecy","74","84",NA,NA,"200066793"
"74080","La Clusaz","74","84",NA,NA,"247400617"
"75109","Paris 9e Arrondissement","75","11","75056",NA,NA
"75110","Paris 10e Arrondissement","75","11","75056",NA,NA
"75113","Paris 13e Arrondissement","75","11","75056",NA,NA
"75114","Paris 14e Arrondissement","75","11","75056",NA,NA
"75116","Paris 16e Arrondissement","75","11","75056",NA,NA
"75117","Paris 17e Arrondissement","75","11","75056",NA,NA
"75118","Paris 18e Arrondissement","75","11","75056",NA,NA
"75119","Paris 19e Arrondissement","75","11","75056",NA,NA
"75120","Paris 20e Arrondissement","75","11","75056",NA,NA
"77108","Chelles","77","11",NA,NA,"200057958"
"77186","Fontainebleau","77","11",NA,NA,"200072346"
"78551","Saint-Germain-en-Laye","78","11",NA,NA,"200058519"
"84007","Avignon","84","93",NA,NA,"248400251"
"85190","Rocheservière","85","52",NA,NA,"200070233"
"92002","Antony","92","11",NA,NA,"200054781"
"92012","Boulogne-Billancourt","92","11",NA,NA,"200054781"
"92023","Clamart","92","11",NA,NA,"200054781"
"92036","Gennevilliers","92","11",NA,NA,"200054781"
"92040","Issy-les-Moulineaux","92","11",NA,NA,"200054781"
"92044","Levallois-Perret","92","11",NA,NA,"200054781"
"92046","Malakoff","92","11",NA,NA,"200054781"
"92048","Meudon","92","11",NA,NA,"200054781"
"92049","Montrouge","92","11",NA,NA,"200054781"
"92072","Sèvres","92","11",NA,NA,"200054781"
"92078","Villeneuve-la-Garenne","92","11",NA,NA,"200054781"
"93005","Aulnay-sous-Bois","93","11",NA,NA,"200054781"
"93006","Bagnolet","93","11",NA,NA,"200054781"
"93029","Drancy","93","11",NA,NA,"200054781"
"93045","Les Lilas","93","11",NA,NA,"200054781"
"93050","Neuilly-sur-Marne","93","11",NA,NA,"200054781"
"93057","Les Pavillons-sous-Bois","93","11",NA,NA,"200054781"
"93066","Saint-Denis","93","11",NA,NA,"200054781"
"94028","Créteil","94","11",NA,NA,"200054781"
"94033","Fontenay-sous-Bois","94","11",NA,NA,"200054781"
"94041","Ivry-sur-Seine","94","11",NA,NA,"200054781"
"94046","Maisons-Alfort","94","11",NA,NA,"200054781"
"94052","Nogent-sur-Marne","94","11",NA,NA,"200054781"
"94068","Saint-Maur-des-Fossés","94","11",NA,NA,"200054781"
"94079","Villiers-sur-Marne","94","11",NA,NA,"200054781"
"94080","Vincennes","94","11",NA,NA,"200054781"
"94081","Vitry-sur-Seine","94","11",NA,NA,"200054781"
"95127","Cergy","95","11",NA,NA,"249500109"
"95252","Franconville","95","11",NA,NA,"200058485"
"97101","Les Abymes","971","01",NA,NA,"200018653"
"97213","Le Lamentin","972","02",NA,NA,"249720061"
