Recensement agricole 2020; ; ; ; ; ; 
Référentiel géographique : France (Métropole) par Commune 2020; ; ; ; ; ; 
Sélection : Côtes-d'Armor; ; ; ; ; ; 
Code;Libellé;Nombre d'exploitations avec superficie irrigable, 2020;Nombre d'exploitations avec superficie irrigable, 2020 - estimation (*=oui);Nombre d’exploitations avec des porcs à l'engraissement, 2020;Nombre d’exploitations avec des porcs à l'engraissement, 2020 - estimation (*=oui);SAU en 2020;SAU en 2020 - estimation (*=oui);Nombre de chefs d'exploitation et coexploitants, 2020;Nombre de chefs d'exploitation et coexploitants, 2020 - estimation (*=oui);Nombre de vaches laitières, 2020;Nombre de vaches laitières, 2020 - estimation (*=oui)
22001;Allineuc;0;;8;;2244;;50;;867;
22002;Andel;0;;8;;844;;27;;0;
22003;Aucaleuc;0;;0;;234;;5;;N/A;
22004;Bégard;N/A;;3;;2065;;59;;1153;
22005;Belle-Isle-en-Terre;0;;0;;259;;6;;N/A;
22006;Berhet;0;;4;;379;;13;;278;
22008;Bobital;0;;0;;91;;N/A;;N/A;
22009;Le Bodéo;0;;N/A;;916;;16;;364;
22011;Boqueho;0;;3;;1504;;45;;693;
22012;La Bouillie;N/A;;8;;742;;21;;N/A;
22013;Bourbriac;0;;N/A;;3949;;96;;2178;
22014;Bourseul;N/A;;11;;2035;;43;;898;
22015;Bréhand;N/A;;12;;1856;;51;;959;
22016;Île-de-Bréhat;N/A;;0;;31;;6;;N/A;
22018;Brélidy;N/A;;N/A;;333;;12;;N/A;
22019;Bringolo;N/A;;4;;805;;20;;441;
22020;Broons;N/A;;6;;2651;;53;;1404;
22021;Brusvily;0;;0;;352;;5;;204;
22023;Bulat-Pestivien;N/A;;N/A;;1998;;35;;712;
22024;Calanhel;0;;N/A;;1313;;25;;691;
22025;Callac;0;;N/A;;1038;;29;;308;
22026;Calorguen;0;*;0;*;686;*;9;*;519;*
22027;Le Cambout;0;;10;;2034;;41;;761;
22028;Camlez;6;;N/A;;907;;29;;248;
22029;Canihuel;N/A;;3;;2602;;43;;1071;
22030;Caouënnec-Lanvézéac;0;;0;;485;;13;;418;
22031;Carnoët;0;;3;;2646;;46;;1347;
22032;Caulnes;0;;18;;2631;;62;;1358;
22033;Caurel;0;*;0;*;484;*;9;*;197;*
22034;Cavan;N/A;;N/A;;988;;25;;738;
22035;Les Champs-Géraux;0;;6;;1453;;34;;780;
22036;La Chapelle-Blanche;0;;N/A;;551;;11;;N/A;
22037;La Chapelle-Neuve;0;;N/A;;1986;;36;;1057;
22039;La Chèze;0;;0;;42;;N/A;;N/A;
22040;Coadout;0;;N/A;;260;;7;;N/A;
22041;Coatascorn;N/A;;3;;763;;18;;314;
22042;Coatréven;0;;N/A;;636;;19;;386;
22043;Coëtlogon;0;;4;;1170;;27;;491;
22044;Coëtmieux;0;;5;;511;;10;;N/A;
22045;Cohiniac;N/A;;3;;600;;15;;388;
22046;Le Mené;4;;57;;11464;;276;;5814;
22047;Corlay;N/A;;N/A;;836;;13;;153;
22048;Corseul;N/A;;7;;2174;;47;;941;
22049;Créhen;N/A;;3;;1422;;23;;564;
22050;Dinan;N/A;;N/A;;246;;11;;N/A;
22052;Duault;0;;N/A;;1744;;23;;635;
22053;Éréac;0;;9;;1516;;32;;672;
22054;Erquy;4;;7;;1221;;28;;172;
22055;Binic-Étables-sur-Mer;0;;0;;415;;13;;90;
22056;Évran;N/A;;7;;1338;;31;;560;
22057;Le Faouët;N/A;*;N/A;*;389;*;12;*;138;*
22059;Le Fœil;N/A;;4;;1847;;42;;1066;
22060;Gausson;N/A;;10;;1478;;36;;936;
22061;Glomel;N/A;;4;;3784;;87;;1253;
22062;Gomené;0;;4;;993;;17;;320;
22063;Gommenec'h;N/A;;0;;557;;11;;282;
22064;Gouarec;0;;0;;373;;6;;239;
22065;Goudelin;0;;7;;1715;;42;;781;
22067;Grâces;N/A;;0;;707;;21;;439;
22068;Grâce-Uzel;0;;3;;819;;16;;458;
