Libellé Budget;Agrégat;Montant en € par habitant
AUBERVILLIERS;Autres dotations et subventions;151.6
AUBERVILLIERS;Autres impôts et taxes;33.7
AUBERVILLIERS;Charges financières;45.1
AUBERVILLIERS;Achats et charges externes;325.8
AUBERVILLIERS;Autres dotations de fonctionnement;4
AUBERVILLIERS;FCTVA;99.1
AUBERVILLIERS;Fiscalité reversée;88.5
AUBERVILLIERS;Fonds de roulement;227.9
AUBERVILLIERS;Impôts locaux;1032
AUBERVILLIERS;Péréquations et compensations fiscales;84.5
AUBERVILLIERS;Produit des cessions d'immobilisations;44.8
AUBERVILLIERS;Recettes de fonctionnement;1773.4
AUBERVILLIERS;Recettes d'investissement hors emprunts;305.6
AUBERVILLIERS;Subventions aux personnes de droit privé;57.1
AUBERVILLIERS;Subventions d'équipement versées;61.3
AUBERVILLIERS;Epargne de gestion;303.3
AUBERVILLIERS;Concours de l'Etat;462.7
AUBERVILLIERS;Crédits de trésorerie;0
AUBERVILLIERS;Dépenses de fonctionnement;1504.3
AUBERVILLIERS;Dépenses d'équipement;317.8
AUBERVILLIERS;Dépenses d'intervention;142.2
AUBERVILLIERS;Dépenses d'investissement hors remb;392.6
AUBERVILLIERS;Dépôts au Trésor;313.7
AUBERVILLIERS;Dotation globale de fonctionnement;374.2
AUBERVILLIERS;Encours de dette;1180.5
AUBERVILLIERS;Encours de dette - Dépôts et cautionnements reçus;0.5
AUBERVILLIERS;Ventes de biens et services;98.9
AUBERVILLIERS;Autres dépenses de fonctionnement;35.8
AUBERVILLIERS;Autres dépenses d'investissement;13.5
AUBERVILLIERS;Autres recettes de fonctionnement;47.7
AUBERVILLIERS;Autres recettes d'investissement;54.9
AUBERVILLIERS;Dépenses totales hors remb;1896.9
AUBERVILLIERS;Epargne brute;269.1
AUBERVILLIERS;Impôts et taxes;1065.7
AUBERVILLIERS;Encours de dette - Dettes bancaires et assimilées;1180
AUBERVILLIERS;Frais de personnel;955.4
AUBERVILLIERS;Subventions reçues et participations;98.5
AUBERVILLIERS;Recettes totales hors emprunts;2079
AUBERVILLIERS;Capacité ou besoin de financement;182.1
AUBERVILLIERS;Emprunts hors GAD;0.8
AUBERVILLIERS;Remboursements d'emprunts hors GAD;128.5
AUBERVILLIERS;Annuité de la dette;173.5
AUBERVILLIERS;Dépenses d'investissement;521.1
AUBERVILLIERS;Dépenses totales;2025.4
AUBERVILLIERS;Epargne nette;140.7
AUBERVILLIERS;Flux net de dette;-127.6
AUBERVILLIERS;Recettes d'investissement;306.4
AUBERVILLIERS;Recettes totales;2079.8
