Code,LIBCOM,nbEntreprises,RP,nonDiplomes,MFS
1001,L'Abergement-Clémenciat,41,316,16.4,0
1002,L'Abergement-de-Varey,18,106,0,0
1004,Ambérieu-en-Bugey,1097,6606,16,1
1005,Ambérieux-en-Dombes,133,723,17.3,0
1006,Ambléon,7,54,28.6,0
1007,Ambronay,157,1169,7.1,0
1008,Ambutrix,58,326,6.2,0
1009,Andert-et-Condon,29,147,11.1,0
1010,Anglefort,54,468,10.2,0
1011,Apremont,19,149,0,0
1012,Aranc,22,148,0,0
1013,Arandas,8,63,0,0
1014,Arbent,329,1364,19.4,0
1015,Arboys en Bugey,30,294,4.3,0
1016,Arbigny,18,184,0,0
1017,Argis,21,199,15,0
1019,Armix,2,14,0,0
1021,Ars-sur-Formans,106,546,15.6,0
1022,Artemare,88,578,18.4,0
1023,Asnières-sur-Saône,3,34,100,0
1024,Attignat,172,1348,8.9,0
1025,Bâgé-Dommartin,160,1597,11,0
1026,Bâgé-le-Châtel,59,429,8.8,0
1027,Balan,161,709,15,0
1028,Baneins,36,244,8.3,0
1029,Beaupont,29,262,58.3,0
1030,Beauregard,68,368,22.9,0
1031,Bellignat,264,1681,18.9,0
1032,Béligneux,225,1222,17.8,0
1033,Valserhône,946,7110,16.9,1
1034,Belley,732,4271,18.5,0
1035,Belleydoux,20,147,20,0
1036,Valromey-sur-Séran,80,609,7.2,0
1037,Bénonces,14,127,0,0
1038,Bény,37,321,3.9,0
1039,Béon,27,200,11.1,0
1040,Béréziat,15,190,14.3,0
1041,Bettant,28,331,8.7,0
1042,Bey,14,118,0,0
1043,Beynost,541,1901,12.8,0
1044,Billiat,33,267,6.1,0
1045,Birieux,14,103,N/A,0
1046,Biziat,45,345,12.9,0
1047,Blyes,121,447,2.9,0
1049,La Boisse,276,1257,13,0
1050,Boissey,13,133,27.3,0
1051,Bolozon,10,46,0,0
1052,Bouligneux,19,135,13.3,0
1053,Bourg-en-Bresse,3400,20441,20.9,0
1054,Bourg-Saint-Christophe,77,556,13.3,0
1056,Boyeux-Saint-Jérôme,17,150,20,0
1057,Boz,36,210,5.9,0
1058,Brégnier-Cordon,62,346,14.8,0
1060,Brénod,33,239,22.8,0
1061,Brens,69,467,19,0
1062,Bressolles,61,362,20,0
1063,Brion,46,231,60.4,0
