"variable","source"
"bureau","identifiant unique"
"Valeur.fonciere","vf"
"Surface.reelle.bati","vf"
"Nombre.pieces.principales","vf"
"Surface.terrain","vf"
"P19_MAISON","logement"
"P19_RP_120M2P","logement"
"P19_RP_ACHTOT","logement"
"P19_RP_ACH19","logement"
"P19_RP_ACH45","logement"
"P19_RP_ACH70","logement"
"P19_RP_ACH90","logement"
"P19_RP_ACH05","logement"
"P19_RP_ACH15","logement"
"P19_RP_CCCOLL","logement"
"ind","filosofi"
"men","filosofi"
"men_pauv","filosofi"
"men_1ind","filosofi"
"men_5ind","filosofi"
"men_prop","filosofi"
"men_fmp","filosofi"
"ind_snv","filosofi"
"men_surf","filosofi"
"men_coll","filosofi"
"men_mais","filosofi"
"log_av45","filosofi"
"log_45_70","filosofi"
"log_70_90","filosofi"
"log_ap90","filosofi"
"log_inc","filosofi"
"log_soc","filosofi"
"ind_0_3","filosofi"
"ind_4_5","filosofi"
"ind_6_10","filosofi"
"ind_11_17","filosofi"
"ind_18_24","filosofi"
"ind_25_39","filosofi"
"ind_40_54","filosofi"
"ind_55_64","filosofi"
"ind_65_79","filosofi"
"ind_80p","filosofi"
"ind_inc","filosofi"
"Code.du.département","election"
"Libellé.du.département","election"
"Code.de.la.circonscription","election"
"Libellé.de.la.circonscription","election"
"Code.de.la.commune","election"
"Libellé.de.la.commune","election"
"Code.du.b.vote","election"
"Inscrits","election"
"Abstentions","election"
"X..Abs.Ins","election"
"Votants","election"
"X..Vot.Ins","election"
"Blancs","election"
"X..Blancs.Ins","election"
"X..Blancs.Vot","election"
"Nuls","election"
"X..Nuls.Ins","election"
"X..Nuls.Vot","election"
"Exprimés","election"
"X..Exp.Ins","election"
"X..Exp.Vot","election"
"N.Panneau","election"
"Sexe","election"
"Nom","election"
"Prénom","election"
"Voix","election"
"X..Voix.Ins","election"
"X..Voix.Exp","election"
"N.Panneau.1","election"
"Sexe.1","election"
"Nom.1","election"
"Prénom.1","election"
"Voix.1","election"
"X..Voix.Ins.1","election"
"X..Voix.Exp.1","election"
"N.Panneau.2","election"
"Sexe.2","election"
"Nom.2","election"
"Prénom.2","election"
"Voix.2","election"
"X..Voix.Ins.2","election"
"X..Voix.Exp.2","election"
"N.Panneau.3","election"
"Sexe.3","election"
"Nom.3","election"
"Prénom.3","election"
"Voix.3","election"
"X..Voix.Ins.3","election"
"X..Voix.Exp.3","election"
"N.Panneau.4","election"
"Sexe.4","election"
"Nom.4","election"
"Prénom.4","election"
"Voix.4","election"
"X..Voix.Ins.4","election"
"X..Voix.Exp.4","election"
"N.Panneau.5","election"
"Sexe.5","election"
"Nom.5","election"
"Prénom.5","election"
"Voix.5","election"
"X..Voix.Ins.5","election"
"X..Voix.Exp.5","election"
"N.Panneau.6","election"
"Sexe.6","election"
"Nom.6","election"
"Prénom.6","election"
"Voix.6","election"
"X..Voix.Ins.6","election"
"X..Voix.Exp.6","election"
"N.Panneau.7","election"
"Sexe.7","election"
"Nom.7","election"
"Prénom.7","election"
"Voix.7","election"
"X..Voix.Ins.7","election"
"X..Voix.Exp.7","election"
"N.Panneau.8","election"
"Sexe.8","election"
"Nom.8","election"
"Prénom.8","election"
"Voix.8","election"
"X..Voix.Ins.8","election"
"X..Voix.Exp.8","election"
"N.Panneau.9","election"
"Sexe.9","election"
"Nom.9","election"
"Prénom.9","election"
"Voix.9","election"
"X..Voix.Ins.9","election"
"X..Voix.Exp.9","election"
"N.Panneau.10","election"
"Sexe.10","election"
"Nom.10","election"
"Prénom.10","election"
"Voix.10","election"
"X..Voix.Ins.10","election"
"X..Voix.Exp.10","election"
"N.Panneau.11","election"
"Sexe.11","election"
"Nom.11","election"
"Prénom.11","election"
"Voix.11","election"
"X..Voix.Ins.11","election"
"X..Voix.Exp.11","election"
"INSEE_COM","election"
