"","Var1","Freq"
"1","Tremblay-en-France",5
"2","Coubron",25
"3","Gournay-sur-Marne",50
"4","Vaujours",57
"5","Le Raincy",284
"6","Les Pavillons-sous-Bois",494
"7","Neuilly-Plaisance",685
"8","Pierrefitte-sur-Seine",768
"9","Clichy-sous-Bois",965
"10","Le Bourget",1151
"11","Montfermeil",1312
"12","Gagny",1376
"13","L'Île-Saint-Denis",1439
"14","Villetaneuse",1532
"15","Livry-Gargan",1596
"16","Neuilly-sur-Marne",1791
"17","Villemomble",1895
"18","Les Lilas",2087
"19","Épinay-sur-Seine",2187
"20","Montreuil",2254
"21","Dugny",2267
"22","Villepinte",2362
"23","Rosny-sous-Bois",2669
"24","Le Pré-Saint-Gervais",2712
"25","La Courneuve",2885
"26","Saint-Denis",3372
"27","Le Blanc-Mesnil",3557
"28","Sevran",3828
"29","Romainville",3841
"30","Noisy-le-Sec",4007
"31","Noisy-le-Grand",4445
"32","Aulnay-sous-Bois",4818
"33","Bagnolet",5084
"34","Saint-Ouen-sur-Seine",5227
"35","Stains",5749
"36","Bondy",6534
"37","Drancy",6668
"38","Pantin",7031
"39","Bobigny",8238
"40","Aubervilliers",9152
