"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"7","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93061,93310,"Le PrC)-Saint-Gervais","3","","RUE","J.B SEMANAZ","",NA,"",NA,3,"","","S085L-A","S085L","PRE ST GERVAIS 3R JB SEMANAZ","",2,"C",31,1937,1996,1996,2,52,1,"HLMO - 4001 - 4002 -  SANS N0","01/01/1979",NA,NA,"10/2012","E","F","2077","1","S085L","PRE ST GERVAIS 3R JB SEMANAZ",1,93061,"RUE J B SEMANAZ",2154,656239,6865104.3,"HZ","0107","CSZ","CSZ","HZ","1",1,11,NA,1,1,NA,NA,1,2021,1,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"94","1",51,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93061,93310,"Le PrC)-Saint-Gervais","89","","AVENUE","BELVEDERE","0042",NA,"",NA,4,"","","","V90-3952-A-0003","LE PRE ST GERVAIS 01","",2,"C",23,1960,1960,1987,1,51,1,"931995851231045","15/11/1995",NA,13,"08/2009","C","D","","1","","",1,93061,"AV DU BELVEDERE",2154,656501,6864729,"HZ","0106","CSZ","CSZ","1193051","1",1,11,NA,1,1,NA,NA,1,2021,1,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"97","1",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93061,93310,"Le PrC)-Saint-Gervais","91","","AVENUE","DU BELVEDERE - BAT 1","",NA,"",NA,9,"1 RESIDENCE LES VIGNES","01","BATIMENT 1","LES VIGNES","NUMERO 192","",2,"C",36,1985,1985,1985,1,12,1,"93--1983/79444/039","13/02/1984",NA,NA,"","","","2099","2","5063","LES VIGNES",1,93061,"AV DU BELVEDERE",2154,656499,6864744.6,"HZ","0106","CSZ","CSZ","1193051","1",1,11,NA,1,1,NA,NA,1,2021,1,0,1,"T08ZZZZZZ",851,1,1109,"très pauvres","petit"
"99","1",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93061,93310,"Le PrC)-Saint-Gervais","91","","AVENUE","DU BELVEDERE - BAT 1","",NA,"",NA,0,"1 RESIDENCE LES VIGNES","01","BATIMENT 1","LES VIGNES","NUMERO 104","",2,"C",31,1985,1985,1985,1,12,1,"93--1983/79444/039","13/02/1984",NA,NA,"","","","2099","2","5063","LES VIGNES",1,93061,"AV DU BELVEDERE",2154,656499,6864744.6,"HZ","0106","CSZ","CSZ","1193051","1",1,11,NA,1,1,NA,NA,1,2021,1,0,1,"T08ZZZZZZ",851,1,1109,"très pauvres","petit"
"113","1",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93061,93310,"Le PrC)-Saint-Gervais","91","","AVENUE","DU BELVEDERE - BAT 1","",NA,"",NA,7,"1 RESIDENCE LES VIGNES","01","BATIMENT 1","LES VIGNES","NUMERO 175","",2,"C",32,1985,1985,1985,1,12,1,"93--1983/79444/039","13/02/1984",NA,NA,"","","","2099","2","5063","LES VIGNES",1,93061,"AV DU BELVEDERE",2154,656499,6864744.6,"HZ","0106","CSZ","CSZ","1193051","1",1,11,NA,1,1,NA,NA,1,2021,1,0,1,"T08ZZZZZZ",851,1,1109,"très pauvres","petit"
"114","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93061,93310,"Le PrC)-Saint-Gervais","3","","RUE","J.B SEMANAZ","",NA,"",NA,2,"","","S085L-A","S085L","PRE ST GERVAIS 3R JB SEMANAZ","",2,"C",31,1937,1996,1996,2,52,1,"HLMO - 4001 - 4002 -  SANS N0","01/01/1979",NA,NA,"10/2012","E","F","2077","1","S085L","PRE ST GERVAIS 3R JB SEMANAZ",1,93061,"RUE J B SEMANAZ",2154,656239,6865104.3,"HZ","0107","CSZ","CSZ","HZ","1",1,11,NA,1,1,NA,NA,1,2021,1,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"128","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93061,93310,"Le PrC)-Saint-Gervais","3","","RUE","J.B SEMANAZ","",NA,"",NA,1,"","","S085L-A","S085L","PRE ST GERVAIS 3R JB SEMANAZ","",2,"C",28,1937,1996,1996,2,52,1,"HLMO - 4001 - 4002 -  SANS N0","01/01/1979",NA,NA,"10/2012","E","F","2077","1","S085L","PRE ST GERVAIS 3R JB SEMANAZ",1,93061,"RUE J B SEMANAZ",2154,656239,6865104.3,"HZ","0107","CSZ","CSZ","HZ","1",1,11,NA,1,1,NA,NA,1,2021,1,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"130","1",51,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93061,93310,"Le PrC)-Saint-Gervais","85","","AVENUE","BELVEDERE","0003",NA,"",NA,1,"","","","V90-3952-A-0001","LE PRE ST GERVAIS 01","",2,"C",23,1960,1960,1987,1,51,1,"931995851231045","15/11/1995",NA,13,"08/2009","C","D","","1","","",1,93061,"AV DU BELVEDERE",2154,656504.9,6864701.7,"HZ","0106","CSZ","CSZ","1193051","1",1,11,NA,1,1,NA,NA,1,2021,1,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"131","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93061,93310,"Le PrC)-Saint-Gervais","27","","AV","JEAN JAURES","0131",NA,"",NA,4,"","","","","","",2,"C",29,1931,1959,1931,1,99,1,"93/1992/AC/111","30/04/1993",NA,NA,"01/1900","","","","","","",2,93061,"AV JEAN JAURES",2154,656666.54,6864924.37,"HZ","0105","CSZ","CSZ","1193051","1",1,11,NA,1,1,NA,NA,1,2021,1,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"163","1",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93061,93310,"Le PrC)-Saint-Gervais","55","","RUE","DE PARIS","",NA,"",NA,1,"","","6031 01","6031","6031","",2,"C",42,1985,1985,1991,1,12,1,"93.1983.79.444.041","14/09/1983",NA,NA,"05/2019","D","E","","2","","",1,93061,"RUE DE PARIS",2154,656803.7,6864449.2,"HZ","0104","CSZ","CSZ","HZ","1",1,11,NA,1,1,NA,NA,1,2021,1,0,1,"T08ZZZZZZ",851,1,1109,"très pauvres","petit"
