"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"61","1",51,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","2","","SQ","HENRI DUNANT","0494",NA,"",NA,5,"","","","","","",2,"C",42,1971,1979,1975,1,51,1,"93/1992/AC/106","30/04/1993",NA,NA,"","","","","","","",2,93045,"SQ HENRI DUNANT",2154,657965.2,6864641.98,"CSZ","0105","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"77","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","207","","RUE","DE PARIS","0197",NA,"",NA,2,"","","","","","",2,"C",25,1933,1977,1933,1,99,1,"93/1992/AC/104","30/04/1993",NA,NA,"","","","","","","",2,93045,"RUE DE PARIS",2154,657747.4,6864842.9,"CSZ","0101","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"85","1",51,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","2","","SQ","HENRI DUNANT","0470",NA,"",NA,2,"","","","","","",2,"C",43,1971,1975,1975,1,51,1,"93/1992/AC/106","30/04/1993",NA,NA,"01/1900","","","","","","",2,93045,"SQ HENRI DUNANT",2154,657965.2,6864641.98,"CSZ","0105","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"123","1",14,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","15","","Rue","RUE RAYMONDE SALEZ","01",NA,"01",NA,2,"","","Batiment 5208 / 02","","LES LILAS Salez","",2,"C",35,2009,2009,2009,1,14,1,"93.2005/2002-844/074","01/03/2009",NA,NA,"","","","2050","2","5208","LES LILAS Salez",1,93045,"RUE RAYMONDE SALEZ",2154,657267.5,6864526.3,"CSZ","0109","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"moins pauvres","petit"
"138","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","1","","RUE","DES SABLONS","0215",NA,"",NA,2,"","","","","","",2,"C",26,1933,1980,1933,1,99,1,"93/1992/AC/104","30/04/1993",NA,NA,"01/1900","","","","","","",2,93045,"RUE DES SABLONS",2154,657678.79,6864827.66,"CSZ","0101","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"144","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","7","","SQ","HENRI DUNANT","0565",NA,"",NA,0,"","","","","","",2,"C",34,1971,1975,1975,1,52,1,"93/1992/AC/107","28/06/1993",NA,NA,"","","","","","","",2,93045,"SQ HENRI DUNANT",2154,657900.33,6864621.47,"CSZ","0105","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"152","1",54,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","70","","RUE","DE L'EGALITE","0003",NA,"",NA,0,"","","","V90-3658-A-0001","LES LILAS 09","",2,"C",34,1978,1978,1987,1,54,2,"","",NA,13,"07/2017","D","E","","1","","",1,93045,"RUE DE L EGALITE",2154,656940.8,6864816.3,"CSZ","0102","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"164","1",54,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","70","","RUE","DE L'EGALITE","0009",NA,"",NA,1,"","","","V90-3658-A-0001","LES LILAS 09","",2,"C",29,1978,1978,1987,1,54,2,"","",NA,13,"07/2017","D","E","","1","","",1,93045,"RUE DE L EGALITE",2154,656940.8,6864816.3,"CSZ","0102","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"234","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","8","","SQ","HENRI DUNANT","0579",NA,"",NA,0,"","","","","","",2,"C",34,1971,1979,1975,1,52,1,"93/1992/AC/107","28/06/1993",NA,NA,"","","","","","","",2,93045,"SQ HENRI DUNANT",2154,657881.29,6864626.51,"CSZ","0105","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"245","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","6","","SQ","HENRI DUNANT","0551",NA,"",NA,0,"","","","","","",2,"C",34,1971,1975,1975,1,52,1,"93/1992/AC/107","28/06/1993",NA,NA,"","","","","","","",2,93045,"SQ HENRI DUNANT",2154,657916.45,6864619.39,"CSZ","0105","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"261","1",49,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","41","","RUE","FLOREAL","0023",NA,"",NA,2,"","","","LILF-1-1","LILAS FLOREAL","",2,"C",27,1925,2004,2004,2,49,2,"","",NA,NA,"","","","","3","1","Pleine propriiti",1,93045,"RUE FLOREAL",2154,658166.4,6864410.5,"CSZ","0106","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"262","1",54,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","70","","RUE","DE L'EGALITE","0051",NA,"",NA,7,"","","","V90-3658-A-0001","LES LILAS 09","",2,"C",30,1978,1978,1987,1,54,2,"","",NA,13,"07/2017","D","E","","1","","",1,93045,"RUE DE L EGALITE",2154,656940.8,6864816.3,"CSZ","0102","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"275","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","46","","RUE","DE PARIS","0078",NA,"",NA,16,"","","","V90-4025-A-0001","LES LILAS 10","",2,"C",36,1977,1977,1987,1,52,1,"931995AC072","26/12/1995",NA,13,"11/2017","D","B","","1","","",1,93045,"RUE DE PARIS",2154,656886.04,6864425.43,"CSZ","0110","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"306","1",54,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","70","","RUE","DE L'EGALITE","0086",NA,"",NA,12,"","","","V90-3658-A-0001","LES LILAS 09","",2,"C",32,1978,1978,1987,1,54,2,"","",NA,13,"07/2017","D","E","","1","","",1,93045,"RUE DE L EGALITE",2154,656940.8,6864816.3,"CSZ","0102","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"402","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","207","","RUE","DE PARIS","0194",NA,"",NA,1,"","","","","","",2,"C",25,1933,1979,1933,1,99,1,"93/1992/AC/104","30/04/1993",NA,NA,"01/1900","","","","","","",2,93045,"RUE DE PARIS",2154,657747.4,6864842.9,"CSZ","0101","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"417","1",51,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","2","","SQ","HENRI DUNANT","0462",NA,"",NA,1,"","","","","","",2,"C",43,1971,1975,1975,1,51,1,"93/1992/AC/106","30/04/1993",NA,NA,"","","","","","","",2,93045,"SQ HENRI DUNANT",2154,657965.2,6864641.98,"CSZ","0105","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"446","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","5","","RUE","DES SABLONS","0282",NA,"",NA,1,"","","","","","",2,"C",27,1933,1935,1933,1,99,1,"93/1992/AC/104","30/04/1993",NA,NA,"","","","","","","",2,93045,"RUE DES SABLONS",2154,657700.8,6864890.08,"CSZ","0101","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"447","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","5","","RUE","DES SABLONS","0279",NA,"",NA,0,"","","","","","",2,"C",25,1933,1967,1933,1,99,1,"93/1992/AC/104","30/04/1993",NA,NA,"01/1900","","","","","","",2,93045,"RUE DES SABLONS",2154,657700.8,6864890.08,"CSZ","0101","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"449","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","46","","RUE","DE PARIS","0085",NA,"",NA,17,"","","","V90-4025-A-0001","LES LILAS 10","",2,"C",33,1977,1977,1987,1,52,1,"931995AC072","26/12/1995",NA,13,"11/2017","D","B","","1","","",1,93045,"RUE DE PARIS",2154,656886.04,6864425.43,"CSZ","0110","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"459","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","1","","ALL","DES HORTENSIAS","0206",NA,"",NA,2,"","","","","","",2,"C",26,1933,1956,1933,1,99,1,"93/1992/AC/104","30/04/1993",NA,NA,"01/1900","","","","","","",2,93045,"ALL DES HORTENSIAS",2154,657716,6864860.9,"CSZ","0101","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"501","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","111","","RUE","DE ROMAINVILLE","0086",NA,"",NA,3,"","","","V90-3241-B-0001","LES LILAS 02","",2,"C",30,1966,1966,1987,1,52,1,"931989AC080","04/01/1990",NA,13,"07/2017","E","E","","1","","",1,93045,"RUE DE ROMAINVILLE",2154,657569.4,6864408.6,"CSZ","0107","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"549","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","205","","RUE","DE PARIS","0221",NA,"",NA,1,"","","","","","",2,"C",25,1933,1980,1933,1,99,1,"93/1992/AC/104","30/04/1993",NA,NA,"","","","","","","",2,93045,"RUE DE PARIS",2154,657638.9,6864791.9,"CSZ","0101","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"573","1",49,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","41","","RUE","FLOREAL","0012",NA,"",NA,1,"","","","LILF-1-1","LILAS FLOREAL","",2,"C",32,1925,2004,2004,2,49,2,"","",NA,NA,"01/2018","E","C","","3","1","Pleine propriiti",1,93045,"RUE FLOREAL",2154,658166.4,6864410.5,"CSZ","0106","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"658","1",14,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","18","","BOULEVARD","EUGENE DECROS","123",NA,"1",NA,2,"","","1","","LES LILAS-18 BLD EUGENE DECROS","",2,"C",31,2005,2009,2005,4,14,1,"93/2005/2002-844/064","19/12/2005",NA,14,"02/2012","C","D","2036","2","1148","LES LILAS-18 BLD EUGENE DECROS",1,93045,"BD EUGENE DECROS",2154,657009.97,6864715.31,"CSZ","0103","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"moins pauvres","petit"
"669","1",54,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","70","","RUE","DE L'EGALITE","0121",NA,"",NA,17,"","","","V90-3658-A-0001","LES LILAS 09","",2,"C",30,1978,1978,1987,1,54,2,"","",NA,13,"07/2017","D","E","","1","","",1,93045,"RUE DE L EGALITE",2154,656940.8,6864816.3,"CSZ","0102","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"693","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","46","","RUE","DE PARIS","0084",NA,"",NA,17,"","","","V90-4025-A-0001","LES LILAS 10","",2,"C",36,1977,1977,1987,1,52,1,"931995AC072","26/12/1995",NA,13,"11/2017","D","B","","1","","",1,93045,"RUE DE PARIS",2154,656886.04,6864425.43,"CSZ","0110","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"702","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","111","","RUE","DE ROMAINVILLE","0084",NA,"",NA,2,"","","","V90-3241-B-0001","LES LILAS 02","",2,"C",30,1966,1966,1987,1,52,1,"931989AC080","04/01/1990",NA,13,"07/2017","E","E","","1","","",1,93045,"RUE DE ROMAINVILLE",2154,657569.4,6864408.6,"CSZ","0107","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"741","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","1","","RUE","DES SABLONS","0209",NA,"",NA,0,"","","","","","",2,"C",24,1933,1979,1933,1,99,1,"93/1992/AC/104","30/04/1993",NA,NA,"01/1900","","","","","","",2,93045,"RUE DES SABLONS",2154,657678.79,6864827.66,"CSZ","0101","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
