"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"13","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","16","","RUE","VAILLANT COUTURIER","",NA,"",NA,0,"","","S621L-B","S621L","NOISY LE SEC LES GROUX","",2,"C",37,1965,1965,1965,1,99,1,"93/1994/85-1231/137","07/04/1995",NA,NA,"09/2012","D","E","2010","1","S621L","NOISY LE SEC LES GROUX",1,93053,"RUE VAILLANT COUTURIER",2154,659662.2,6865801.3,"HZ","0115","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"18","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","16","","RUE","VAILLANT COUTURIER","",NA,"",NA,1,"","","S621L-B","S621L","NOISY LE SEC LES GROUX","",2,"C",31,1965,1965,1965,1,99,1,"93/1994/85-1231/137","07/04/1995",NA,NA,"09/2012","D","E","2010","1","S621L","NOISY LE SEC LES GROUX",1,93053,"RUE VAILLANT COUTURIER",2154,659662.2,6865801.3,"HZ","0115","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"25","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","1","","PLACE","DES PROVINCES","",NA,"",NA,0,"","","S617L-K","S617L","NOISY LE SEC AVENIR","",1,"C",27,1959,1959,1959,1,99,1,"93/1998/85-1231/049","26/10/1998",NA,NA,"04/2017","C","D","2013","1","S617L","NOISY LE SEC AVENIR",1,93053,"PL DES PROVINCES",2154,660338.6,6864926.6,"QP093022","0108","1135010","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"32","1",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","31","","RUE","HENRI BARBUSSE","",NA,"",NA,5,"","","S635L-A","S635L","NOISY LE SEC LES PETITS NOYERS","",2,"C",35,1995,1995,1995,1,12,1,"931993851231102","17/02/1994",NA,NA,"10/2012","C","D","2028","1","S635L","NOISY LE SEC LES PETITS NOYERS",1,93053,"RUE HENRI BARBUSSE",2154,660244.55,6865891.22,"HZ","0105","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","petit"
"40","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","1","","RUE","PONIATOWSKI","0542",NA,"",NA,1,"","","","","","",1,"C",26,1956,1982,1956,1,99,1,"93/1987/85/1231 126","30/12/1987",NA,NA,"","","","","","","",2,93053,"RUE PONIATOWSKI",2154,660559.7,6865516.9,"QP093021","0113","1135020","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"42","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","1","","RUE","PONIATOWSKI","0540",NA,"",NA,1,"","","","","","",1,"C",26,1956,1982,1956,1,99,1,"93/1987/85/1231 126","30/12/1987",NA,NA,"","","","","","","",2,93053,"RUE PONIATOWSKI",2154,660559.7,6865516.9,"QP093021","0113","1135020","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"44","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","1","","RUE","PONIATOWSKI","0539",NA,"",NA,1,"","","","","","",1,"C",25,1956,1982,1956,1,99,1,"93/1987/85/1231 126","30/12/1987",NA,NA,"","","","","","","",2,93053,"RUE PONIATOWSKI",2154,660559.7,6865516.9,"QP093021","0113","1135020","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"46","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","1","","RUE","PONIATOWSKI","0541",NA,"",NA,1,"","","","","","",1,"C",26,1956,1981,1956,1,99,1,"93/1987/85/1231 126","30/12/1987",NA,NA,"","","","","","","",2,93053,"RUE PONIATOWSKI",2154,660559.7,6865516.9,"QP093021","0113","1135020","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"56","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","1","","RUE","PONIATOWSKI","0543",NA,"",NA,1,"","","","","","",1,"C",26,1956,1975,1956,1,99,1,"93/1987/85/1231 126","30/12/1987",NA,NA,"","","","","","","",2,93053,"RUE PONIATOWSKI",2154,660559.7,6865516.9,"QP093021","0113","1135020","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"67","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","4","","AVENUE","DU 18 AVRIL 1944","",NA,"",NA,0,"","","S623L-O","S623L","NOISY LE SEC LES FLEURS","",2,"C",20,1966,1966,1966,1,99,1,"93/1997/85-1231/076 BIS","28/11/1997",NA,NA,"04/2019","D","E","2012","1","S623L","NOISY LE SEC LES FLEURS",1,93053,"AV DU 18 AVRIL 1944",2154,660140.74,6865297.54,"HZ","0114","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
