"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"2","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","9","","AV","DU 8 MAI 1945","047",NA,"01",NA,9,"","","9 AV. DU 8 MAI 1945","","PANTIN CENTRE","",2,"C",33,1963,1963,1963,1,52,1,"93/1985/85/1231/033 (E)","11/04/1986",NA,NA,"","","","2021","2","6","PANTIN CENTRE",1,93055,"AV DU HUIT MAI 1945",2154,656948.74,6865874.86,"HZ","0602","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"5","1",54,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","140","","AVENUE","JEAN JAURES","0075",NA,"",NA,11,"","","","V90-3254-B-0001","PANTIN 05/2","",1,"C",31,1977,1977,1987,1,54,1,"931989AC085","04/01/1990",NA,13,"08/2017","B","C","","1","","",1,93055,"AV JEAN JAURES",2154,655789.5,6867703.5,"QP093024","0501","1122020","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"29","1",11,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","14","BIS","RUE","BERTHIER","",NA,"",NA,6,"","","3028L-14","3028L","PANTIN 14/16 RUE BERTHIER","",1,"C",24,1999,1999,1999,1,11,1,"931996851231073","12/12/1996",NA,NA,"04/2011","C","D","2030","1","3028L","PANTIN 14/16 RUE BERTHIER",2,93055,"RUE BERTHIER",2154,655499.84,6866978.81,"QP093024","0201","1122020","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","petit"
"33","1",54,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","140","","AVENUE","JEAN JAURES","0082",NA,"",NA,12,"","","","V90-3254-B-0001","PANTIN 05/2","",1,"C",31,1977,1977,1987,1,54,1,"931989AC085","04/01/1990",NA,13,"08/2017","B","C","","1","","",1,93055,"AV JEAN JAURES",2154,655789.5,6867703.5,"QP093024","0501","1122020","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"38","1",11,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","16","TER","RUE","BERTHIER","",NA,"",NA,6,"","","3028L-16","3028L","PANTIN 14/16 RUE BERTHIER","",1,"C",18,1999,1999,1999,1,11,1,"931996851231073","12/12/1996",NA,NA,"04/2011","C","D","2030","1","3028L","PANTIN 14/16 RUE BERTHIER",2,93055,"RUE BERTHIER",2154,655501.88,6866977.43,"QP093024","0201","1122020","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","petit"
"47","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","3","","RUE","LAVOISIER","",NA,"",NA,4,"","","8114 01","8114","8114","",2,"C",37,1975,2004,2004,3,52,1,"931992AC034","03/08/1992",NA,NA,"11/2015","C","","","2","","",1,93055,"RUE LAVOISIER",2154,657331.2,6865634.4,"HZ","0401","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"49","1",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","21BI","","QUAI","DE L'OURCQ","106",NA,"01",NA,1,"","","21 BIS QUAI DE L'OURCQ","","ZAC OURCQ","",2,"C",35,1989,1990,1990,1,12,1,"93/1987/85/1231/046","22/09/1988",NA,NA,"","","","2021","2","20","ZAC OURCQ",1,93055,"QU DE L OURCQ",2154,656377.48,6866389.39,"HZ","0701","HZ","HZ","CSZ","",NA,11,NA,1,1,1,1,NA,2017,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","petit"
"52","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","9","","AV","DU 8 MAI 1945","042",NA,"01",NA,8,"","","9 AV. DU 8 MAI 1945","","PANTIN CENTRE","",2,"C",33,1963,1963,1963,1,52,1,"93/1985/85/1231/033 (E)","11/04/1986",NA,NA,"01/1900","","","2021","2","6","PANTIN CENTRE",1,93055,"AV DU HUIT MAI 1945",2154,656948.74,6865874.86,"HZ","0602","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"54","1",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","12BI","","RUE","EUGENE ET MARIE-LOUISE COR","1131",NA,"01",NA,3,"","","12 BIS RUE EUGENE ET M.L. CORNET","","MOTOBECANE (CORNET-LOLIVE)","",1,"C",34,1995,1995,1995,1,12,1,"93/1994/85/1231/004","15/06/1994",NA,NA,"","","","2028","2","21","MOTOBECANE (CORNET-LOLIVE)",1,93055,"RUE EUGENE ET M L CORNET",2154,656415.13,6866050.92,"HZ","0702","HZ","HZ","CSZ","",NA,11,NA,1,1,1,1,NA,2017,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","petit"
"57","1",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","12BI","","RUE","EUGENE ET MARIE-LOUISE COR","1142",NA,"01",NA,4,"","","12 BIS RUE EUGENE ET M.L. CORNET","","MOTOBECANE (CORNET-LOLIVE)","",1,"C",35,1995,1995,1995,1,12,1,"93/1994/85/1231/004","15/06/1994",NA,NA,"01/1900","","","2028","2","21","MOTOBECANE (CORNET-LOLIVE)",1,93055,"RUE EUGENE ET M L CORNET",2154,656415.13,6866050.92,"HZ","0702","HZ","HZ","CSZ","",NA,11,NA,1,1,1,1,NA,2017,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","petit"
