appetence,futur,passé,cours
2,ne sais pas,Licence 2,1
3,ne sais pas,Licence 2,1
2,ne sais pas,Licence 2,1
3,ne sais pas,Licence 2,1
2,autre,Licence 2,1
2,ne sais pas,Licence 2,1
2,urbanisme,Prépa,1
2,ne sais pas,Prépa,1
3,ne sais pas,Prépa,1
2,ne sais pas,Prépa,1
2,urbanisme,Licence 2,1
2,ne sais pas,Licence 2,1
3,ne sais pas,Licence 2,1
1,autre,Prépa,1
2,urbanisme,Licence 2,1
3,ne sais pas,Licence 2,1
2,urbanisme,Licence 2,1
2,ne sais pas,Licence 2,1
2,ne sais pas,Licence 2,1
2,autre,Licence 2,1
2,autre,Licence 2,1
3,urbanisme,Licence 2,3
4,autre,Licence 2,3
2,ne sais pas,Licence 2,3
3,ne sais pas,Prépa,3
3,ne sais pas,Prépa,3
2,ne sais pas,Licence 2,3
2,ne sais pas,Licence 2,3
2,ne sais pas,Licence 2,3
4,ne sais pas,Licence 2,2
2,urbanisme,Licence 2,2
2,autre,Licence 2,2
2,urbanisme,Licence 2,2
2,autre,Licence 2,2
2,urbanisme,Licence 2,2
2,ne sais pas,Licence 2,2
3,urbanisme,Licence 2,2
3,ne sais pas,Licence 2,2
1,ne sais pas,Licence 2,2
2,urbanisme,Licence 2,2
3,urbanisme,Licence 2,2
2,autre,L2 Bordeaux,2
3,ne sais pas,Licence 2,2
3,urbanisme,Licence 2,2
2,ne sais pas,L2 Bordeaux,2
2,autre,Licence 2,2
2,urbanisme,Licence 2,2
3,ne sais pas,Licence 2,2
2,géomatique,Licence 2,2
4,ne sais pas,Licence 2,2
4,ne sais pas,Licence 2,2
1,autre,Licence 2,2
2,autre,Licence 2,2
2,autre,Licence 2,2
