DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Albanie,2024,2.6,d,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Autriche,2024,2.9,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Belgique,2024,4.3,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Bulgarie,2024,2.6,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Suisse,2024,1.1,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Chypre,2024,2.3,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Tchéquie,2024,2.7,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Allemagne,2024,2.5,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Danemark,2024,1.3,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Zone euro - 19 pays (2015-2022),2024,2.4,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Zone euro - 20 pays (à partir de 2023),2024,2.4,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Estonie,2024,3.7,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Grèce,2024,3.0,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Espagne,2024,2.9,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Union européenne - 27 pays (à partir de 2020),2024,2.6,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Finlande,2024,1.0,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,France,2024,2.3,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Croatie,2024,4.0,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Hongrie,2024,3.7,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Irlande,2024,1.3,,
ESTAT:TEC00118(1.0),19/11/25 11:00:00,Annuel,Taux de variation moyen annuel,Ensemble ICPH,Islande,2024,4.5,,
