"";"dpt";"idcar_200m";"idcar_1km";"idcar_nat";"i_est_200";"i_est_1km";"lcog_geo";"ind";"men";"men_pauv";"men_1ind";"men_5ind";"men_prop";"men_fmp";"ind_snv";"men_surf";"men_coll";"men_mais";"log_av45";"log_45_70";"log_70_90";"log_ap90";"log_inc";"log_soc";"ind_0_3";"ind_4_5";"ind_6_10";"ind_11_17";"ind_18_24";"ind_25_39";"ind_40_54";"ind_55_64";"ind_65_79";"ind_80p"
"832842";"69";"CRS3035RES200mN2529600E3912400";"CRS3035RES1000mN2529000E3912000";"CRS3035RES1000mN2529000E3912000";1;0;"692446908969069";2;1;0,1;0,5;0;0,7;0,1;72030,5;126,5;0,3;0,7;0,3;0;0,5;0,2;0;0;0;0,1;0;0,1;0,2;0,3;0,2;0,3;0,5;0,3
"832847";"69";"CRS3035RES200mN2529600E3913400";"CRS3035RES1000mN2529000E3913000";"CRS3035RES1000mN2529000E3913000";0;0;"6924469089";50;21;2;8;1;13;4;1439449,9;1737;14;7;20;0;0;1;0;0;6;0;2;1;9;12;8;5;7;0
"832848";"69";"CRS3035RES200mN2529600E3913600";"CRS3035RES1000mN2529000E3913000";"CRS3035RES1000mN2529000E3913000";0;0;"6924469089";466;221;9;90;14;82;29;12777704;15515;214;7;15;0;17;189;0;56;33;4;29,5;41,5;32;169;86;28;32;11
"832849";"69";"CRS3035RES200mN2529600E3913800";"CRS3035RES1000mN2529000E3913000";"CRS3035RES1000mN2529000E3913000";0;0;"6924469089";186,5;84;4;30;5;34;10;5311651,7;5566;84;0;0;0;0;84;0;4;13;8;10,5;18;7;63;43;19;3;2
"833466";"69";"CRS3035RES200mN2529800E3911800";"CRS3035RES1000mN2529000E3911000";"CRS3035RES1000mN2529000E3911000";0;0;"6924469069";30;12;1;0;0;11;1;1231994,3;2008;0;12;0;0;9;3;0;0;1;0;0;3;2;2;7;4;9;2
"833467";"69";"CRS3035RES200mN2529800E3912000";"CRS3035RES1000mN2529000E3912000";"CRS3035RES1000mN2529000E3912000";0;0;"69244";67;22;0;3;5;22;1;2857602,9;3184;0;22;0;4;15;3;0;0;4;2;6;11;3;7;13;8;10;3
"833468";"69";"CRS3035RES200mN2529800E3912200";"CRS3035RES1000mN2529000E3912000";"CRS3035RES1000mN2529000E3912000";0;0;"69244";38;17;0;6;1;17;0;1616884,2;2761;0;17;2;2;8;5;0;0;1;1;0;3;4;2;7;9;6;5
"833469";"69";"CRS3035RES200mN2529800E3912400";"CRS3035RES1000mN2529000E3912000";"CRS3035RES1000mN2529000E3912000";1;0;"69244";9;4,6;0,6;2,2;0,2;3;0,4;324137,4;569,2;1,2;3,4;1,4;0,2;2,2;0,8;0;0;0;0,4;0;0,6;0,8;1,6;0,8;1,2;2,2;1,4
"833470";"69";"CRS3035RES200mN2529800E3912600";"CRS3035RES1000mN2529000E3912000";"CRS3035RES1000mN2529000E3912000";0;0;"69244";118;58;0;15;2;43;6;4111298,8;4851;48;10;2;1;4;51;0;0;2;1;5,5;10,5;6;32;29;9;20;3
"833471";"69";"CRS3035RES200mN2529800E3912800";"CRS3035RES1000mN2529000E3912000";"CRS3035RES1000mN2529000E3912000";1;0;"69244";12;6,1;0,8;2,9;0,3;4;0,5;432183,2;758,9;1,6;4,5;1,9;0,3;2,9;1;0;0;0;0,5;0;0,8;1,1;2,1;1,1;1,6;2,9;1,9
"833472";"69";"CRS3035RES200mN2529800E3913200";"CRS3035RES1000mN2529000E3913000";"CRS3035RES1000mN2529000E3913000";1;0;"6924469089";10;3,4;0,1;0,4;0,3;3;0,3;309810,2;437,4;0;3,4;0,7;0,3;1;1,4;0;0;0,2;0,3;1,5;0,8;0,9;1,3;2,4;0,8;1,3;0,5
