"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"1","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","6","","RUE","DES FRANCS AUBIERS","",NA,"",NA,0,"","","1067L-H","1067L","BONDY 3 NOUE CAILL","",1,"C",28,1964,1964,1964,1,99,1,"931988AC086","06/12/1988",NA,NA,"10/2012","C","D","2009","1","1067L","BONDY 3 NOUE CAILL",1,93010,"RUE DES FRANCS AUBIERS",2154,662033.69,6868728.32,"QP093014","0102","1127020","11270ZF","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"6","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","40","","PL","G. LYSSANDRE","23",NA,"",NA,3,"","","A","0002-01-01","RES. HENRI BARBUSSE","",2,"C",32,1954,1954,1954,1,52,1,"931992851231012","11/03/1994",NA,NA,"","","","2025","","SEGBDY","Segment Bondy",1,93010,"PL GEORGES LYSSANDRE",2154,662479.9,6866740.7,"HZ","0401","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"10","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","28","","RUE","LUCIE AUBRAC","0286",NA,"13",NA,1,"","","","","","",1,"C",29,1955,1982,2012,3,99,1,"93/1993/80-429/110","10/01/1994",NA,NA,"01/1900","","","","","","",2,93010,"RUE LUCIE AUBRAC",2154,661708.71,6868126.25,"QP093014","0107","1127020","11270ZF","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"11","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","","","","30 AVE DE LATTRE DE TAS.BAT.E2","152",NA,"",NA,0,"","","","0005-05-03","DE LATTRE DE TASSIGNY","",2,"C",28,1957,1957,1957,1,52,1,"931990851231082","15/10/1990",NA,NA,"","","","2024","","SEGBDY","Segment Bondy",1,93010,"AV DU MAL DE LATTRE DE TASSIGNY",2154,662017.33,6867221.81,"QP093014","0403","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"12","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","3","","AV","LEON BLUM","886",NA,"",NA,0,"","","I","0007-10-02","QUARTIER NOUE CAILLET","",1,"C",31,1961,1961,1961,1,52,1,"931988851231057","06/12/1998",NA,NA,"","","","","","SEGBDY","Segment Bondy",1,93010,"AV LEON BLUM",2154,661732.72,6868250.28,"QP093014","0103","1127020","11270ZF","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"15","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","6","","RUE","DES FRANCS AUBIERS","",NA,"",NA,2,"","","1067L-H","1067L","BONDY 3 NOUE CAILL","",1,"C",28,1964,1964,1964,1,99,1,"931988AC086","06/12/1988",NA,NA,"10/2012","C","D","2009","1","1067L","BONDY 3 NOUE CAILL",1,93010,"RUE DES FRANCS AUBIERS",2154,662033.69,6868728.32,"QP093014","0102","1127020","11270ZF","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"19","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","6","","RUE","DES FRANCS AUBIERS","",NA,"",NA,2,"","","1067L-H","1067L","BONDY 3 NOUE CAILL","",1,"C",28,1964,1964,1964,1,99,1,"931988AC086","06/12/1988",NA,NA,"10/2012","C","D","2009","1","1067L","BONDY 3 NOUE CAILL",1,93010,"RUE DES FRANCS AUBIERS",2154,662033.69,6868728.32,"QP093014","0102","1127020","11270ZF","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"21","1",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","6","","RUE","DES FRANCS AUBIERS","",NA,"",NA,1,"","","1067L-H","1067L","BONDY 3 NOUE CAILL","",1,"C",28,1964,1964,1964,1,99,1,"931988AC086","06/12/1988",NA,NA,"10/2012","C","D","2009","1","1067L","BONDY 3 NOUE CAILL",1,93010,"RUE DES FRANCS AUBIERS",2154,662033.69,6868728.32,"QP093014","0102","1127020","11270ZF","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"22","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","","","","32 AVE DE LATTRE DE TAS.BAT.E3","166",NA,"",NA,0,"","","","0005-06-01","DE LATTRE DE TASSIGNY","",2,"C",28,1957,1957,1957,1,52,2,"","",NA,NA,"","","","","","SEGBDY","Segment Bondy",1,93010,"AV DU MAL DE LATTRE DE TASSIGNY",2154,662012.09,6867202.24,"QP093014","0403","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"27","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","2","","RUE","MARTIN LUTHER KING","1151",NA,"",NA,0,"","","D2","0004-08-01","RESIDENCES RUE BLANQUI","",1,"C",25,1950,1950,1950,1,52,1,"931998851231074","27/11/1998",NA,NA,"01/1900","","","","","SEGBDY","Segment Bondy",1,93010,"RUE MARTIN LUTHER KING",2154,662533.04,6866507.78,"QP093012","0304","1127010","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"28","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","13","","PL","N. NEUBURGER","400",NA,"",NA,1,"","","F","0002-10-01","RES. HENRI BARBUSSE","",2,"C",37,1954,1954,1954,1,52,1,"931992851231012","11/03/1994",NA,NA,"01/1900","","","2025","","SEGBDY","Segment Bondy",1,93010,"PL NICOLE NEUBURGER",2154,662691.9,6867076.8,"HZ","0405","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"30","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","51","","PL","N. NEUBURGER","386",NA,"",NA,2,"","","E1","0002-09-06","RES. HENRI BARBUSSE","",2,"C",30,1954,1954,1954,1,52,1,"931992851231012","11/03/1994",NA,NA,"01/1900","","","2025","","SEGBDY","Segment Bondy",1,93010,"PL NICOLE NEUBURGER",2154,662672.69,6866980.22,"HZ","0405","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"36","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","71","","RUE","L.A. BLANQUI","735",NA,"",NA,0,"","","E5","0004-10-01","RESIDENCES RUE BLANQUI","",1,"C",28,1950,1950,1950,1,52,1,"931990851231082","15/10/1990",NA,NA,"","","","2024","","SEGBDY","Segment Bondy",1,93010,"RUE LOUIS AUGUSTE BLANQUI",2154,662175.2,6866686.6,"QP093012","0402","1127010","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"39","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","3","","AV","LEON BLUM","885",NA,"",NA,0,"","","I","0007-10-02","QUARTIER NOUE CAILLET","",1,"C",31,1961,1961,1961,1,52,1,"931988851231057","06/12/1998",NA,NA,"","","","","","SEGBDY","Segment Bondy",1,93010,"AV LEON BLUM",2154,661732.72,6868250.28,"QP093014","0103","1127020","11270ZF","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
