"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"1",1,"10",11,"√éle-de-France",92,"Hauts-de-Seine",200054781,"M√©tropole du Grand Paris",1,92023,92140,"Clamart","9","","Rue","RUE HEBERT","01","","01",NA,"3","","","Batiment 5188 / 01","","CLAMART Le Nadar","",2,"C",22,2010,"2010",2010,"1","10",1,"3398","11/10/2010",NA,NA,"01/2010","C","D",2059,2,"5188","CLAMART Le Nadar",1,"92023","RUE HEBERT",2154,646587.2,6857237,"CSZ","0301","CSZ","CSZ","HZ",1,1,11,NA,NA,1,NA,NA,1,2021,0,0,1,"T02ZZZZZZ",851,1,1109,"très pauvres","petit"
"2",1,"52",11,"√éle-de-France",92,"Hauts-de-Seine",200054781,"M√©tropole du Grand Paris",1,92023,92140,"Clamart","1","","ALL","PIERRE DE FERMAT","0","","1",NA,"0","","","R8","TRIVAUX LA GARENNE","","R 8",2,"C",28,1964,"1967",1964,"1","52",1,"9219881185123140920141011","15/11/1988",NA,NA,"11/2008","D","E",2050,1,"2000","TRIVAUX LA GARENNE",1,"92023","ALL PIERRE DE FERMAT",2154,643346.8,6853810.1,"CSZ","0505","CSZ","CSZ","1192012",1,1,11,NA,NA,1,NA,NA,1,2021,0,0,1,"T02ZZZZZZ",851,1,1109,"pauvres","petit"
"3",1,"99",11,"√éle-de-France",92,"Hauts-de-Seine",200054781,"M√©tropole du Grand Paris",1,92023,92140,"Clamart","11","","","RUE DES CARNETS","0","","",NA,"1","","","RUE DES CARNETS 11","11 RUE DES CARNETS","","",2,"C",23,1993,"2020",2020,"3","99",2,"","",NA,NA,"","","",NA,NA,"","",1,"92023","RUE DES CARNETS",2154,645724.3,6854713.8,"CSZ","0401","CSZ","CSZ","HZ",1,1,11,NA,NA,1,NA,NA,1,2021,0,0,1,"T02ZZZZZZ",851,1,1109,"pauvres","petit"
"4",1,"11",11,"√éle-de-France",92,"Hauts-de-Seine",200054781,"M√©tropole du Grand Paris",1,92023,92140,"Clamart","","","","51 Avenue Victor Hugo","1","","",NA,"0","","","","CHUG-BT1-51","R?©s. VICTOR HUGO (CLAM.)","",2,"C",15,1992,"1992",1992,"1","11",1,"9219920285123120000000000","03/02/1992",NA,NA,"01/2013","E","C",2024,1,"","",2,"92023","AV VICTOR HUGO",2154,646180.3,6856267.1,"CSZ","0302","CSZ","CSZ","HZ",1,1,11,NA,NA,1,NA,NA,1,2021,0,0,1,"T02ZZZZZZ",851,1,1109,"très pauvres","petit"
"5",1,"10",11,"√éle-de-France",92,"Hauts-de-Seine",200054781,"M√©tropole du Grand Paris",1,92023,92140,"Clamart","9","","Rue","RUE HEBERT","04","","01",NA,"2","","","Batiment 5188 / 01","","CLAMART Le Nadar","",2,"C",23,2010,"2010",2010,"1","10",1,"3398","11/10/2010",NA,NA,"01/2010","C","D",2059,2,"5188","CLAMART Le Nadar",1,"92023","RUE HEBERT",2154,646587.2,6857237,"CSZ","0301","CSZ","CSZ","HZ",1,1,11,NA,NA,1,NA,NA,1,2021,0,0,1,"T02ZZZZZZ",851,1,1109,"très pauvres","petit"
"6",1,"10",11,"√éle-de-France",92,"Hauts-de-Seine",200054781,"M√©tropole du Grand Paris",3,92023,92140,"Clamart","72","","Avenue","B AVENUE JEAN JAURES","01","","01",NA,"3","","","Batiment 5021 / 01","","CLAMART JaurËs","",2,"C",24,1930,"1984",2005,"3","10",1,"92 2007 06 99864 2 5 1863","27/06/2007",NA,NA,"01/2009","F","G",2039,2,"5021","CLAMART JaurËs",1,"92023","AV JEAN JAURES",2154,646118.98,6856282.71,"CSZ","0302","CSZ","CSZ","HZ",1,1,11,NA,NA,1,NA,NA,1,2021,0,0,1,"T02ZZZZZZ",851,1,1109,"très pauvres","petit"
"7",1,"14",11,"√éle-de-France",92,"Hauts-de-Seine",200054781,"M√©tropole du Grand Paris",1,92023,92140,"Clamart","20/22","","RUE","CHEF DE VILLE","0","","",NA,"0","","","CHEF DE VILLE 20/22","20-22 RUE CHEF DE VILLE","","",2,"C",33,1920,"2009",2009,"3","14",1,"922008049986420920143360","08/08/2008",NA,NA,"02/2011","D","C",2050,1,"4021","20-22 RUE CHEF DE VILLE",1,"92023","RUE CHEF DE VILLE",2154,646053.9,6855811.4,"CSZ","0104","CSZ","CSZ","HZ",1,1,11,NA,NA,1,NA,NA,1,2021,0,0,1,"T02ZZZZZZ",851,1,1109,"moins pauvres","petit"
"8",1,"11",11,"√éle-de-France",92,"Hauts-de-Seine",200054781,"M√©tropole du Grand Paris",1,92023,92140,"Clamart","4","","RUE","BOILEAU","","","",NA,"00","","","1068L-D","1068L","CLAMART PAVE BLANC","",2,"C",37,1964,"1996",1996,"1","11",1,"9219960685123120750782086","30/06/1996",NA,NA,"03/2011","D","F",2030,1,"1068L","CLAMART PAVE BLANC",2,"92023","RUE BOILEAU",2154,643929.4,6854225.1,"CSZ","0501","CSZ","CSZ","1192012",1,1,11,NA,NA,1,NA,NA,1,2021,0,0,1,"T02ZZZZZZ",851,1,1109,"très pauvres","petit"
"9",1,"14",11,"√éle-de-France",92,"Hauts-de-Seine",200054781,"M√©tropole du Grand Paris",1,92023,92140,"Clamart","48","","RUE","CHEF DE VILLE","0","","",NA,"0","","","CHEF DE VILLE 48","48 RUE CHEF DE VILLE","","",2,"C",32,1920,"2005",2005,"3","14",1,"922008049986420920143360","08/08/2008",NA,NA,"02/2011","D","B",2050,1,"4023","48 RUE CHEF DE VILLE",1,"92023","RUE CHEF DE VILLE",2154,646139,6855924.1,"CSZ","0104","CSZ","CSZ","HZ",1,1,11,NA,NA,1,NA,NA,1,2021,0,0,1,"T02ZZZZZZ",851,1,1109,"moins pauvres","petit"
"10",1,"11",11,"√éle-de-France",92,"Hauts-de-Seine",200054781,"M√©tropole du Grand Paris",1,92023,92140,"Clamart","","","","44 Rue de Meudon","4","","",NA,"1","ESCALIER A","","","LPAS-BT1-44A","R?©s. L.PASTEUR (CLAMART)","",2,"C",19,1997,"1997",1997,"1","11",1,"92 1996 06 85 1231 2092057 2054","28/06/1996",NA,NA,"01/2015","E","C",2030,1,"","",2,"92023","RUE DE MEUDON",2154,645538.1,6856073,"CSZ","0102","CSZ","CSZ","HZ",1,1,11,NA,NA,1,NA,NA,1,2021,0,0,1,"T02ZZZZZZ",851,1,1109,"très pauvres","petit"
