"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"403","1","49","11","Cle-de-France","91","Essonne","200059228","CA Grand Paris Sud Seine Essonne SC)nart","1","91174","91100","Corbeil-Essonnes","8","B","RUE","DE LA PAPETERIE","","","","","02","","","R322L-D","R322L","CORBEIL LA NACELLE","","1","C","30","1971","1996","1996","1","49","1","911121987851231092011054","30/12/1987","","","10/2013","D","F","2013","1","R322L","CORBEIL LA NACELLE","1","91174","RUE DE LA PAPETERIE","2154","660630,36","6833101,33","QP091004","0401","1110010","HZ","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200059228","00851","001","1104","pauvres","petit"
"477","1","11","11","Cle-de-France","91","Essonne","200059228","CA Grand Paris Sud Seine Essonne SC)nart","1","91174","91100","Corbeil-Essonnes","19","","PLACE","DES CASTORS","","","","","0","","","0042.01","0042.01","0042","","1","C","33","1995","1995","1995","1","11","1","91.1.11199385.1231.094.014","22/11/1993","","","02/2011","D","E","2027","1","ESSON","ESSONE","1","91174","PL DES CASTORS","2154","661551,58","6833622,63","HZ","0701","1110030","HZ","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200059228","00851","001","1104","très pauvres","petit"
"560","1","49","11","Cle-de-France","91","Essonne","200059228","CA Grand Paris Sud Seine Essonne SC)nart","1","91174","91100","Corbeil-Essonnes","3","","RUE","LEON RAULT","","","","","06","","","1235L-F","1235L","CORBEIL ND DES CHA","","1","C","38","1970","1988","1988","1","49","1","911071984851231075078029","18/11/1986","","","08/2013","D","F","2014","1","1235L","CORBEIL ND DES CHA","2","91174","RUE LEON RAULT","2154","661269,6","6833228,9","QP091003","0701","HZ","HZ","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200059228","00851","001","1104","pauvres","petit"
"571","1","13","11","Cle-de-France","91","Essonne","200059228","CA Grand Paris Sud Seine Essonne SC)nart","1","91174","91100","Corbeil-Essonnes","","","","4 Rue du Belvedere","0543","","","","4","","","408","BELV-0408-0001","LE BELVEDERE","","1","C","30","2010","2010","2010","1","13","1","91105201002840091007/023","27/05/2010","","","02/2018","C","D","2060","1","91005","Seine Essonne","1","91174","RUE DU BELVEDERE","2154","661801,8","6833491,6","QP091003","0801","HZ","HZ","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200059228","00851","001","1104","pauvres","petit"
"583","1","52","11","Cle-de-France","91","Essonne","200059228","CA Grand Paris Sud Seine Essonne SC)nart","1","91174","91100","Corbeil-Essonnes","2","BIS","RUE","RAYMOND BRUNOT","","","","","02","","","R310L-A","R310L","CORBEIL MOULIN GALANT","","2","C","33","1969","1969","1969","1","52","1","911011989851231075079008","27/01/1989","","","09/2013","D","E","2007","1","R310L","CORBEIL MOULIN GALANT","1","91174","RUE RAYMOND BRUNOT","2154","661001,05","6832067,13","HZ","0301","HZ","HZ","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200059228","00851","001","1104","pauvres","petit"
"629","1","99","11","Cle-de-France","91","Essonne","200059228","CA Grand Paris Sud Seine Essonne SC)nart","1","91174","91100","Corbeil-Essonnes","6","","RUE","LEON RAULT","","","","","04","","","1235L-E","1235L","CORBEIL ND DES CHA","","1","C","37","1970","1970","1970","1","99","1","911071984851231075078029","18/11/1986","","","08/2013","D","F","2014","1","1235L","CORBEIL ND DES CHA","2","91174","RUE LEON RAULT","2154","661294,1","6833218,2","QP091003","0701","HZ","HZ","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200059228","00851","001","1104","pauvres","petit"
"646","1","49","11","Cle-de-France","91","Essonne","200059228","CA Grand Paris Sud Seine Essonne SC)nart","1","91174","91100","Corbeil-Essonnes","10","A","RUE","DE LA PAPETERIE","","","","","02","","","R322L-D","R322L","CORBEIL LA NACELLE","","1","C","30","1971","1995","1995","1","49","1","911121987851231092011054","30/12/1987","","","10/2013","D","F","2013","1","R322L","CORBEIL LA NACELLE","1","91174","RUE DE LA PAPETERIE","2154","660651,8","6833070,42","QP091004","0401","1110010","HZ","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200059228","00851","001","1104","pauvres","petit"
"698","1","99","11","Cle-de-France","91","Essonne","200059228","CA Grand Paris Sud Seine Essonne SC)nart","1","91174","91100","Corbeil-Essonnes","6","","RUE","LEON RAULT","","","","","08","","","1235L-E","1235L","CORBEIL ND DES CHA","","1","C","37","1970","1970","1970","1","99","1","911071984851231075078029","18/11/1986","","","08/2013","D","F","2014","1","1235L","CORBEIL ND DES CHA","2","91174","RUE LEON RAULT","2154","661294,1","6833218,2","QP091003","0701","HZ","HZ","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200059228","00851","001","1104","pauvres","petit"
"699","1","51","11","Cle-de-France","91","Essonne","200059228","CA Grand Paris Sud Seine Essonne SC)nart","1","91174","91100","Corbeil-Essonnes","6","","Rue","RUE G. COURBET","07","","01","","0","","","Batiment 1096 / 02","","CORBEIL COURBET","","1","C","29","1971","1971","1971","1","51","1","91.1.12.1987.85.1231.075.099.053","24/12/1987","","13","12/2020","D","D","2022","2","1096","CORBEIL COURBET","1","91174","RUE GUSTAVE COURBET","2154","660786,66","6835181,26","QP091002","0101","1110020","1112NZF","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200059228","00851","001","1104","pauvres","petit"
"702","1","13","11","Cle-de-France","91","Essonne","200059228","CA Grand Paris Sud Seine Essonne SC)nart","1","91174","91100","Corbeil-Essonnes","24","","Chemin","CHEMIN DES MOZARDS","02","","02","","3","","","Batiment 1539 / 01","","CORBEIL CLOS DES AMANDIERS","","1","C","40","2009","2009","2009","1","13","1","91-1-01-2008-02-840-075.099/006","01/12/2008","","","","","","2058","2","1539","CORBEIL CLOS DES AMANDIERS","1","91174","CHE DES MOZARDS","2154","661673,9","6832674,5","HZ","0801","HZ","HZ","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200059228","00851","001","1104","pauvres","petit"
