"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"32","1",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","","","","25 ALLEE Arc en Ciel","0402",NA,"",NA,4,"","","","0F01-681F-09-25","BLANC-MESNIL  G. DOREL","",1,"C",35,1933,2001,2001,1,12,1,"93/1997/85.1231/072","27/11/1997",NA,NA,"01/1900","","","","2","","",1,93007,"ALL L ARC EN CIEL",2154,659238.5,6872622.8,"QP093055","0104","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"très pauvres","petit"
"49","1",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","","","","28 ALLEE arc en ciel","0001",NA,"",NA,0,"","","","0F01-681F-10-28","BLANC-MESNIL  G. DOREL","",1,"C",36,1933,1999,1999,1,12,1,"93/1997/85.1231/072","27/11/1997",NA,NA,"01/1900","","","","2","","",1,93007,"ALL L ARC EN CIEL",2154,659234.6,6872598.8,"QP093055","0104","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"très pauvres","petit"
"69","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","1","","RUE","GUILLAUME APOLLINAIRE","",NA,"",NA,1,"","","443-02","443","443","",1,"C",36,1971,1971,2010,1,52,1,"93/1989/AC 023","12/04/1989",NA,13,"09/2010","D","D","","","S2","Le Blanc Mesnil",2,93007,"RUE GUILLAUME APOLLINAIRE",2154,659333.29,6872560.26,"QP093055","0103","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"pauvres","petit"
"100","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","129","","AV","ARISTIDE BRIAND","0030",NA,"",NA,3,"","","","","","",1,"C",36,1975,1975,1975,1,52,1,"93/1992/AC/103","30/04/1993",NA,NA,"","","","","","","",2,93007,"AV ARISTIDE BRIAND",2154,659700.7,6871816.4,"QP093055","0106","HZ","HZ","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"pauvres","petit"
"125","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","","","","CITE DES BLES D'OR","",NA,"",NA,3,"Bbt. 3 - Esc. G","","021-3","021","021","",1,"C",34,1961,1961,1961,1,52,1,"93/1991/AC/150","17/04/1992",NA,13,"09/2009","E","F","2022","2","S2","Le Blanc Mesnil",1,93007,"CITE DES BLES D OR",2154,660890.95,6869330.42,"QP093014","0118","HZ","HZ","HZ","",NA,11,NA,1,1,1,1,1,2019,1,1,1,"T07ZZZZZZ",851,1,1112,"pauvres","petit"
"142","1",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","11","","ALL","DE LA NATION","0713",NA,"",NA,1,"","","","","","",2,"C",33,1995,1996,1995,1,12,1,"93/1993/80-415/047","29/04/1994",NA,NA,"01/1900","","","","","","",2,93007,"ALL DE LA NATION",2154,661011.07,6871647.19,"HZ","0114","HZ","HZ","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"très pauvres","petit"
"158","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","129","","AV","ARISTIDE BRIAND","0022",NA,"",NA,2,"","","","","","",1,"C",36,1975,1975,1975,1,52,1,"93/1992/AC/103","30/04/1993",NA,NA,"","","","","","","",2,93007,"AV ARISTIDE BRIAND",2154,659700.7,6871816.4,"QP093055","0106","HZ","HZ","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"pauvres","petit"
"260","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","15","","RUE","EMILE ZOLA","0301",NA,"",NA,3,"","","","V90-3244-O-0001","LE BLANC MESNIL 06/1","",1,"C",31,1965,1965,1987,1,52,1,"931989AC095","04/01/1990",NA,13,"07/2017","E","F","","1","","",1,93007,"RUE EMILE ZOLA",2154,660044.79,6872121.68,"QP093055","0109","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"pauvres","petit"
"308","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","129","","AV","ARISTIDE BRIAND","0014",NA,"",NA,1,"","","","","","",1,"C",36,1975,1975,1975,1,52,1,"93/1992/AC/103","30/04/1993",NA,NA,"01/1900","","","","","","",2,93007,"AV ARISTIDE BRIAND",2154,659700.7,6871816.4,"QP093055","0106","HZ","HZ","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"pauvres","petit"
"324","1",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","15","","RUE","EMILE ZOLA","0291",NA,"",NA,2,"","","","V90-3244-O-0001","LE BLANC MESNIL 06/1","",1,"C",31,1965,1965,1987,1,52,1,"931989AC095","04/01/1990",NA,13,"07/2017","E","F","","1","","",1,93007,"RUE EMILE ZOLA",2154,660044.79,6872121.68,"QP093055","0109","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"pauvres","petit"
