"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"2164168";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";162000;8;"T";"RUE";"0080";"DE BASMONT";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AR";146;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;90;3;"S";"";131
"2164169";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";162000;8;"B";"RUE";"0080";"DE BASMONT";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AR";152;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";12
"2164170";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";162000;8;"B";"RUE";"0080";"DE BASMONT";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AR";153;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";13
"2164171";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";162000;8;"B";"RUE";"0080";"DE BASMONT";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AR";161;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";183
"2164577";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"15/01/2022";"Vente";227300;8;"";"RUE";"0820";"GUY PERON";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AD";269;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;112;5;"S";"";556
"2164578";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"15/01/2022";"Vente";227300;8;"";"RUE";"0820";"GUY PERON";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AD";269;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";556
"2164579";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"17/01/2022";"Vente terrain à bâtir";81500;NA;"";"CHE";"0730";"DU GRAIN TOMBE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"ZM";249;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"AB";"";606
"2164630";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";80000;36;"";"RTE";"0045";"D AUNAY";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AY";136;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";580
"2164631";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";80000;36;"";"RTE";"0045";"D AUNAY";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AY";139;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";121
"2164632";"'45203";NA;NA;NA;NA;NA;NA;NA;2;"04/01/2022";"Vente";110000;36;"";"RTE";"0045";"D AUNAY";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AY";135;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";520
