Zone,Total_deces_2020
Dept_09,1
Dept_43,2
Dept_55,2
Dept_976,2
Dept_32,3
Dept_2A,4
Dept_2B,4
Dept_48,4
Dept_52,4
Dept_65,5
Dept_70,5
Dept_973,5
Dept_07,6
Dept_15,6
Dept_23,6
Dept_27,6
Dept_46,6
Dept_04,7
Dept_05,7
Dept_36,7
Dept_39,7
Dept_972,7
Dept_974,7
Dept_08,8
Dept_10,8
Dept_19,8
Dept_01,9
Dept_03,9
Dept_11,9
Dept_18,9
Dept_40,9
Dept_79,9
Dept_12,10
Dept_53,10
Dept_82,10
Dept_89,10
Dept_90,10
Dept_50,11
Dept_21,12
Dept_61,12
Dept_73,12
Dept_81,12
Dept_16,13
Dept_28,13
Dept_58,13
Dept_88,13
Dept_26,14
Dept_86,14
Dept_41,15
Dept_60,15
Dept_37,16
Dept_47,16
Dept_66,16
Dept_71,16
Dept_25,18
Dept_74,18
Dept_30,19
Dept_87,19
Dept_24,20
Dept_17,21
Dept_22,21
Dept_42,21
Dept_51,21
Dept_63,21
Dept_971,21
Dept_91,22
Dept_02,23
Dept_35,23
Dept_45,23
Dept_95,23
Dept_64,24
Dept_85,24
Dept_93,24
Dept_54,25
Dept_72,25
Dept_94,25
Dept_14,27
Dept_31,27
Dept_49,27
Dept_34,28
Dept_78,28
Dept_80,28
Dept_29,29
Dept_84,29
Dept_68,30
Dept_92,30
Dept_38,31
Dept_56,31
Dept_67,31
Dept_77,32
Dept_76,33
Dept_57,40
Dept_83,42
Dept_06,44
Dept_62,47
Dept_69,47
Dept_44,48
Dept_75,48
Dept_33,57
Dept_13,63
Dept_59,68
