"","LIBCOM","nb","zone"
"1","Paris 10e Arrondissement",6846,"IDF_DEP_75"
"2","Paris 11e Arrondissement",10155,"IDF_DEP_75"
"3","Paris 12e Arrondissement",16800,"IDF_DEP_75"
"4","Paris 13e Arrondissement",33988,"IDF_DEP_75"
"5","Paris 14e Arrondissement",19047,"IDF_DEP_75"
"6","Paris 15e Arrondissement",22492,"IDF_DEP_75"
"7","Paris 16e Arrondissement",5366,"IDF_DEP_75"
"8","Paris 17e Arrondissement",14659,"IDF_DEP_75"
"9","Paris 18e Arrondissement",21421,"IDF_DEP_75"
"10","Paris 19e Arrondissement",34379,"IDF_DEP_75"
"11","Paris 1er Arrondissement",1000,"IDF_DEP_75"
"12","Paris 20e Arrondissement",34451,"IDF_DEP_75"
"13","Paris 2e Arrondissement",676,"IDF_DEP_75"
"14","Paris 3e Arrondissement",1497,"IDF_DEP_75"
"15","Paris 4e Arrondissement",2286,"IDF_DEP_75"
"16","Paris 5e Arrondissement",2786,"IDF_DEP_75"
"17","Paris 6e Arrondissement",651,"IDF_DEP_75"
"18","Paris 7e Arrondissement",386,"IDF_DEP_75"
"19","Paris 8e Arrondissement",581,"IDF_DEP_75"
"20","Paris 9e Arrondissement",2002,"IDF_DEP_75"
"22","Avon",841,"IDF_DEP_77"
"23","Bagneaux-sur-Loing",319,"IDF_DEP_77"
"24","Bailly-Romainvilliers",393,"IDF_DEP_77"
"29","Boissise-le-Roi",239,"IDF_DEP_77"
"33","Bray-sur-Seine",234,"IDF_DEP_77"
"34","Brie-Comte-Robert",1498,"IDF_DEP_77"
"35","Brou-sur-Chantereine",621,"IDF_DEP_77"
"36","Bussy-Saint-Georges",1881,"IDF_DEP_77"
"39","Cesson",558,"IDF_DEP_77"
"42","Champagne-sur-Seine",1229,"IDF_DEP_77"
"46","Champs-sur-Marne",3815,"IDF_DEP_77"
"48","Chanteloup-en-Brie",207,"IDF_DEP_77"
"51","Chauconin-Neufmontiers",98,"IDF_DEP_77"
"53","Chelles",4888,"IDF_DEP_77"
"55","Chessy",394,"IDF_DEP_77"
"56","Chevry-Cossigny",121,"IDF_DEP_77"
"58","Claye-Souilly",622,"IDF_DEP_77"
"60","Collégien",293,"IDF_DEP_77"
"61","Combs-la-Ville",1725,"IDF_DEP_77"
"65","Coulommiers",2273,"IDF_DEP_77"
"67","Courtry",279,"IDF_DEP_77"
"68","Crécy-la-Chapelle",92,"IDF_DEP_77"
"69","Crégy-lès-Meaux",468,"IDF_DEP_77"
"71","Dammarie-les-Lys",3403,"IDF_DEP_77"
"72","Dammartin-en-Goële",334,"IDF_DEP_77"
"73","Dampmart",134,"IDF_DEP_77"
"75","Donnemarie-Dontilly",99,"IDF_DEP_77"
"77","Émerainville",575,"IDF_DEP_77"
"78","Esbly",126,"IDF_DEP_77"
"81","Ferrières-en-Brie",118,"IDF_DEP_77"
"83","Fontainebleau",1655,"IDF_DEP_77"
"84","Fontenay-Trésigny",443,"IDF_DEP_77"
"88","Gretz-Armainvilliers",766,"IDF_DEP_77"
"92","Guignes",261,"IDF_DEP_77"
"96","Jouarre",109,"IDF_DEP_77"
"102","La Chapelle-la-Reine",189,"IDF_DEP_77"
"103","La Ferté-Gaucher",539,"IDF_DEP_77"
"104","La Ferté-sous-Jouarre",642,"IDF_DEP_77"
"106","La Rochette",361,"IDF_DEP_77"
"107","Lagny-sur-Marne",1809,"IDF_DEP_77"
"108","Le Châtelet-en-Brie",133,"IDF_DEP_77"
"109","Le Mée-sur-Seine",3654,"IDF_DEP_77"
"110","Le Mesnil-Amelot",96,"IDF_DEP_77"
"113","Lésigny",248,"IDF_DEP_77"
"114","Lieusaint",1598,"IDF_DEP_77"
"116","Lizy-sur-Ourcq",613,"IDF_DEP_77"
"117","Lognes",1760,"IDF_DEP_77"
"118","Longperrier",99,"IDF_DEP_77"
"119","Longueville",191,"IDF_DEP_77"
"120","Lorrez-le-Bocage-Préaux",89,"IDF_DEP_77"
"122","Magny-le-Hongre",329,"IDF_DEP_77"
"125","Mareuil-lès-Meaux",156,"IDF_DEP_77"
"128","Meaux",9213,"IDF_DEP_77"
"129","Melun",6869,"IDF_DEP_77"
