"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"1","1","52","75","Nouvelle-Aquitaine","64","PyrC)nC)es-Atlantiques","200067106","CA du Pays Basque","1","64102","64100","Bayonne","4","","AVENUE","du 14 AVRIL","","","02","","2","","","BATIMENT","","LE BEDAT","","1","C","32","1966","1966","1966","1","52","1","6420819898512311003356","11/09/1989","","13","10/2019","B","C","2022","2","213","LE BEDAT","2","64102","AV DU 14 AVRIL 1814","2154","338878,39","6277224,83","QP064001","0601","7204010","CSZ","HZ","1","1","11","","1","1","1","","1","2021","1","1","1","200067106","00751","047","7503","pauvres","petit"
"2","1","52","75","Nouvelle-Aquitaine","64","PyrC)nC)es-Atlantiques","200067106","CA du Pays Basque","1","64102","64100","Bayonne","36","","AVENUE","DE L' URSUYA","","","08","","0","","","A","","LE POLO","","2","C","31","1961","1961","1961","1","52","1","6421219898512311001369","29/12/1989","","13","10/2019","C","D","2023","2","1","LE POLO","1","64102","AV DE L URSUYA","2154","335988,9","6274827,9","HZ","1102","HZ","CSZ","HZ","1","1","11","","1","1","1","","1","2021","1","1","1","200067106","00751","047","7503","pauvres","petit"
"3","1","52","75","Nouvelle-Aquitaine","64","PyrC)nC)es-Atlantiques","200067106","CA du Pays Basque","1","64102","64100","Bayonne","4","","AVENUE","du 14 AVRIL","","","01","","4","","","BATIMENT","","LE BEDAT","","1","C","32","1966","1966","1966","1","52","1","6420819898512311003356","11/09/1989","","13","10/2019","B","C","2022","2","213","LE BEDAT","2","64102","AV DU 14 AVRIL 1814","2154","338878,39","6277224,83","QP064001","0601","7204010","CSZ","HZ","1","1","11","","1","1","1","","1","2021","1","1","1","200067106","00751","047","7503","pauvres","petit"
"4","1","52","75","Nouvelle-Aquitaine","64","PyrC)nC)es-Atlantiques","200067106","CA du Pays Basque","1","64102","64100","Bayonne","14","","AVENUE","ME JOSEPH PINATEL","","","07","","0","","","C8","","HABAS LA PLAINE","","2","C","26","1964","1964","1964","1","52","1","6420619898512311003346","21/06/1989","","13","12/2019","C","D","2022","2","207","HABAS LA PLAINE","1","64102","AV JOSEPH PINATEL","2154","339237,55","6277743,13","HZ","0201","7204010","CSZ","HZ","","","11","","1","1","1","","1","2017","1","1","1","200067106","00751","047","7503","pauvres","petit"
"5","1","52","75","Nouvelle-Aquitaine","64","PyrC)nC)es-Atlantiques","200067106","CA du Pays Basque","1","64102","64100","Bayonne","2","","RUE","MARGUERITE MAZE","","","02","","4","","","B","","SAINSONTAN","","2","C","31","1978","1978","1978","1","52","1","6420619898512311003347","11/06/1989","","13","10/2019","C","B","2029","2","218","SAINSONTAN","2","64102","RUE MARGUERITE MAZE","2154","338896,82","6278095,45","HZ","0201","7204010","CSZ","HZ","1","1","11","","1","1","1","","1","2021","1","1","1","200067106","00751","047","7503","pauvres","petit"
"6","1","13","75","Nouvelle-Aquitaine","64","PyrC)nC)es-Atlantiques","200067106","CA du Pays Basque","5","64102","64100","Bayonne","4","","BOULEVARD","JEAN JAURES","","","01","","2","","","A COLLECTIF 1 A 14","","JEAN JAURES III","","2","C","20","2006","2006","2006","1","13","1","642200499864001219","09/11/2005","","","01/2020","C","A","2055","2","295","JEAN JAURES III","1","64102","BD JEAN JAURES","2154","339083,19","6276074,73","HZ","0602","HZ","CSZ","HZ","1","1","11","","1","1","1","","1","2021","1","1","1","200067106","00751","047","7503","pauvres","petit"
"7","1","52","75","Nouvelle-Aquitaine","64","PyrC)nC)es-Atlantiques","200067106","CA du Pays Basque","1","64102","64100","Bayonne","6","","RUE","SABATERIE","","","01","","1","","","6","","SAINTE CLAIRE","","2","C","30","1950","1979","1979","2","52","1","6420819898512311003351","11/09/1989","","13","01/1900","","","2024","2","220","SAINTE CLAIRE","1","64102","RUE SABATERIE","2154","337813,1","6275860,9","HZ","0501","HZ","CSZ","HZ","1","1","11","","1","1","1","","1","2021","1","1","1","200067106","00751","047","7503","pauvres","petit"
"8","1","52","75","Nouvelle-Aquitaine","64","PyrC)nC)es-Atlantiques","200067106","CA du Pays Basque","1","64102","64100","Bayonne","13","","AVENUE","DE L' IPARLA","","","18","","0","","","B","","LE POLO","","2","C","31","1961","1961","1961","1","52","1","6421219898512311001369","29/12/1989","","13","10/2019","C","D","2023","2","1","LE POLO","1","64102","AV DE L IPARLA","2154","335916,4","6274685,7","HZ","1102","HZ","CSZ","HZ","1","1","11","","1","1","1","","1","2021","1","1","1","200067106","00751","047","7503","pauvres","petit"
"9","1","52","75","Nouvelle-Aquitaine","64","PyrC)nC)es-Atlantiques","200067106","CA du Pays Basque","1","64102","64100","Bayonne","1","","RUE","MARGUERITE MAZE","","","01","","5","","","A","","SAINSONTAN","","2","C","31","1978","1978","1978","1","52","1","6420619898512311003347","11/06/1989","","13","10/2019","C","B","2029","2","218","SAINSONTAN","2","64102","RUE MARGUERITE MAZE","2154","338849,11","6278113,34","HZ","0201","7204010","CSZ","HZ","1","1","11","","1","1","1","","1","2021","1","1","1","200067106","00751","047","7503","pauvres","petit"
"10","1","52","75","Nouvelle-Aquitaine","64","PyrC)nC)es-Atlantiques","200067106","CA du Pays Basque","1","64102","64100","Bayonne","1","","RUE","MARGUERITE MAZE","","","01","","1","","","A","","SAINSONTAN","","2","C","31","1978","1978","1978","1","52","1","6420619898512311003347","11/06/1989","","13","10/2019","C","B","2029","2","218","SAINSONTAN","2","64102","RUE MARGUERITE MAZE","2154","338849,11","6278113,34","HZ","0201","7204010","CSZ","HZ","1","1","11","","1","1","1","","1","2021","1","1","1","200067106","00751","047","7503","pauvres","petit"
