"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"1",1,10,4,"La RC)union",974,"La RC)union",249740093,"CA Intercommunale de la RC)union Est (CIREST)",1,97409,97440,"Saint-AndrC)","","","","90 RUE PIERRE ROSELLI","2",NA,"",NA,0,"","","","0F28-0423-B-D","FORT DAUPHIN","",2,"C",30,2010,2010,2010,1,10,2,"","",NA,NA,"",NA,NA,NA,NA,"","",3,97409,"RUE PIERRE ROSELY",2975,359642.66,7679982.05,"HZ","0701","HZ","0440ZZF","HZ",1,1,11,NA,1,1,1,1,1,2021,1,1,1,249740093,"9D502","9D1",401,"très pauvres","petit"
"2",1,13,4,"La RC)union",974,"La RC)union",249740093,"CA Intercommunale de la RC)union Est (CIREST)",1,97409,97440,"Saint-AndrC)","65","","RUE","JULES JORON - APPT N052","",NA,"",NA,1,"BAT D165 rue Jules Joron - Appt n052","01","BAT D","PORTE DES SALAZES 2","","",2,"C",32,2012,2012,2012,1,13,2,"","",NA,NA,"",NA,NA,NA,NA,"","",1,97409,"RUE JULES JORON",2975,359748,7680121,"HZ","0701","HZ","0440ZZF","HZ",1,1,11,NA,1,1,1,1,1,2021,1,1,1,249740093,"9D502","9D1",401,"pauvres","petit"
"3",1,13,4,"La RC)union",974,"La RC)union",249740093,"CA Intercommunale de la RC)union Est (CIREST)",1,97409,97440,"Saint-AndrC)","230","","CHEMIN","MILLE ROCHES","11",NA,"",NA,2,"PORTE N 11","B1","BAT C1","LA CANOPEE","LA CANOPEE","",2,"C",32,2019,2020,2019,1,13,2,"","",NA,NA,"",NA,NA,NA,1,"","",2,97409,"CHE MILLE ROCHES",2975,359543.49,7680462.46,"HZ","0701","HZ","0440ZZF","HZ",1,1,11,NA,1,1,1,1,1,2021,1,1,1,249740093,"9D502","9D1",401,"pauvres","petit"
"4",1,13,4,"La RC)union",974,"La RC)union",249740093,"CA Intercommunale de la RC)union Est (CIREST)",1,97409,97440,"Saint-AndrC)","","","","66 RUE MAINGARD","25",NA,"",NA,1,"SIDR SALANGANES","","","0F28-0272-A-D","SALANGANES","",1,"C",37,1997,1997,1997,1,13,2,"","",NA,NA,"01/1900",NA,NA,NA,NA,"","",1,97409,"RUE MAINGARD",2975,359931.34,7681122.93,"QP974021","0104","0440910","0440ZZF","HZ",1,1,11,NA,1,1,1,1,1,2021,1,1,1,249740093,"9D502","9D1",401,"pauvres","petit"
"5",1,10,4,"La RC)union",974,"La RC)union",249740093,"CA Intercommunale de la RC)union Est (CIREST)",1,97409,97440,"Saint-AndrC)","40","","RUE","DES TULIPIERS","",NA,"",NA,0,"Appt 30","01","BAT 1","40 LLTS LES TULIPIERS","","",2,"C",28,1998,1998,1998,1,10,2,"","",NA,NA,"",NA,NA,NA,NA,"","",1,97409,"RUE DES TULIPIERS",2975,359674,7680111,"HZ","0701","HZ","0440ZZF","HZ",1,1,11,NA,1,1,1,1,1,2021,1,1,1,249740093,"9D502","9D1",401,"très pauvres","petit"
"6",1,13,4,"La RC)union",974,"La RC)union",249740093,"CA Intercommunale de la RC)union Est (CIREST)",1,97409,97440,"Saint-AndrC)","","","","66 RUE MAINGARD","23",NA,"",NA,0,"SIDR SALANGANES","","","0F28-0272-A-D","SALANGANES","",1,"C",37,1997,1997,1997,1,13,2,"","",NA,NA,"01/1900",NA,NA,NA,NA,"","",1,97409,"RUE MAINGARD",2975,359931.34,7681122.93,"QP974021","0104","0440910","0440ZZF","HZ",1,1,11,NA,1,1,1,1,1,2021,1,1,1,249740093,"9D502","9D1",401,"pauvres","petit"
"7",1,10,4,"La RC)union",974,"La RC)union",249740093,"CA Intercommunale de la RC)union Est (CIREST)",1,97409,97440,"Saint-AndrC)","","","","16 RUE ARC EN CIEL","0007",NA,"",NA,0,"","","","ACEL-A-0007","ARC EN CIEL","",2,"I",31,1998,1998,1998,1,10,2,"","",NA,NA,"01/1900",NA,NA,NA,NA,"SEGMT1","ST ANDRE",1,97409,"RUE DE L ARC EN CIEL",2975,359025,7681346,"HZ","0102","HZ","0440ZZF","HZ",1,1,11,NA,1,1,1,1,1,2021,1,1,1,249740093,"9D502","9D1",401,"très pauvres","petit"
"8",1,13,4,"La RC)union",974,"La RC)union",249740093,"CA Intercommunale de la RC)union Est (CIREST)",1,97409,97440,"Saint-AndrC)","59","","RUE","JULES JORON - APPT N09","",NA,"",NA,0,"BAT A3 - ESCALIER B59 rue Jules Joron - Appt n09","02","BAT A","PORTE DES SALAZES 2","","",2,"C",31,2012,2012,2012,1,13,2,"","",NA,NA,"",NA,NA,NA,NA,"","",1,97409,"RUE JULES JORON",2975,359702.14,7680057.14,"HZ","0701","HZ","0440ZZF","HZ",1,1,11,NA,1,1,1,1,1,2021,1,1,1,249740093,"9D502","9D1",401,"pauvres","petit"
"9",1,13,4,"La RC)union",974,"La RC)union",249740093,"CA Intercommunale de la RC)union Est (CIREST)",1,97409,97440,"Saint-AndrC)","289","","CHEMIN","DE L'ESPIRANCE","",NA,"",NA,3,"Bbt 9 - Appt 90","01","BAT 9","CAMBUSTON 2","","",2,"C",36,2015,2015,2015,4,13,2,"","",NA,NA,"",NA,NA,NA,NA,"","",3,97409,"CHE DE L ESPERANCE",2975,358973,7684635,"HZ","0202","HZ","0440ZZF","HZ",1,1,11,NA,1,1,1,1,1,2021,1,1,1,249740093,"9D502","9D1",401,"pauvres","petit"
"10",1,10,4,"La RC)union",974,"La RC)union",249740093,"CA Intercommunale de la RC)union Est (CIREST)",1,97409,97440,"Saint-AndrC)","590","","CHEMIN","MILLE ROCHES","",NA,"",NA,2,"Appt n037","01","BAT C","BEAUCLAIRE LLTS","","",2,"C",41,2014,2014,2014,1,10,2,"","",NA,NA,"",NA,NA,NA,NA,"","",3,97409,"CHE MILLE ROCHES",2975,359698,7680298,"HZ","0701","HZ","0440ZZF","HZ",1,1,11,NA,1,1,1,1,1,2021,1,1,1,249740093,"9D502","9D1",401,"très pauvres","petit"
