"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"1","1","51","84","Auvergne-RhC4ne-Alpes","69","RhC4ne","200046977","MC)tropole de Lyon","1","69256","69120","Vaulx-en-Velin","","","","3 CHEMIN DU GRAND BOIS","1089","","","","0","","","","0329-01-03","GRAND BOIS","","1","C","32","1972","2016","2016","3","51","1","69/1993/08/851231/1/069019/3745","18/08/1993","","","","","","2099","1","3","CLASSE SERVICE RENDU 3","2","69256","CHE DU GRAND BOIS","2154","848571,6","6522001,4","QP069018","0404","8212320","82123ZF","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200046977","00760","002","8421","pauvres","petit"
"2","1","52","84","Auvergne-RhC4ne-Alpes","69","RhC4ne","200046977","MC)tropole de Lyon","1","69256","69120","Vaulx-en-Velin","","","","3   RUE DES ONCHERES","1206","","","","1","","","","0041-01-02","RESIDENCE SINGAPOUR","","2","E","32","1977","1977","1977","1","52","1","69/2008/03/851231/1/069005/25682","13/03/2008","","","01/2020","E","E","2059","1","2","CLASSE SERVICE RENDU 2","2","69256","RUE DES ONCHERES","2154","849616,1","6521842,1","HZ","0603","8212320","82123ZF","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200046977","00760","002","8421","pauvres","petit"
"3","1","52","84","Auvergne-RhC4ne-Alpes","69","RhC4ne","200046977","MC)tropole de Lyon","1","69256","69120","Vaulx-en-Velin","","","","6 CHEMIN DU GRAND BOIS","1073","","","","10","","","","0329-02-01","GRAND BOIS","","1","C","26","1972","2016","2016","3","52","1","69/1994/08/851231/1/069019/4161","17/08/1994","","","","","","2099","1","3","CLASSE SERVICE RENDU 3","2","69256","CHE DU GRAND BOIS","2154","848552,8","6522090,8","QP069018","0404","8212320","82123ZF","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200046977","00760","002","8421","pauvres","petit"
"4","1","10","84","Auvergne-RhC4ne-Alpes","69","RhC4ne","200046977","MC)tropole de Lyon","1","69256","69120","Vaulx-en-Velin","","","","10 AVENUE SALVADOR ALLENDE","0416","","","","4","","","","0325-01-01","LE KSAR","","2","E","30","2015","2015","2015","1","10","1","69/2015/07/06569/1/069007/11401","06/07/2015","","","","","","2067","1","1","CLASSE SERVICE RENDU 1/+","2","69256","AV SALVADOR ALLENDE","2154","849603,03","6521935,14","HZ","0603","8212320","82123ZF","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200046977","00760","002","8421","très pauvres","petit"
"5","1","52","84","Auvergne-RhC4ne-Alpes","69","RhC4ne","200046977","MC)tropole de Lyon","1","69256","69120","Vaulx-en-Velin","","","","1   RUE DES VERCHERES","1245","","","","5","","","","0045-01-02","RESIDENCE BERLIN","","2","E","32","1979","1979","1979","1","52","1","69/2006/06/851231/1/069005/8784","21/06/2006","","","01/2016","C","F","2027","1","2","CLASSE SERVICE RENDU 2","2","69256","RUE DES VERCHERES","2154","849657,21","6521883,81","QP069018","0603","8212320","82123ZF","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200046977","00760","002","8421","pauvres","petit"
"6","1","14","84","Auvergne-RhC4ne-Alpes","69","RhC4ne","200046977","MC)tropole de Lyon","1","69256","69120","Vaulx-en-Velin","","","","10 AVENUE SALVADOR ALLENDE","0318","","","","3","","","","0325-01-01","LE KSAR","","2","E","20","2015","2015","2015","1","14","1","69/2015/07/06569/1/069007/11402","06/07/2015","","","06/2015","B","B","2056","1","1","CLASSE SERVICE RENDU 1/+","2","69256","AV SALVADOR ALLENDE","2154","849603,03","6521935,14","HZ","0603","8212320","82123ZF","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200046977","00760","002","8421","moins pauvres","petit"
"7","1","52","84","Auvergne-RhC4ne-Alpes","69","RhC4ne","200046977","MC)tropole de Lyon","1","69256","69120","Vaulx-en-Velin","","","","15  CHEMIN DES PLATES","1062","","","","6","","","","040P-01-01","RESIDENCE MONTREAL","","1","E","19","1975","1975","1975","1","52","1","69/2011/02/851231/1/69005/2546-3","02/02/2011","","","06/2011","C","E","2032","1","3","CLASSE SERVICE RENDU 3","2","69256","CHE DES PLATES","2154","848812,8","6521936,4","QP069018","0401","8212320","82123ZF","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200046977","00760","002","8421","pauvres","petit"
"8","1","13","84","Auvergne-RhC4ne-Alpes","69","RhC4ne","200046977","MC)tropole de Lyon","1","69256","69120","Vaulx-en-Velin","","","","2 RUE DU MEBOUD","1111","","","","0","","","","0166-01-01","RESIDENCE DUBLIN","","2","C","29","2005","2005","2005","4","13","1","69/2005/06/02844/1/069005/8522","03/06/2005","","","01/2017","E","C","2056","1","1","CLASSE SERVICE RENDU 1/+","2","69256","RUE DU MEBOUD","2154","848884,7","6521584,1","HZ","0603","8212320","82123ZF","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200046977","00760","002","8421","pauvres","petit"
"9","1","52","84","Auvergne-RhC4ne-Alpes","69","RhC4ne","200046977","MC)tropole de Lyon","1","69256","69120","Vaulx-en-Velin","","","","3   RUE DES ONCHERES","1207","","","","1","","","","0041-01-02","RESIDENCE SINGAPOUR","","2","E","32","1977","1977","1977","1","52","1","69/2008/03/851231/1/069005/25682","13/03/2008","","","01/2019","E","E","2059","1","2","CLASSE SERVICE RENDU 2","2","69256","RUE DES ONCHERES","2154","849616,1","6521842,1","HZ","0603","8212320","82123ZF","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200046977","00760","002","8421","pauvres","petit"
"10","1","52","84","Auvergne-RhC4ne-Alpes","69","RhC4ne","200046977","MC)tropole de Lyon","1","69256","69120","Vaulx-en-Velin","","","","5   CHEMIN DE MALVAL","1204","","","","1","","","","0027-01-02","LE MAS - MALVAL","","1","C","33","1972","1972","1972","1","52","1","6920010785123110690057258","01/01/2001","","","06/2011","C","E","2099","1","3","CLASSE SERVICE RENDU 3","3","69256","CHE DE MALVAL","2154","848467,3","6522005,2","QP069018","0404","8212320","82123ZF","CSZ","1","1","11","","1","1","1","1","","2021","1","1","1","200046977","00760","002","8421","pauvres","petit"
