"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"24",1,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","4","","RUE","RUE GEORGES BERNANOS","13",NA,"01",NA,3,"","","BATIMENT A","","SARTROUVILLE - CROIX MALLARD","",2,"C",37,1976,"1976","1976","1","52",1,"781031992/85-1231/1/075047/792","02/07/2005",NA,13,"07/2009","D","E",2024,1,"7020","SARTROUVILLE - CROIX MALLARD",1,78586,"RUE GEORGES BERNANOS",2154,639996.63,6871860.94,"HZ","1201","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","petit"
"84",1,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","6","","RUE","FERNAND LEGER","0138",NA,"3A",NA,3,"","","","","","",1,"C",32,1975,"1975","1975","1","52",1,"78/1/021988/85.1231/1/092034/494","05/02/1988",NA,NA,"10/2008","D","E",NA,NA,"01-0239","SARTROUVILLE Les Reflets",1,78586,"RUE FERNAND LEGER",2154,640484.2,6871976.1,"QP078015","0701","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","petit"
"104",1,"13",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","2","","RUE","RUE JUSSIEU","81",NA,"01",NA,5,"","","BATIMENT 5","","SARTROUVILLE - JUSSIEU","",2,"C",36,1983,"1990","1990","1","13",1,"78/1/061983/79-444/1/075047/210","11/03/2015",NA,13,"12/2014","C","D",2031,1,"7021","SARTROUVILLE - JUSSIEU",1,78586,"RUE JUSSIEU",2154,640209.68,6871714.29,"HZ","1201","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","petit"
"142",1,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","6","","RUE","FERNAND LEGER","0162",NA,"3A",NA,7,"","","","","","",1,"C",32,1975,"1975","1975","1","52",1,"78/1/021988/85.1231/1/092034/494","05/02/1988",NA,NA,"10/2008","D","E",NA,NA,"01-0239","SARTROUVILLE Les Reflets",1,78586,"RUE FERNAND LEGER",2154,640484.2,6871976.1,"QP078015","0701","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","petit"
"167",1,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","2","","RUE","RUE GEORGES BERNANOS","36",NA,"02",NA,0,"","","BATIMENT A","","SARTROUVILLE - CROIX MALLARD","",2,"C",37,1976,"1976","1976","1","52",1,"781031992/85-1231/1/075047/792","02/07/2005",NA,13,"07/2009","D","E",2024,1,"7020","SARTROUVILLE - CROIX MALLARD",1,78586,"RUE GEORGES BERNANOS",2154,639991.13,6871851.98,"HZ","1201","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","petit"
"191",1,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","4","","RUE","RUE GEORGES BERNANOS","1",NA,"01",NA,0,"","","BATIMENT A","","SARTROUVILLE - CROIX MALLARD","",2,"C",37,1976,"1976","1976","1","52",1,"781031992/85-1231/1/075047/792","02/07/2005",NA,13,"07/2009","D","E",2024,1,"7020","SARTROUVILLE - CROIX MALLARD",1,78586,"RUE GEORGES BERNANOS",2154,639996.63,6871860.94,"HZ","1201","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","petit"
"196",1,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","9","","RUE","DE SEINE","",NA,"",NA,0,"","","R342L-I","R342L","SARTROUVILLE MARTIAL DECHARD","",2,"C",39,1978,"1978","1978","1","52",1,"7810319898512311075079613","01/03/1989",NA,NA,"03/2019","E","F",2016,1,"R342L","SARTROUVILLE MARTIAL DECHARD",2,78586,"RUE DE SEINE",2154,639097.9,6872243.9,"HZ","0501","HZ","HZ","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","petit"
"215",1,"12",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","37","BIS","RUE","DE LA CROIX MALLARD","0028",NA,"02",NA,2,"","","","","","",1,"C",50,1984,"1985","1985","1","12",1,"78/1/011984/79.444/1/092034/224","20/01/1984",NA,NA,"01/2020","D","E",NA,NA,"01-0361","SARTROUVILLE Croix Mallard",1,78586,"RUE DE LA CROIX MALLARD",2154,640491.94,6871697.14,"QP078015","1201","HZ","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"très pauvres","petit"
"273",1,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","8","","RUE","GUSTAVE FLAUBERT","",NA,"",NA,4,"","","51-1","51","51","",1,"C",33,1979,"1979","1979","1","52",1,"78.10319928512311075060.797","30/06/1999",NA,13,"11/2010","E","F",2011,1,"","",1,78586,"RUE GUSTAVE FLAUBERT",2154,640882.8,6872053.8,"QP078015","0703","HZ","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","petit"
"336",1,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","8","","RUE","RUE GEORGES BERNANOS","127",NA,"02",NA,5,"","","BATIMENT B","","SARTROUVILLE - CROIX MALLARD","",2,"C",37,1976,"1976","1976","1","52",1,"781031992/85-1231/1/075047/792","02/07/2005",NA,13,"07/2009","D","E",2024,1,"7020","SARTROUVILLE - CROIX MALLARD",1,78586,"RUE GEORGES BERNANOS",2154,640008.21,6871879.23,"HZ","1201","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","petit"
