;;;;;;;;;;;
;;;;;;;;;;;
Somme - montant;agregat;;;;;;;;;;
ville;Annuité de la dette;Concours de l'Etat;Dépenses d'investissement;Dépenses d'investissement hors remb;Dépenses de fonctionnement;Dotation globale de fonctionnement;Frais de personnel;Impôts locaux;Péréquations et compensations fiscales;Produit des cessions d'immobilisations;Recettes totales
AUBERVILLIERS;173.5;462.7;521.1;392.6;1504.3;374.2;955.4;1032;84.5;44.8;2079.8
AULNAY-SOUS-BOIS;223.3;336.1;437.2;269.6;1848.7;157.9;1091;1295;170;98.9;2229.5
BAGNOLET;328;177.6;711.7;497;1726.2;154;1145.4;1515.9;17.1;0;2371.5
BOBIGNY;252.7;465.6;1054.5;881.2;1966.5;390.9;1294.4;1508.1;66.2;85.5;3184.3
BONDY;253.9;499;410.1;219.5;1542.6;475.2;963.7;1013.1;16.8;16;2063.7
CLICHY-SOUS-BOIS;124.8;972.4;597.9;498.7;1910.6;924.8;1017;776.7;41.9;0;2160.3
COUBRON;53.1;98.3;225.8;190;1163.8;88.4;737.4;953.2;5.8;2;1502
DRANCY;172.8;331.3;789.8;661;1526.4;306.7;931.1;1060.9;15.5;76.1;2099.7
DUGNY;85.5;561.1;671.7;600.7;1940.6;443.3;1307.5;1353.9;114.5;0;2702.7
EPINAY-SUR-SEINE;69.6;512.4;504;447.6;1381.7;495;741.3;761.6;14.1;21.3;1767.7
GAGNY;47;255.9;516.6;475.1;1164.7;247;710;852.4;6.4;0;1457
GOURNAY-SUR-MARNE;113.8;99.1;728;647.9;1455.7;90.3;939.3;1229.6;2.7;1.7;2008
L'ILE-SAINT-DENIS;84.5;308.3;581.7;522.8;1661.8;276;940.2;917;32.3;93.3;2169.1
LA COURNEUVE;177.2;555.9;703.5;575.9;1619.3;423.7;1038.9;927;132.2;89.3;2512.5
LE BLANC-MESNIL;177.9;348.8;700.6;554.5;1496;320.9;907.8;1289;19.5;26;2154
LE BOURGET;224.7;122.1;560.7;374.2;1755.2;109;921.2;1313;11;98.2;2326.7
LE PRE-SAINT-GERVAIS;87.9;314.7;746.1;672.2;1459.1;308.2;801.8;1054.8;4.5;0;2189.1
LES LILAS;87.3;144.4;491.9;433.4;1568.2;131.9;1013.8;1239.5;10.8;101.8;2000.2
LES PAVILLONS-SOUS-BOIS;54.7;113.6;324;273.6;1366.7;104.9;865.8;1067.5;6;0;1715.7
LIVRY-GARGAN;78;167.8;430.9;371.4;1401.5;157.2;917.9;1079.8;4.7;0.3;1807.9
MONTFERMEIL;221.1;365.1;655.2;454;1373.9;339.8;847.9;1069;19.9;0;1838.4
MONTREUIL;204.8;158;493.5;337;1691.4;138.1;1055;1368.9;14;21.7;2197.3
NEUILLY-PLAISANCE;45.6;145.5;347.2;322;1313.1;135;863.8;1083.4;6.1;0;1664.8
NEUILLY-SUR-MARNE;38.5;317;417.3;388.4;1401.4;302.9;972.6;887.3;11.4;6.4;1697.1
NOISY-LE-GRAND;180.6;131.8;723.1;564;1636;90.7;1003.8;1387.1;38.2;42.9;2185.5
NOISY-LE-SEC;169;355.9;424.8;303;1418.5;325.3;855.4;1080.3;25.5;0;1802.7
PANTIN;203.6;131.2;1341;1172.7;1786.3;76.7;1132.7;1650.9;48.7;7.2;2725.5
PIERREFITTE-SUR-SEINE;149.6;445.5;571.4;460.4;1367.5;404.4;916.4;847.3;39.4;0;1819.2
RAINCY (LE );22.8;128;732.6;711.2;1310.1;109.8;459;1001.9;1.5;0;2042.5
ROMAINVILLE;172.9;223.9;547.9;407.8;1721.3;186.1;864.2;1491.6;25.8;0.5;2226.5
ROSNY-SOUS-BOIS;195.9;165;591.6;444.5;1668.6;144.4;955.9;1341.5;17.9;31;2320.1
SAINT-DENIS;162.4;308.9;509.3;384.2;1604.2;251.1;1065;1204.6;50.6;11.4;2034.7
SAINT-OUEN-SUR-SEINE;369.8;181.3;667.6;374.6;2019.4;26.3;1235.5;1599.7;148.2;46.4;2766.5
SEVRAN;200.7;557.6;630.4;473.9;1656.3;523.3;1008.5;1032.6;31.5;18.2;2164.7
STAINS;192.1;609;277;132.2;1578.6;577;1011.1;805.2;31.3;9.8;1806
TREMBLAY-EN-FRANCE;15.5;376.4;553.2;539.1;2786.3;5.4;1766.1;2331;358.1;0;3291.9
VAUJOURS;52.8;298.8;1028.1;994.8;1718;10.7;1091.3;1178.3;288.1;0.9;2618
VILLEMOMBLE;4.2;242;315.7;311.5;1316;235.3;832.5;828;4.9;8.2;1525.6
VILLEPINTE;92.8;162.9;351.3;278.1;1556.4;143.8;1021.3;1398.8;11.6;64.8;2104.6
VILLETANEUSE;100.2;550.8;1144.2;1068.3;1699;463.1;991.5;978.6;81.7;36.4;2705.6
