"","code","pib","ges"
"1","AFE",1436770,3549.48056329573
"2","AFG",93730,2068.26590413364
"3","AFW",805370,4202.05792297522
"4","AGO",90620,8036.41089824639
"5","ALB",9850,11878.4880933446
"7","ARB",2438650,14411.2623782103
"8","ARE",252850,65218.8204340815
"9","ARG",362560,23933.8866120953
"10","ARM",9260,11321.3325403745
"11","ATG",1100,18594.2616238259
"12","AUS",594580,47636.319641906
"13","AUT",75480,52798.0994607541
"14","AZE",82030,14853.9105525729
"15","BDI",4350,825.20566069269
"16","BEL",111520,49455.4413365318
"17","BEN",14430,2945.97022066349
"18","BFA",28240,1925.33207544524
"19","BGD",182600,3700.11082057504
"20","BGR",57310,19620.1539761978
"21","BHR",46950,48110.7341930587
"22","BHS",2740,35400.6494660106
"23","BIH",24640,12630.6623426277
"24","BLR",84480,18307.5196678406
"25","BLZ",1480,7358.58229184617
"26","BOL",53400,7984.41198272424
"27","BRA",1082700,15064.1760689478
"28","BRB",3770,15382.7656890531
"29","BRN",15880,63147.4834900843
"30","BTN",2040,10086.0727954667
"31","BWA",14400,16714.3978216526
"32","CAF",53480,852.749236638592
"33","CAN",707930,47522.1406673151
"34","CEB",837450,27440.9483279594
"35","CHE",47710,68025.9200383988
"36","CHL",104020,24440.4152640857
"37","CHN",11859290,12691.8215526921
"38","CIV",21460,4417.15021465621
"39","CMR",87300,3458.69271277942
"40","COD",57980,1065.24257721582
"41","COG",9200,5227.93427667066
"42","COL",176980,14095.748356648
"43","COM",510,2959.49809656739
"44","CPV",720,6266.88177858088
"45","CRI",14630,19141.6830724515
"46","CSS",56680,16104.367027522
"48","CYP",8140,34472.2985065115
"49","CZE",122290,36168.4185553861
"50","DEU",847460,51083.9216615196
"51","DJI",1520,4488.80265798112
"52","DMA",250,11873.7418376836
"53","DNK",46610,52892.6460290247
"54","DOM",36520,15328.3595089817
"55","DZA",212080,11696.9652290603
"56","EAP",14211920,11624.3875596259
"57","EAR",10487860,8518.31158773066
"58","EAS",16917810,14971.1892835516
"59","ECA",4308420,20197.0479835965
"60","ECS",8360550,32681.3551533745
"61","ECU",66420,11896.3751614302
"62","EGY",306350,10570.4452319757
"63","EMU",2789940,43835.8523122617
"65","ESP",325510,37377.068016704
"66","EST",18110,31146.7545222679
"67","ETH",161090,1779.0841114169
"68","EUU",3621560,40730.9865557774
"70","FIN",53550,45072.5902146238
"71","FJI",2370,12569.1431129142
"72","FRA",430140,43345.7864281559
"73","FSM",230,3448.30369231563
"74","GAB",7970,15510.0389513624
"75","GBR",497740,44840.7826443684
"76","GEO",16970,12605.1400698178
"77","GHA",41450,4662.30319092518
"78","GIN",25680,2087.93502637033
"79","GMB",2620,2058.65814621739
"80","GNB",2620,1800.06338150248
"81","GNQ",21160,28313.4331590396
"82","GRC",88180,28248.1259561464
"83","GRD",2290,15142.06257045
"84","GTM",32990,8125.65553391647
"85","GUY",4830,11261.8137066367
"86","HIC",14971270,47302.856059263
"87","HND",21560,5283.41691357908
"88","HPC",1340890,2390.34647060241
"89","HRV",22690,24562.453617545
"90","HTI",9680,2941.81608076667
"91","HUN",58330,27499.3244662857
"92","IBD",27068200,11695.2724360906
"93","IBT",29916640,9672.45221610323
"94","IDA",2848440,3582.91793379288
"95","IDB",1102750,4744.85507724962
"96","IDN",852000,10149.6038700252
"97","IDX",1745690,2988.54956681384
"98","IND",3063650,5464.39405731664
"99","IRL",63350,72251.1535363159
"100","IRN",786500,12698.1091975659
"101","IRQ",185770,10122.2007755733
"102","ISL",3330,52142.9328074888
"103","ISR",89510,37554.5986562961
"104","ITA",416150,40247.8290437942
"105","JAM",8780,9473.10619523862
"106","JOR",34970,10145.8366996846
"107","JPN",1265070,39777.5310167672
"108","KAZ",259340,24290.4176339265
"109","KEN",73990,3824.75930317654
"110","KGZ",16960,4805.14109238388
"111","KHM",33720,3546.33938731031
"112","KIR",90,2168.99773241889
"113","KNA",350,25569.4841249091
"114","KOR",685800,38828.7409976118
"115","KWT",106220,54834.3916726177
"116","LAC",2787040,15412.4193933465
"117","LAO",19020,6543.67068865935
"118","LBN",32660,16299.2077629854
"119","LBR",8910,1580.47922766632
"120","LBY",84880,11022.4292135086
"121","LCA",710,14029.5909199045
"122","LCN",3232260,16277.3089322588
"123","LDC",1658470,2766.22428886347
"126","LKA",33900,11890.5165276211
"127","LMC",8227670,6185.11597458068
"128","LMY",29181020,9356.2280797414
"129","LSO",5390,2701.42185521194
"130","LTE",18755290,14837.7627757009
"131","LTU",18800,30748.1963109529
"132","LUX",10050,110446.086101647
"133","LVA",11500,26621.2722286526
"134","MAR",89790,7126.67058575575
"135","MDA",12470,10360.8295911083
"136","MDG",30000,1546.76704618335
"137","MDV",1660,17284.6478941089
"138","MEA",3171900,16034.7000953948
"139","MEX",670100,19268.9143963283
"140","MHL",190,3586.05642087459
"141","MIC",28130250,10120.1649533809
"142","MKD",10560,15072.9475418471
"143","MLI",36670,2139.73629713506
"144","MLT",2160,39845.1145672313
"145","MMR",104970,4268.5006767951
"146","MNA",1845120,10198.1464695087
"147","MNE",3650,18263.6006034136
"148","MNG",45710,11022.9785342491
"149","MOZ",32910,1262.61312778202
"150","MRT",12830,5127.43228246614
"151","MUS",6370,19897.4753965644
"152","MWI",15820,1432.08525892858
"153","MYS",297970,24787.8237457166
"154","NAC",6711580,57440.3995911981
"155","NAM",12100,10662.8299304666
"156","NER",39610,1132.33120491778
"157","NGA",277140,5514.77027265177
"158","NIC",18840,5630.40573760444
"159","NLD",188330,52974.1162200949
"160","NOR",48580,62987.5358625454
"161","NPL",43670,3331.87176945857
"162","NRU",60,13551.9625979464
"163","NZL",81690,41086.1153021682
"164","OED",14848340,41948.0976915714
"165","OMN",76260,30146.9560518823
"166","OSS",280470,22734.938531577
"167","PAK",365780,4278.34666284049
"168","PAN",18090,28431.0824221868
"169","PER",94880,12110.2668971421
"170","PHL",196720,7300.13621040525
"171","PLW",250,18338.1282708705
"172","PNG",21670,4083.75243695251
"173","POL",366250,27797.0584233597
"174","PRE",1736780,3566.72427653533
"176","PRT",67430,31118.7906703279
"177","PRY",47310,11828.1401290455
"178","PSS",5710,6931.63295882588
"179","PST",13441280,45915.0531793586
"180","QAT",92460,95965.2512366176
"181","ROU",108090,23878.1885373067
"182","RUS",2475690,25488.0961196394
"183","RWA",6070,1889.15810576486
"184","SAS",3787030,5153.89274563627
"185","SAU",660370,48921.2152517247
"186","SDN",104470,4187.86272224264
"187","SEN",28070,2966.45534736483
"188","SGP",62560,89519.7357100565
"189","SLB",800,2518.64747830047
"190","SLE",7460,1551.82309051333
"191","SLV",12700,8143.22444194766
"192","SOM",27110,879.276531935612
"193","SRB",62910,15578.2028500791
"194","SSA",2241490,3816.11403980831
"196","SSF",2242140,3818.14015757417
"197","SST",342860,20526.2759121508
"198","STP",170,3794.35859507025
"199","SUR",4480,19317.0545070113
"200","SVK",37770,28676.2656111842
"201","SVN",16310,33805.030045384
"202","SWE",50050,50928.962975552
"203","SWZ",3000,8304.65845837116
"204","SYC",650,25500.4865590545
"206","TCD",70560,1857.10786365964
"207","TEA",14163800,11747.6299566243
"208","TEC",4697360,20875.9042185113
"209","TGO",7790,1920.46930701736
"210","THA",392810,16285.3865749723
"211","TJK",12280,2984.49491330069
"212","TKM",126150,12993.5318096291
"213","TLA",3181190,16220.8712911274
"214","TLS",6890,3297.88916309166
"215","TMN",1845120,10247.2143709572
"216","TON",270,5944.4526863595
"217","TSA",3787030,5153.89274563627
"218","TSS",2242140,3818.14015757417
"219","TTO",25600,29053.3347831462
"220","TUN",40170,10510.3303060416
"221","TUR",433850,25958.6407622392
"222","TUV",20,3720.30531533443
"223","TZA",103820,2354.13898543629
"224","UGA",50190,2054.09044873783
"225","UKR",279070,11237.0744571217
"226","UMC",19902580,15128.8694155229
"227","URY",36660,22425.8300844671
"228","USA",6003650,58540.2960929977
"229","UZB",222860,6086.71574219326
"230","VCT",300,11973.4193690941
"232","VNM",327320,6438.25985369358
"233","VUT",810,2915.70045998521
"234","WLD",44423270,15509.996466722
"235","WSM",620,5992.43932095216
"237","ZAF",501090,12840.0354033768
"238","ZMB",38840,3443.55325404862
"239","ZWE",31280,3198.982128793
