"","SURFHAB","CONSTRUCT","COMPLGEO","X","Y"
"1",49,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"2",35,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"3",51,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"4",50,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"5",36,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"6",41,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"7",49,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"8",36,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"9",41,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"10",50,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"11",37,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"12",41,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"13",50,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"14",35,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"15",40,1933,"RESIDENCE ALBERT THOMAS",661813.6,6866672
"16",54,1933,"RESIDENCE ALBERT THOMAS",661841.9,6866661.9
"17",51,1933,"RESIDENCE ALBERT THOMAS",661841.9,6866661.9
"18",56,1933,"RESIDENCE ALBERT THOMAS",661841.9,6866661.9
"19",49,1933,"RESIDENCE ALBERT THOMAS",661841.9,6866661.9
"20",41,1933,"RESIDENCE ALBERT THOMAS",661841.9,6866661.9
"21",63,1933,"RESIDENCE ALBERT THOMAS",661841.9,6866661.9
"22",56,1933,"RESIDENCE ALBERT THOMAS",661841.9,6866661.9
"23",53,1933,"RESIDENCE ALBERT THOMAS",661841.9,6866661.9
"24",54,1933,"RESIDENCE ALBERT THOMAS",661841.9,6866661.9
"25",52,1933,"RESIDENCE ALBERT THOMAS",661841.9,6866661.9
"26",28,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"27",47,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"28",37,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"29",25,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"30",39,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"31",37,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"32",27,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"33",38,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"34",36,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"35",26,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"36",35,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"37",36,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"38",26,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"39",35,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"40",37,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"41",26,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"42",37,1933,"RESIDENCE ALBERT THOMAS",661836.6,6866663.5
"43",30,1933,"RESIDENCE ALBERT THOMAS",661831.3,6866665.1
"44",35,1933,"RESIDENCE ALBERT THOMAS",661831.3,6866665.1
"45",37,1933,"RESIDENCE ALBERT THOMAS",661831.3,6866665.1
"46",49,1933,"RESIDENCE ALBERT THOMAS",661831.3,6866665.1
"47",36,1933,"RESIDENCE ALBERT THOMAS",661831.3,6866665.1
"48",49,1933,"RESIDENCE ALBERT THOMAS",661831.3,6866665.1
"49",35,1933,"RESIDENCE ALBERT THOMAS",661831.3,6866665.1
"50",48,1933,"RESIDENCE ALBERT THOMAS",661831.3,6866665.1
"51",36,1933,"RESIDENCE ALBERT THOMAS",661831.3,6866665.1
"52",49,1933,"RESIDENCE ALBERT THOMAS",661831.3,6866665.1
"53",34,1933,"RESIDENCE ALBERT THOMAS",661831.3,6866665.1
"54",49,1933,"RESIDENCE ALBERT THOMAS",661831.3,6866665.1
"55",36,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"56",33,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"57",36,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"58",24,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"59",35,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"60",38,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"61",27,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"62",37,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"63",37,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"64",27,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"65",37,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"66",37,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"67",26,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"68",37,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"69",37,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"70",26,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"71",36,1933,"RESIDENCE ALBERT THOMAS",661826,6866666.7
"72",48,1933,"RESIDENCE ALBERT THOMAS",661820.7,6866668.2
"73",49,1933,"RESIDENCE ALBERT THOMAS",661820.7,6866668.2
"74",49,1933,"RESIDENCE ALBERT THOMAS",661820.7,6866668.2
"75",50,1933,"RESIDENCE ALBERT THOMAS",661820.7,6866668.2
"76",50,1933,"RESIDENCE ALBERT THOMAS",661820.7,6866668.2
"77",50,1933,"RESIDENCE ALBERT THOMAS",661820.7,6866668.2
"78",52,1933,"RESIDENCE ALBERT THOMAS",661820.7,6866668.2
"79",51,1933,"RESIDENCE ALBERT THOMAS",661820.7,6866668.2
"80",27,1933,"RESIDENCE ALBERT THOMAS",661820.7,6866668.2
"81",51,1933,"RESIDENCE ALBERT THOMAS",661820.7,6866668.2
"82",38,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"83",34,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"84",47,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"85",40,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"86",36,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"87",50,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"88",39,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"89",36,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"90",49,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"91",40,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"92",37,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"93",50,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"94",39,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"95",37,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"96",50,1933,"RESIDENCE ALBERT THOMAS",661819.1,6866663.2
"97",51,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"98",35,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"99",50,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"100",39,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"101",35,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"102",51,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"103",39,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"104",35,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"105",50,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"106",39,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"107",36,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"108",52,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"109",39,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"110",36,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"111",52,1933,"RESIDENCE ALBERT THOMAS",661806.9,6866652.6
"112",50,1933,"RESIDENCE ALBERT THOMAS",661804.5,6866643.9
"113",63,1933,"RESIDENCE ALBERT THOMAS",661804.5,6866643.9
"114",51,1933,"RESIDENCE ALBERT THOMAS",661804.5,6866643.9
"115",50,1933,"RESIDENCE ALBERT THOMAS",661804.5,6866643.9
"116",49,1933,"RESIDENCE ALBERT THOMAS",661804.5,6866643.9
"117",50,1933,"RESIDENCE ALBERT THOMAS",661804.5,6866643.9
"118",51,1933,"RESIDENCE ALBERT THOMAS",661804.5,6866643.9
"119",51,1933,"RESIDENCE ALBERT THOMAS",661804.5,6866643.9
"120",50,1933,"RESIDENCE ALBERT THOMAS",661804.5,6866643.9
"121",50,1933,"RESIDENCE ALBERT THOMAS",661804.5,6866643.9
"122",52,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"123",29,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"124",39,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"125",26,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"126",38,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"127",39,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"128",25,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"129",38,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"130",37,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"131",27,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"132",38,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"133",65,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"134",39,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"135",36,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"136",28,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"137",39,1933,"RESIDENCE ALBERT THOMAS",661814.4,6866641
"138",35,1933,"RESIDENCE ALBERT THOMAS",661824.2,6866638.2
