"","equiv","NOM_IRIS"
"3","très pauvres","Merisiers /14 juillet"
"4","très pauvres","Merisiers /14 juillet"
"5","très pauvres","Merisiers /14 juillet"
"11","très pauvres","Merisiers /14 juillet"
"15","très pauvres","Merisiers /14 juillet"
"16","très pauvres","Merisiers /14 juillet"
"17","très pauvres","Merisiers /14 juillet"
"23","très pauvres","Merisiers /14 juillet"
"25","très pauvres","Merisiers /14 juillet"
"33","très pauvres","Merisiers /14 juillet"
"40","très pauvres","Merisiers /14 juillet"
"42","très pauvres","Merisiers /14 juillet"
"58","très pauvres","Merisiers /14 juillet"
"61","très pauvres","Merisiers /14 juillet"
"65","très pauvres","Merisiers /14 juillet"
"67","très pauvres","Merisiers /14 juillet"
"69","très pauvres","Merisiers /14 juillet"
"71","très pauvres","Merisiers /14 juillet"
"77","très pauvres","Merisiers /14 juillet"
"89","très pauvres","Merisiers /14 juillet"
"91","très pauvres","Merisiers /14 juillet"
"92","très pauvres","Merisiers /14 juillet"
"115","très pauvres","Merisiers /14 juillet"
"121","très pauvres","Merisiers /14 juillet"
"122","très pauvres","Merisiers /14 juillet"
"125","très pauvres","Merisiers /14 juillet"
"143","très pauvres","Merisiers /14 juillet"
"167","très pauvres","Merisiers /14 juillet"
"177","très pauvres","Merisiers /14 juillet"
"269","très pauvres","Merisiers /14 juillet"
"272","très pauvres","Merisiers /14 juillet"
"273","très pauvres","Merisiers /14 juillet"
"276","très pauvres","Merisiers /14 juillet"
"278","très pauvres","Merisiers /14 juillet"
"281","très pauvres","Merisiers /14 juillet"
"285","très pauvres","Merisiers /14 juillet"
"290","très pauvres","Merisiers /14 juillet"
"291","très pauvres","Merisiers /14 juillet"
"294","très pauvres","Merisiers /14 juillet"
"295","très pauvres","Merisiers /14 juillet"
"298","très pauvres","Merisiers /14 juillet"
"299","très pauvres","Merisiers /14 juillet"
"301","très pauvres","Merisiers /14 juillet"
"303","très pauvres","Merisiers /14 juillet"
"308","très pauvres","Merisiers /14 juillet"
