CROPS (Libellés),Superficie agricole utilisée,Légumes (y compris melons et pastèques) et fraises - sous serre ou abris hauts accessibles,Fleurs et plantes ornementales (pépinières non comprises) - sous serre ou abris hauts accessibles,Cultures permanentes sous serre ou abris hauts accessibles
Belgique,37340,1040,370,60
Bulgarie,244860,5810,260,0
Tchéquie,25950,:,:,0
Danemark,37380,270,410,110
"Allemagne (jusqu'en 1990, ancien territoire de la RFA)",282160,2160,3900,220
Estonie,18750,170,30,0
Irlande,139560,110,60,0
Grèce,703590,8460,680,110
Espagne,944300,19130,2600,650
France,463710,9700,4760,:
Croatie,157100,2320,970,0
Italie,1009440,21700,7040,190
Chypre,35150,480,40,20
Lettonie,80720,310,50,0
Lituanie,171730,9590,430,0
Luxembourg,2060,10,10,0
Hongrie,453090,12710,2030,0
Malte,9000,290,20,0
Pays-Bas,65790,1520,2610,100
Autriche,139610,810,740,0
Pologne,1421560,13790,2870,:
Portugal,263580,3750,1790,:
Roumanie,3563770,18730,980,0
Slovénie,72280,490,170,0
Slovaquie,22050,160,40,0
Finlande,54230,850,620,:
Suède,66550,290,600,0
Norvège,41890,230,200,0
Royaume-Uni,182180,1370,1250,:
Macédoine du Nord,168990,7950,710,:
