"","NUMAPPT","NBPIECE"
"2649","6002",2
"2650","6003",3
"2651","6004",2
"2652","6005",2
"2653","6006",2
"2654","6007",2
"2655","6008",1
"2656","6009",2
"2657","6010",2
"2658","6011",2
"2659","6012",2
"2660","6013",1
"2661","6014",2
"2662","6015",2
"2663","6016",2
"2664","6017",2
"2665","6018",1
"2666","6019",2
"2667","6020",2
"2668","6021",2
"2669","6022",2
"2670","6023",1
"2671","6024",2
"2672","6025",2
"2673","6026",2
"2674","6027",2
"2675","6028",1
"2676","6029",2
"2677","6030",2
"2678","6031",2
"2679","6032",2
"2680","6033",1
"2681","6034",2
"2682","6035",2
"2683","6036",2
"2684","6037",2
"2685","6038",1
"2686","6039",2
"2687","6040",2
"2688","6041",2
"2689","6042",2
"2690","6043",1
"2691","6044",2
"2692","6045",2
"2693","6046",2
"2694","6047",2
"2695","6048",1
"2696","6049",2
"2697","6050",2
"2698","6051",2
"2699","6052",2
"2700","6053",1
"2701","6054",2
"2702","6055",2
"2703","6056",3
"2704","6057",4
"2705","6058",3
"2706","6059",4
"2707","6060",3
"2708","6061",4
"2709","6062",4
"2710","6063",3
"2711","6064",4
"2712","6065",3
"2713","6066",4
"2714","6067",3
"2715","6068",2
"2716","6069",4
"2717","6070",3
"2718","6071",4
"2719","6072",3
"2720","6073",4
"2721","6074",3
"2722","6075",4
"2723","6076",3
"2724","6077",4
"2725","6078",3
"2726","6079",4
"2727","6080",3
"2728","6081",4
"2729","6082",3
"2730","6083",4
"2731","6084",3
"2732","6085",4
"2733","6086",3
"2734","6087",4
"2735","6088",4
"2736","6089",3
"2737","6090",4
"2738","6091",3
"2739","6092",3
"2740","6093",3
"2741","6094",4
"2742","6095",2
"2743","6096",4
"2744","6097",3
"2745","6098",3
"2746","6099",4
"2747","6100",3
"2748","6101",4
"2749","6102",3
"2750","6103",4
"2751","6104",3
"2752","6105",3
"2753","6106",3
"2754","6107",4
"2755","6108",3
"2756","6109",2
"2757","6110",3
"2758","6111",2
"2759","6112",3
"2760","6113",2
"2761","6114",3
"2762","6115",2
"2763","6116",3
"2764","6117",1
"2765","6118",3
"2766","6119",4
"2767","6120",3
"2768","6121",4
"2769","6122",3
"2770","6123",4
"2771","6124",3
"2772","6125",4
"2773","6126",3
"2774","6127",4
"2775","6128",4
"2776","6129",3
"2777","6130",4
"2778","6131",3
"2779","6132",4
"2780","6133",3
"2781","6134",4
"2782","6135",3
"2783","6136",4
"2784","6137",3
"2785","6138",4
"2786","6139",4
"2787","6140",4
"2788","6141",4
"2789","6142",4
"2790","6143",4
"2791","6144",4
"2792","6145",4
"2793","6146",4
"2794","6147",4
"2795","6148",4
"2796","6149",3
"2797","6150",4
