Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Sélection : Seine-Saint-Denis; ; ; ; ; 
Code;Libellé;Boulangerie-pâtisserie (en nombre) 2024;Taux d'emploi des femmes de 25-54 ans 2021;Grande surface (en nombre) 2024;Nb de pers. non scolarisées de 15 ans ou + 2022
93001;Aubervilliers;58;58.4;11;59526
93005;Aulnay-sous-Bois;45;63.1;14;57348
93006;Bagnolet;37;71.3;7;28648
93007;Le Blanc-Mesnil;26;58.4;8;39873
93008;Bobigny;31;55;9;35201
93010;Bondy;30;62.8;11;34366
93013;Le Bourget;10;61.2;5;10399
93014;Clichy-sous-Bois;11;49.1;5;18098
93015;Coubron;1;84.5;1;3648
93027;La Courneuve;45;53.3;9;30998
93029;Drancy;44;60.7;9;48853
93030;Dugny;8;61.1;0;7405
93031;Épinay-sur-Seine;31;63.1;10;35163
93032;Gagny;23;76.2;2;27856
93033;Gournay-sur-Marne;5;86.7;1;5025
93039;L'Île-Saint-Denis;5;65.4;1;6096
93045;Les Lilas;17;77.3;5;16769
93046;Livry-Gargan;22;73.8;13;31832
93047;Montfermeil;10;67;2;18967
93048;Montreuil;83;74.2;21;78203
93049;Neuilly-Plaisance;9;79.8;1;15494
93050;Neuilly-sur-Marne;13;75.3;9;26032
93051;Noisy-le-Grand;32;76.4;10;48917
93053;Noisy-le-Sec;27;67.2;2;30628
93055;Pantin;46;72;16;42172
93057;Les Pavillons-sous-Bois;15;75.1;9;16993
93061;Le Pré-Saint-Gervais;7;73;7;12409
93062;Le Raincy;16;79.3;5;10390
93063;Romainville;24;70.6;7;24177
93064;Rosny-sous-Bois;28;73.2;6;32004
93066;Saint-Denis;108;61.3;18;97422
93070;Saint-Ouen-sur-Seine;51;71.3;10;36785
93071;Sevran;23;61.5;6;34369
93072;Stains;31;57.7;5;25569
93073;Tremblay-en-France;12;71.8;3;25931
93074;Vaujours;5;74.1;1;5167
93077;Villemomble;22;78.9;3;21170
93078;Villepinte;18;64.6;7;25745
93079;Villetaneuse;7;62.5;4;7762
