"Code.du.b.vote","ARTHAUD","ROUSSEL","MACRON","LASSALLE","LE PEN","ZEMMOUR","MÉLENCHON","HIDALGO","JADOT","PÉCRESSE","POUTOU","DUPONT-AIGNAN"
"1",4,8,96,7,75,34,233,7,20,37,2,10
"2",2,20,158,17,82,31,218,3,31,29,7,6
"3",0,10,106,9,60,25,398,11,14,24,4,11
"4",1,3,84,6,70,18,335,3,9,12,1,6
"5",1,1,73,2,19,5,410,4,0,5,3,3
"6",2,9,110,4,36,30,366,5,4,13,3,11
"7",1,8,94,9,51,21,317,10,2,12,5,4
"12",1,14,85,6,44,20,218,6,13,20,4,7
"18",2,12,97,11,70,30,250,8,18,24,3,10
"19",2,11,110,10,51,34,205,10,14,29,3,9
"20",3,5,88,3,35,13,335,6,7,9,2,1
"21",3,2,74,1,55,15,383,5,1,8,6,4
"22",1,4,67,2,53,27,211,2,7,15,1,4
"24",1,4,63,7,38,10,372,6,1,3,4,7
"25",7,4,105,7,49,13,353,2,9,7,4,5
"29",6,5,114,10,80,22,155,6,12,11,3,4
"8",2,15,84,17,100,23,316,4,6,13,3,5
"9",4,4,94,6,58,13,315,3,4,11,1,3
"10",3,3,87,8,73,13,325,7,9,6,6,4
"11",4,4,101,8,70,20,241,0,14,18,2,13
"13",2,6,97,7,61,17,200,5,10,19,4,7
"14",4,8,78,5,54,14,240,2,5,13,3,6
"15",3,9,141,13,131,42,281,5,19,34,12,10
"16",2,12,161,9,59,29,291,8,13,24,2,8
"17",3,9,120,12,70,30,327,7,26,18,2,4
"23",4,18,111,5,87,30,265,5,24,17,3,11
"26",2,3,93,2,40,14,404,7,4,11,3,5
"27",1,26,110,17,96,36,315,4,20,21,5,7
"28",3,10,122,10,49,15,292,6,13,30,1,6
"30",2,11,113,11,71,18,122,7,12,18,0,4
"31",2,12,136,7,79,25,300,5,18,24,6,5
"32",2,6,118,6,60,18,297,4,19,16,5,11
