etudiant,temps,note
etudiant1,00:28:57,"2,96"
etudiant2,00:29:57,"5,19"
etudiant3,00:17:33,"4,07"
etudiant4,00:10:31,"4,44"
etudiant5,00:55:01,"4,63"
etudiant6,00:11:42,"-0,93"
etudiant7,00:23:03,"4,44"
etudiant8,00:11:13,10
etudiant9,00:02:38,"1,11"
etudiant10,00:18:13,"6,67"
etudiant11,00:05:06,"9,63"
etudiant12,00:42:23,"0,37"
etudiant13,00:03:41,10
etudiant14,00:22:25,"4,07"
etudiant15,00:04:30,"5,19"
etudiant16,00:09:06,10
etudiant17,00:19:00,"7,78"
etudiant18,00:19:59,"6,67"
etudiant19,00:18:57,"7,22"
etudiant20,00:41:54,"8,52"
etudiant21,00:08:17,"9,63"
etudiant22,00:05:10,"9,63"
etudiant23,00:07:33,"5,19"
etudiant24,00:08:45,"8,33"
etudiant25,00:07:36,"9,63"
etudiant26,00:05:23,"7,22"
etudiant27,00:09:43,"8,33"
etudiant28,00:08:32,"1,85"
etudiant29,00:08:10,"8,52"
etudiant30,00:15:25,"0,93"
etudiant31,00:17:10,"4,07"
etudiant32,00:22:03,"6,67"
etudiant33,00:09:56,"3,89"
etudiant34,00:09:53,"2,41"
etudiant35,00:07:09,"7,59"
etudiant36,00:14:10,"5,19"
etudiant37,00:07:00,"5,86"
