Code,Libcom,fammilles monoparentales,residences principales surroccupées,IFS,taille menages
1001,L'Abergement-Clémenciat,15,0,0,2.46
1002,L'Abergement-de-Varey,5,5,0,2.42
1004,Ambérieu-en-Bugey,658,3.2,1,2.06
1005,Ambérieux-en-Dombes,34,1.4,0,2.42
1006,Ambléon,5,0,0,2.08
1007,Ambronay,110,1.7,0,2.39
1008,Ambutrix,25,3.1,0,2.33
1009,Andert-et-Condon,15,0,0,2.21
1010,Anglefort,40,0,0,2.36
1011,Apremont,0,0,0,2.47
1012,Aranc,10,0,0,2.21
1013,Arandas,0,0,0,2.29
1014,Arbent,111,2.5,0,2.42
1015,Arboys en Bugey,15,1.7,0,2.21
1016,Arbigny,5,0,0,2.5
1017,Argis,16,0,0,2.3
1019,Armix,0,0,0,2
1021,Ars-sur-Formans,36,1.9,0,2.49
1022,Artemare,46,2.7,0,2.13
1023,Asnières-sur-Saône,0,0,0,2.24
1024,Attignat,97,0.4,0,2.41
1025,Bâgé-Dommartin,100,0.3,0,2.52
1026,Bâgé-le-Châtel,35,2.3,0,2.14
1027,Balan,61,1.5,0,2.73
1028,Baneins,5,0,0,2.53
1029,Beaupont,30,0,0,2.32
1030,Beauregard,35,0,0,2.25
1031,Bellignat,126,8.9,0,2.16
1032,Béligneux,126,2.9,0,2.71
1033,Valserhône,668,4.4,1,2.27
1034,Belley,398,2.6,0,2.06
1035,Belleydoux,0,0,0,2.11
1036,Valromey-sur-Séran,51,0,0,2.18
1037,Bénonces,0,0,0,2.26
1038,Bény,20,0,0,2.35
1039,Béon,5,0,0,2.21
1040,Béréziat,10,0,0,2.55
1041,Bettant,35,1.5,0,2.26
1042,Bey,11,0,0,2.47
1043,Beynost,190,1.6,0,2.48
1044,Billiat,20,0,0,2.36
1045,Birieux,10,0,0,2.75
1046,Biziat,10,1.5,0,2.6
1047,Blyes,47,0,0,2.64
1049,La Boisse,89,2,0,2.6
1050,Boissey,19,0,0,2.69
1051,Bolozon,0,0,0,1.98
1052,Bouligneux,20,0,0,2.43
1053,Bourg-en-Bresse,2090,3.9,0,1.9
1054,Bourg-Saint-Christophe,41,0,0,2.62
1056,Boyeux-Saint-Jérôme,5,0,0,2.32
1057,Boz,15,2.4,0,2.33
1058,Brégnier-Cordon,20,2.9,0,2.35
1060,Brénod,14,0,0,2.06
1061,Brens,20,0,0,2.45
1062,Bressolles,30,1.4,0,2.58
1063,Brion,42,4.1,0,2.31
1064,Briord,29,0,0,2.33
1065,Buellas,70,0,0,2.38
1066,La Burbanche,5,12.5,0,2.17
1067,Ceignes,0,0,0,2.38
1068,Cerdon,25,0,0,2.16
1069,Certines,56,0.7,0,2.31
1071,Cessy,231,3.1,0,2.36
1072,Ceyzériat,121,0.8,0,2.29
1073,Ceyzérieu,35,2.2,0,2.2
1074,Chalamont,71,3,1,2.33
1075,Chaleins,59,0.9,0,2.54
1076,Chaley,0,0,0,1.91
1077,Challes-la-Montagne,5,0,0,2.03
1078,Challex,20,0.8,0,2.41
1079,Champagne-en-Valromey,40,0,0,2.21
1080,Champdor-Corcelles,10,1.6,0,2.25
1081,Champfromier,45,1.5,0,2.12
1082,Chanay,40,4.5,0,2.41
1083,Chaneins,15,1.4,0,2.58
1084,Chanoz-Châtenay,19,0,0,2.64
1085,La Chapelle-du-Châtelard,5,0,0,2.64
1087,Charix,15,4,0,2.32
1088,Charnoz-sur-Ain,31,0,0,2.51
1089,Château-Gaillard,65,2.4,0,2.61
1090,Châtenay,10,3.2,0,2.34
1092,Châtillon-la-Palud,85,0.8,0,2.52
1093,Châtillon-sur-Chalaronne,245,2,1,2.06
1094,Chavannes-sur-Reyssouze,30,1.6,0,2.35
1095,Nivigne et Suran,21,1.5,0,2.43
1096,Chaveyriat,46,1.3,0,2.53
