Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Siret Budget;Libellé Budget;Type de budget;Nomenclature;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;code_type_budget;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200042935;Communauté d'agglomération Haut - Bugey Agglomération;3;Oui;Oui;Non;2;Non;01204;Le Poizat-Lalleyriat;Commune;200053395;01204;20005339500014;LE POIZAT-LALLEYRIAT;Budget principal;M57A;Epargne nette;70967.79;0.07096778999999999;762;93.13358267716535;1;1;;;;;;;;;2;;2024;762
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200040350;Communauté de communes Bugey Sud;3;Oui;Oui;Non;2;Non;01015;Arboys en Bugey;Commune;200053668;01015;20005366800014;ARBOYS EN BUGEY;Budget principal;M57A;Epargne nette;41312.74;0.04131274;682;60.57586510263929;1;1;;;;;;;;;2;;2024;682
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200040350;Communauté de communes Bugey Sud;3;Oui;Oui;Non;2;Non;01187;Haut Valromey;Commune;200053676;01187;20005367600017;HAUT VALROMEY;Budget principal;M57A;Epargne nette;138329.8;0.13832979999999998;627;220.62169059011163;1;1;;;;;;;;;2;;2024;627
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200042935;Communauté d'agglomération Haut - Bugey Agglomération;3;Oui;Oui;Non;2;Non;01080;Champdor-Corcelles;Commune;200056695;01080;20005669500014;CHAMPDOR-CORCELLES;Budget principal;M57A;Epargne nette;190661.06;0.19066106;660;288.8803939393939;1;1;;;;;;;;;2;;2024;660
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071751;Communauté d'agglomération du Bassin de Bourg-en-Bresse;4;Oui;Non;Non;2;Non;01426;Val-Revermont;Commune;200057347;01426;20005734700011;VAL REVERMONT;Budget principal;M57A;Epargne nette;354183.99;0.35418399;2552;138.78682993730408;1;1;;;;;;;;;2;;2024;2552
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200040350;Communauté de communes Bugey Sud;3;Oui;Oui;Non;2;Non;01286;Parves et Nattages;Commune;200059913;01286;20005991300018;PARVES ET NATTAGES;Budget principal;M57A;Epargne nette;163450.17;0.16345017;992;164.76831653225807;1;1;;;;;;;;;2;;2024;992
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200040350;Communauté de communes Bugey Sud;3;Oui;Non;Non;2;Non;01338;Groslée-Saint-Benoit;Commune;200060143;01338;20006014300019;GROSLEE SAINT BENOIT;Budget principal;M57A;Epargne nette;175719.83;0.17571983;1264;139.01885284810126;1;1;;;;;;;;;2;;2024;1264
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071751;Communauté d'agglomération du Bassin de Bourg-en-Bresse;3;Oui;Non;Non;1;Non;01095;Nivigne et Suran;Commune;200062537;01095;20006253700010;NIVIGNE ET SURAN;Budget principal;M57;Epargne nette;96411.9800000001;0.09641198000000009;850;113.42585882352952;1;1;;;;;;;;;2;;2024;850
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200040350;Communauté de communes Bugey Sud;3;Oui;Non;Non;1;Non;01098;Chazey-Bons;Commune;200063121;01098;20006312100012;CHAZEY-BONS;Budget principal;M57A;Epargne nette;54468.51;0.054468510000000005;1227;44.39161369193154;1;1;;;;;;;;;2;;2024;1227
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071371;Communauté de communes Bresse et Saône;5;Non;Non;Non;2;Non;01025;Bâgé-Dommartin;Commune;200077220;01025;20007722000016;BAGE-DOMMARTIN;Budget principal;M57;Epargne nette;341165.929999999;0.341165929999999;4168;81.85363003838748;1;1;;;;;;;;;2;;2024;4168
