Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Siret Budget;Libellé Budget;Type de budget;Nomenclature;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;code_type_budget;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2024;Non;32;Hauts-de-France;02;Aisne;240200600;Communauté de communes des Trois Rivières;0;Oui;Non;Non;1;Non;02435;Logny-lès-Aubenton;Commune;210204145;02435;21020414500010;LOGNY-LES-AUBENTON;Budget principal;M14;Dépenses d'intervention;3400.0;0.0034;83;40.963855421686745;1;1;;;;;4;;;;;;2024;83
2024;Non;32;Hauts-de-France;02;Aisne;240200501;Communauté de communes du Val de l'Aisne;0;Oui;Non;Non;2;Non;02633;Quincy-sous-le-Mont;Commune;210206082;02633;21020608200013;QUINCY-SOUS-LE-MONT;Budget principal;M14;Dépenses d'intervention;7759.71;0.00775971;63;123.17;1;1;;;;;4;;;;;;2024;63
2024;Non;84;Auvergne-Rhône-Alpes;03;Allier;200071082;Communauté d'agglomération Montluçon Communauté;5;Non;Non;Non;2;Non;03098;Désertines;Commune;210300984;03098;21030098400015;DESERTINES;Budget principal;M14;Dépenses d'intervention;271005.74;0.27100574;4479;60.505858450546995;1;1;;;;;4;;;;;;2024;4479
2024;Non;44;Grand Est;08;Ardennes;200043156;Communauté de communes du Pays Rethélois;6;Non;Non;Non;1;Oui;08362;Rethel;Commune;210803268;08362;21080326800015;RETHEL;Budget principal;M14;Dépenses d'intervention;781923.75;0.78192375;7720;101.28545984455958;1;1;;;;;4;;;;;;2024;7720
2024;Non;44;Grand Est;10;Aube;200071777;Communauté de communes d'Arcis,Mailly,Ramerupt;1;Oui;Non;Non;1;Non;10077;Champigny-sur-Aube;Commune;211000724;10077;21100072400016;CHAMPIGNY-SUR-AUBE;Budget principal;M14A;Dépenses d'intervention;14677.6;0.0146776;101;145.32277227722773;1;1;;;;;4;;;;;;2024;101
2024;Non;44;Grand Est;10;Aube;241000488;Communauté de communes de l'Orvin et de l'Ardusson;2;Oui;Non;Non;2;Non;10124;Dierrey-Saint-Julien;Commune;211001185;10124;21100118500019;DIERREY-SAINT-JULIEN;Budget principal;M14;Dépenses d'intervention;14079.25;0.01407925;273;51.57234432234432;1;1;;;;;4;;;;;;2024;273
2024;Non;44;Grand Est;10;Aube;200071041;Communauté de communes du Chaourçois et du Val d'Armance;0;Oui;Non;Non;1;Non;10168;Les Granges;Commune;211001615;10168;21100161500015;LES GRANGES;Budget principal;M14;Dépenses d'intervention;10543.59;0.01054359;83;127.03120481927711;1;1;;;;;4;;;;;;2024;83
2024;Non;44;Grand Est;10;Aube;200069250;Communauté d'agglomération Troyes Champagne Métropole;3;Oui;Non;Non;2;Non;10245;Montaulin;Commune;211002373;10245;21100237300010;MONTAULIN;Budget principal;M14;Dépenses d'intervention;187836.34;0.18783634;838;224.1483770883055;1;1;;;;;4;;;;;;2024;838
2024;Non;44;Grand Est;10;Aube;241000223;Communauté de communes Forêts,Lacs,Terres en Champagne;3;Oui;Non;Non;1;Non;10287;Piney;Commune;211002795;10287;21100279500014;PINEY;Budget principal;M14;Dépenses d'intervention;80750.53;0.08075053;1466;55.082216916780354;1;1;;;;;4;;;;;;2024;1466
2024;Non;44;Grand Est;10;Aube;241000488;Communauté de communes de l'Orvin et de l'Ardusson;1;Oui;Non;Non;2;Non;10318;Rigny-la-Nonneuse;Commune;211003082;10318;21100308200016;RIGNY-LA-NONNEUSE;Budget principal;M14;Dépenses d'intervention;20106.96;0.02010696;158;127.2592405063291;1;1;;;;;4;;;;;;2024;158
2024;Non;44;Grand Est;10;Aube;200069250;Communauté d'agglomération Troyes Champagne Métropole;4;Non;Non;Non;2;Non;10357;Saint-Parres-aux-Tertres;Commune;211003462;10357;21100346200010;SAINT-PARRES-AUX-TERTRES;Budget principal;M14;Dépenses d'intervention;58544.5;0.0585445;3248;18.02478448275862;1;1;;;;;4;;;;;;2024;3248
2024;Non;44;Grand Est;10;Aube;200071041;Communauté de communes du Chaourçois et du Val d'Armance;2;Oui;Non;Non;1;Non;10395;Vanlay;Commune;211003827;10395;21100382700014;VANLAY;Budget principal;M14;Dépenses d'intervention;46091.95;0.04609195;297;155.19175084175083;1;1;;;;;4;;;;;;2024;297
2024;Non;28;Normandie;14;Calvados;200066801;Communauté de communes Isigny-Omaha Intercom;3;Oui;Non;Non;2;Non;14591;Aure sur Mer;Commune;200073377;14591;20007337700018;AURE SUR MER;Budget principal;M14;Dépenses d'intervention;15426.79;0.015426790000000001;720;21.426097222222225;1;1;;;;;4;;;;;;2024;720
2024;Non;84;Auvergne-Rhône-Alpes;15;Cantal;200066637;Communauté de communes Hautes Terres Communauté;2;Oui;Oui;Non;1;Non;15225;Ségur-les-Villas;Commune;211502257;15225;21150225700010;SEGUR-LES-VILLAS;Budget principal;M14;Dépenses d'intervention;14131.95;0.01413195;221;63.94547511312218;1;1;;;;;4;;;;;;2024;221
2024;Non;75;Nouvelle-Aquitaine;17;Charente-Maritime;200041689;Communauté de communes Vals de Saintonge Communauté;4;Non;Non;Non;1;Non;17224;Matha;Commune;211702246;17224;21170224600011;MATHA;Budget principal;M14;Dépenses d'intervention;158580.36;0.15858035999999998;2267;69.95163652404058;1;1;;;;;4;;;;;;2024;2267
2024;Non;27;Bourgogne-Franche-Comté;21;Côte-d'Or;200071173;Communauté de communes du Pays Arnay Liernais;0;Oui;Non;Non;1;Non;21675;Vianges;Commune;212106751;21675;21210675100010;VIANGES;Budget principal;M14A;Dépenses d'intervention;3839.18;0.0038391799999999998;38;101.03105263157894;1;1;;;;;4;;;;;;2024;38
2024;Non;28;Normandie;27;Eure;200089456;Communauté d'agglomération Seine-Eure;7;Non;Non;Non;1;Oui;27375;Louviers;Commune;212703755;27375;21270375500018;LOUVIERS;Budget principal;M14;Dépenses d'intervention;2839314.33;2.83931433;18724;151.64037224951934;1;1;;;;;4;;;;;;2024;18724
