"","X","cp","ville","cle","montantMoyen","montantCourt","dpt","nb"
"14074",14074,93110,"ROSNY-SOUS-BOIS","AE135",240000,24,"93",3
"14075",14075,93110,"ROSNY-SOUS-BOIS","AE152",195000,19.5,"93",2
"14076",14076,93110,"ROSNY-SOUS-BOIS","AE153",70600,7.06,"93",5
"14077",14077,93110,"ROSNY-SOUS-BOIS","AE154",107350,10.735,"93",2
"14078",14078,93110,"ROSNY-SOUS-BOIS","AE170",120000,12,"93",1
"14079",14079,93110,"ROSNY-SOUS-BOIS","AE81",265000,26.5,"93",1
"14080",14080,93110,"ROSNY-SOUS-BOIS","AE85",135000,13.5,"93",2
"14081",14081,93110,"ROSNY-SOUS-BOIS","AF114",185000,18.5,"93",1
"14082",14082,93110,"ROSNY-SOUS-BOIS","AF128",114000,11.4,"93",3
"14083",14083,93110,"ROSNY-SOUS-BOIS","AF161",150000,15,"93",1
"14084",14084,93110,"ROSNY-SOUS-BOIS","AF331",245000,24.5,"93",1
"14085",14085,93110,"ROSNY-SOUS-BOIS","AF392",209200,20.92,"93",5
"14086",14086,93110,"ROSNY-SOUS-BOIS","AF393",148411.739130435,14.8411739130435,"93",23
"14087",14087,93110,"ROSNY-SOUS-BOIS","AF413",215000,21.5,"93",2
"14088",14088,93110,"ROSNY-SOUS-BOIS","AF79",280000,28,"93",2
"14089",14089,93110,"ROSNY-SOUS-BOIS","AG196",150000,15,"93",1
"14090",14090,93110,"ROSNY-SOUS-BOIS","AG236",220000,22,"93",3
"14091",14091,93110,"ROSNY-SOUS-BOIS","AG270",237000,23.7,"93",2
"14092",14092,93110,"ROSNY-SOUS-BOIS","AG303",101423.076923077,10.1423076923077,"93",13
"14093",14093,93110,"ROSNY-SOUS-BOIS","AG35",139500,13.95,"93",2
"14094",14094,93110,"ROSNY-SOUS-BOIS","AG358",145300,14.53,"93",1
"14095",14095,93110,"ROSNY-SOUS-BOIS","AG369",127000,12.7,"93",6
"14096",14096,93110,"ROSNY-SOUS-BOIS","AG370",280000,28,"93",2
"14097",14097,93110,"ROSNY-SOUS-BOIS","AG371",181666.666666667,18.1666666666667,"93",3
"14098",14098,93110,"ROSNY-SOUS-BOIS","AG79",172000,17.2,"93",2
"14099",14099,93110,"ROSNY-SOUS-BOIS","AG83",227000,22.7,"93",2
"14100",14100,93110,"ROSNY-SOUS-BOIS","AH118",258000,25.8,"93",3
"14101",14101,93110,"ROSNY-SOUS-BOIS","AH13",105000,10.5,"93",3
"14102",14102,93110,"ROSNY-SOUS-BOIS","AH142",222000,22.2,"93",4
"14103",14103,93110,"ROSNY-SOUS-BOIS","AH143",251500,25.15,"93",6
"14104",14104,93110,"ROSNY-SOUS-BOIS","AH148",143666.666666667,14.3666666666667,"93",3
"14105",14105,93110,"ROSNY-SOUS-BOIS","AH153",310000,31,"93",3
"14106",14106,93110,"ROSNY-SOUS-BOIS","AH158",150000,15,"93",2
"14107",14107,93110,"ROSNY-SOUS-BOIS","AH26",185000,18.5,"93",2
"14108",14108,93110,"ROSNY-SOUS-BOIS","AH40",209375,20.9375,"93",8
"14109",14109,93110,"ROSNY-SOUS-BOIS","AH45",322000,32.2,"93",2
"14110",14110,93110,"ROSNY-SOUS-BOIS","AH93",260410,26.041,"93",3
"14111",14111,93110,"ROSNY-SOUS-BOIS","AI231",206375,20.6375,"93",4
"14112",14112,93110,"ROSNY-SOUS-BOIS","AI311",2e+05,20,"93",3
"14113",14113,93110,"ROSNY-SOUS-BOIS","AJ278",30000,3,"93",1
"14114",14114,93110,"ROSNY-SOUS-BOIS","AK181",431094.08,43.109408,"93",2
"14115",14115,93110,"ROSNY-SOUS-BOIS","AK287",250000,25,"93",2
"14116",14116,93110,"ROSNY-SOUS-BOIS","AL2",199625,19.9625,"93",8
"14117",14117,93110,"ROSNY-SOUS-BOIS","AL26",3e+05,30,"93",4
"14118",14118,93110,"ROSNY-SOUS-BOIS","AL27",3e+05,30,"93",4
"14119",14119,93110,"ROSNY-SOUS-BOIS","AL363",3e+05,30,"93",1
"14120",14120,93110,"ROSNY-SOUS-BOIS","AL364",3e+05,30,"93",1
"14121",14121,93110,"ROSNY-SOUS-BOIS","AL365",3e+05,30,"93",1
"14122",14122,93110,"ROSNY-SOUS-BOIS","AL366",3e+05,30,"93",1
