"","Section","Valeur.fonciere"
"26","A",1.35
"27","A",1.35
"28","A",1.35
"142","M",1.76
"143","M",1.76
"148","AT",2.18
"161","M",2.2
"162","M",2.2
"212","M",1.66
"213","M",1.66
"216","B",2.02
"217","B",2.02
"218","M",3.6
"219","M",3.6
"232","B",2.655
"233","B",2.655
"234","G",3.05
"235","G",3.05
"327","M",2.26
"328","M",2.26
"335","M",1.435
"348","J",4.2
"349","J",4.2
"449","AJ",1.95
"450","AJ",1.95
"451","AJ",1.95
"461","A",1.265
"462","A",1.265
"483","A",1.45
"484","A",1.45
"485","A",1.45
"551","M",17.51
"581","B",2.615
"582","B",2.615
"694","J",2.1
"695","J",2.1
"696","J",2.1
"697","B",2.18
"698","B",2.18
"705","B",1.965
"706","B",1.965
"762","B",3
"763","B",3
"764","B",3
"867","A",1.57
"868","A",1.57
"869","A",1.57
"876","J",1.2
"877","J",1.2
"961","G",2.18
"962","G",2.18
"1108","B",2.1
"1109","B",2.1
"1134","J",1.62
"1135","J",1.62
"1142","B",1.82347
"1143","B",1.82347
"1169","J",1
"1170","J",1
"1171","J",1
"1172","J",1
"1173","J",1
"1174","J",1
"1175","J",1
"1176","J",1
"1177","J",1
"1178","J",1
"1284","J",1.374
"1285","J",1.374
"1311","AJ",2.69
"1312","AJ",2.69
"1313","AJ",2.69
"1352","J",0.95
"1353","J",0.95
"1393","M",0.1
"1496","A",1.6595
"1497","A",1.6595
"1509","AJ",1.55
"1510","AJ",1.55
"1545","B",1.97
"1546","B",1.97
"1547","B",1.85
"1548","B",1.85
"1592","M",0.075
"1610","G",3.1
"1632","J",1
"1633","J",1
"1681","AJ",2.52
"1682","AJ",2.52
"1683","AJ",2.52
"1799","AJ",1.15
"1800","AJ",1.15
"1811","B",2.86
"1812","B",2.86
"1904","M",2.29023
"1905","M",2.29023
"1906","M",2.36408
"1952","B",2.725
"1953","B",2.725
"1956","AJ",3.587
"1958","M",2.78
"1959","M",2.78
"1960","M",2.78
"1962","AT",1.48
"1963","AT",1.48
"1964","AT",1.48
"1965","AT",1.48
"1976","B",1.86
"1977","B",1.86
"2043","B",2.3
"2057","J",1.5
"2058","J",1.5
"2106","B",1.96
"2107","B",1.96
"2110","J",1.27
"2111","J",1.27
"2117","AT",2
"2118","AT",2
"2171","M",2.13
"2172","M",2.13
"2247","AJ",3.69
"2248","AJ",3.69
"2249","AT",1.35
"2250","AT",1.35
"2255","B",2.14
"2256","B",2.14
"2329","J",0.08
"2331","G",2.385
"2332","G",2.385
"2333","B",1.79
"2334","B",1.79
"2338","B",1.485
"2339","B",1.485
"2397","M",1.75
"2398","M",1.75
"2399","M",1.75
"2486","J",1.3935
"2487","J",1.3935
"2598","A",1.28
"2599","A",1.28
"2600","A",1.28
"2621","J",1.86
"2622","J",1.86
"2676","G",2.1
"2703","AJ",1.5
"2704","AJ",1.5
"2705","AJ",1.5
"2720","M",2.93
"2721","M",2.93
"2744","M",2.0007
"2809","AJ",1.055
"2810","AJ",1.055
"2856","AT",1.66667
"2857","AT",1.66667
"2858","AT",1.66667
"2859","AT",1.66667
"2876","B",2.59
"2877","B",2.59
"2882","A",1.45
"2883","A",1.45
"2884","A",1.45
"2916","AT",2
"2917","AT",2
"2918","AT",2
"2919","AJ",1.3
"2920","AJ",1.3
"3012","B",3.6465
"3024","AJ",2.46
"3059","A",1.41
"3060","A",1.41
"3061","A",1.41
"3071","G",1.88815
"3072","G",1.88815
"3081","J",1.4
"3082","J",1.4
"3083","J",1.4
"3140","J",1.69331
"3141","J",1.69331
"3142","J",1.69331
"3151","AJ",0.75
"3152","AJ",0.75
"3153","AJ",0.75
"3156","B",1.965
"3157","B",1.965
"3196","A",1.45
"3208","G",2.68
"3209","G",2.68
"3217","A",1.45
"3218","A",1.45
"3219","A",1.45
"3227","A",4.0441
"3230","B",1.87
"3231","B",1.87
"3232","B",1.87
"3233","J",1.49
"3234","J",1.49
"3255","AT",2.8
"3289","AT",1.58
"3290","AT",1.58
"3291","AT",1.58
"3328","B",2.54958
"3329","B",2.54958
"3389","G",2.4516
"3390","G",2.4516
"3391","G",2.4516
"3459","A",1.5
"3460","A",1.5
"3461","A",1.5
"3626","B",1.64
